age,job,marital,education,balance,housing,loan,campaign,poutcome,deposit
38,management,married,tertiary,1,no,no,2,unknown,no
53,entrepreneur,married,primary,27,yes,no,3,unknown,yes
26,student,single,tertiary,13887,no,no,4,unknown,no
61,retired,married,primary,1742,no,no,4,unknown,no
60,admin.,married,unknown,478,no,no,8,unknown,no
67,retired,married,primary,708,no,no,2,unknown,no
72,retired,married,secondary,17739,no,no,4,unknown,no
30,management,single,tertiary,440,yes,no,2,unknown,no
56,admin.,single,secondary,2815,yes,no,1,unknown,yes
42,technician,married,secondary,3082,no,no,1,unknown,yes
20,student,single,unknown,479,no,no,2,unknown,no
73,retired,married,unknown,739,no,no,1,unknown,yes
32,management,single,tertiary,2,yes,no,2,unknown,yes
73,retired,married,tertiary,1843,no,no,2,unknown,yes
49,entrepreneur,divorced,tertiary,315,no,no,1,unknown,no
74,retired,married,primary,1765,no,no,2,unknown,yes
71,retired,divorced,tertiary,1236,yes,no,4,unknown,yes
37,management,married,tertiary,0,no,no,1,unknown,no
31,self-employed,single,tertiary,275,no,no,3,unknown,no
41,admin.,divorced,secondary,6046,yes,yes,2,unknown,yes
20,student,single,secondary,29,no,no,2,unknown,no
28,management,single,tertiary,2380,no,no,2,unknown,no
73,retired,married,primary,934,no,no,5,unknown,yes
37,management,married,tertiary,99,no,no,1,unknown,no
49,technician,divorced,tertiary,596,yes,no,1,unknown,yes
40,admin.,married,secondary,4775,no,no,1,unknown,yes
56,services,married,secondary,654,no,no,1,unknown,yes
29,management,single,unknown,345,no,no,1,unknown,no
28,technician,single,tertiary,865,no,no,1,unknown,no
76,retired,married,secondary,242,no,no,3,unknown,no
52,housemaid,married,primary,10943,no,no,1,unknown,yes
38,technician,married,secondary,4539,no,no,1,unknown,yes
23,student,single,secondary,780,no,no,1,unknown,no
71,retired,married,primary,4847,no,no,2,unknown,no
71,retired,married,primary,0,no,no,3,unknown,no
35,management,single,tertiary,805,no,no,1,unknown,no
46,management,married,tertiary,2817,no,no,1,unknown,yes
26,management,single,tertiary,1646,no,no,5,unknown,yes
28,admin.,single,secondary,762,no,no,3,unknown,yes
71,retired,divorced,secondary,4380,no,no,1,unknown,yes
65,management,divorced,tertiary,2756,no,no,2,unknown,no
44,technician,married,secondary,5102,no,no,1,unknown,no
19,student,single,unknown,179,no,no,3,unknown,no
47,admin.,married,secondary,2601,no,no,1,unknown,yes
44,management,married,tertiary,1036,no,no,1,unknown,no
80,retired,married,primary,2954,no,no,1,unknown,no
52,admin.,married,secondary,118,no,no,1,unknown,no
42,management,divorced,tertiary,238,no,no,1,unknown,yes
43,self-employed,married,secondary,0,no,no,2,unknown,no
49,self-employed,married,tertiary,1791,no,no,1,unknown,no
61,unemployed,married,primary,1,no,no,1,unknown,no
34,admin.,married,tertiary,2552,yes,yes,1,unknown,no
36,technician,married,tertiary,1179,yes,no,1,unknown,no
77,retired,divorced,secondary,0,no,no,1,unknown,yes
61,management,married,tertiary,3371,no,no,2,unknown,yes
55,technician,divorced,secondary,929,no,yes,3,unknown,no
25,student,single,tertiary,5,no,no,1,unknown,no
74,retired,married,primary,4286,no,no,1,unknown,no
57,management,married,unknown,0,no,no,1,unknown,no
38,technician,single,secondary,1711,no,no,1,unknown,yes
84,entrepreneur,married,secondary,0,no,no,2,unknown,yes
56,housemaid,divorced,secondary,1866,no,yes,1,unknown,no
35,technician,divorced,secondary,2047,yes,no,1,unknown,no
39,management,married,tertiary,24,no,no,1,unknown,no
36,unemployed,married,tertiary,39385,no,no,1,unknown,no
95,retired,married,secondary,0,no,no,1,unknown,no
63,housemaid,married,primary,333,no,no,1,unknown,no
61,management,married,tertiary,1224,no,no,1,unknown,no
31,technician,single,secondary,2460,no,no,1,unknown,no
25,management,single,tertiary,2140,no,no,1,unknown,no
47,management,married,tertiary,288,no,no,1,unknown,yes
70,retired,married,tertiary,15834,no,no,1,unknown,no
26,student,single,secondary,6036,no,no,1,unknown,no
30,admin.,single,tertiary,613,no,no,1,unknown,no
50,blue-collar,married,primary,383,no,no,2,unknown,no
39,admin.,married,secondary,26233,no,no,1,unknown,no
36,management,married,tertiary,22,no,no,2,unknown,no
36,admin.,married,secondary,11,yes,no,3,unknown,no
61,retired,married,secondary,2917,no,no,1,unknown,yes
60,retired,married,primary,71188,no,no,1,unknown,no
30,technician,single,secondary,158,no,no,1,unknown,yes
60,retired,married,primary,1588,no,no,1,unknown,yes
24,management,single,tertiary,0,no,no,1,unknown,no
39,admin.,married,secondary,168,no,no,1,unknown,no
30,technician,single,tertiary,655,no,no,2,unknown,yes
61,management,married,tertiary,2931,no,no,1,unknown,no
45,blue-collar,single,secondary,3727,no,no,1,unknown,no
44,management,married,unknown,282,no,no,3,unknown,yes
70,retired,married,primary,8897,no,no,2,unknown,no
63,retired,married,secondary,415,yes,no,1,unknown,no
77,retired,married,primary,121,no,no,1,unknown,no
37,management,single,secondary,793,no,no,1,unknown,no
29,management,single,secondary,417,no,no,1,unknown,no
63,retired,married,secondary,0,no,no,2,unknown,no
70,retired,divorced,secondary,3104,no,no,1,unknown,no
32,admin.,single,tertiary,272,yes,no,2,unknown,no
61,retired,married,secondary,286,no,no,1,unknown,no
56,admin.,married,secondary,16873,no,no,1,unknown,no
54,unknown,married,unknown,895,no,no,1,unknown,yes
60,retired,married,secondary,197,no,no,1,unknown,no
34,blue-collar,single,unknown,484,no,no,1,unknown,no
68,retired,married,primary,2398,no,no,1,unknown,no
42,unemployed,married,tertiary,0,no,no,1,unknown,no
66,retired,married,secondary,0,no,no,1,unknown,no
26,self-employed,single,tertiary,993,no,no,1,unknown,no
53,housemaid,married,primary,0,no,no,1,unknown,no
78,retired,divorced,unknown,0,no,no,1,unknown,no
34,management,single,tertiary,1730,yes,no,2,unknown,no
29,admin.,single,secondary,3528,no,no,1,unknown,yes
57,housemaid,single,secondary,254,no,no,1,unknown,no
79,retired,divorced,primary,79,no,no,2,unknown,yes
64,retired,married,primary,2140,no,no,2,unknown,no
66,retired,single,tertiary,0,no,no,2,unknown,no
47,housemaid,married,secondary,2524,no,no,1,unknown,yes
25,technician,single,secondary,139,no,yes,1,unknown,yes
21,student,single,secondary,2488,no,no,1,unknown,yes
83,retired,married,unknown,4216,no,no,1,unknown,no
73,retired,divorced,secondary,7111,yes,no,1,unknown,yes
77,retired,married,primary,989,no,no,2,unknown,no
67,retired,married,primary,1430,no,no,3,unknown,no
31,admin.,married,tertiary,80,yes,yes,1,unknown,no
57,admin.,married,secondary,3927,no,no,1,unknown,no
34,admin.,married,secondary,19,yes,yes,1,unknown,no
54,management,married,tertiary,2216,yes,no,1,unknown,no
72,blue-collar,married,primary,4415,no,no,1,unknown,no
67,management,divorced,tertiary,361,no,no,2,unknown,yes
51,entrepreneur,divorced,tertiary,2109,no,no,2,unknown,yes
48,management,married,tertiary,1093,yes,yes,2,unknown,yes
52,management,married,primary,3343,no,no,1,unknown,no
46,self-employed,married,tertiary,8,no,no,1,unknown,no
41,retired,single,primary,2579,no,no,1,unknown,no
74,retired,married,tertiary,1124,no,no,2,unknown,no
35,technician,single,tertiary,670,no,no,2,unknown,yes
83,retired,single,primary,1965,no,no,3,unknown,yes
27,admin.,married,secondary,132,no,no,2,unknown,no
62,management,married,tertiary,0,no,no,3,unknown,no
76,retired,married,primary,163,no,no,1,unknown,no
50,management,married,primary,313,no,no,1,unknown,yes
33,management,married,tertiary,1297,yes,no,1,unknown,no
30,self-employed,single,secondary,5223,no,no,2,unknown,no
60,retired,married,primary,1167,no,no,2,unknown,no
45,housemaid,married,primary,8692,yes,no,1,unknown,no
31,admin.,single,tertiary,52,yes,no,1,unknown,no
28,self-employed,single,tertiary,1579,no,no,3,unknown,no
62,services,married,primary,276,no,no,2,unknown,no
39,housemaid,married,tertiary,93,no,no,2,unknown,no
66,housemaid,married,primary,40,no,no,2,unknown,yes
35,blue-collar,single,tertiary,1830,no,no,2,unknown,no
64,retired,married,tertiary,2139,no,no,2,unknown,no
62,retired,married,tertiary,4692,yes,no,1,unknown,no
48,housemaid,single,primary,1630,no,no,1,unknown,no
62,retired,married,primary,0,no,no,1,unknown,no
73,retired,married,primary,154,no,no,1,unknown,no
81,retired,divorced,primary,0,no,no,1,unknown,no
70,retired,married,secondary,1310,no,no,1,unknown,no
39,management,married,tertiary,184,no,no,1,unknown,no
80,retired,married,secondary,2,no,no,1,unknown,no
75,unknown,married,tertiary,643,no,no,2,unknown,no
31,technician,married,tertiary,442,no,no,1,unknown,no
59,unemployed,divorced,secondary,7469,no,no,1,unknown,no
41,management,married,tertiary,3872,no,no,1,unknown,no
48,management,divorced,tertiary,0,no,no,2,unknown,no
26,admin.,single,secondary,766,no,no,2,unknown,yes
37,services,married,secondary,1960,yes,yes,5,unknown,no
74,retired,married,primary,279,no,no,1,unknown,no
37,management,married,tertiary,413,no,no,2,unknown,no
83,retired,divorced,primary,2619,no,no,2,unknown,no
61,technician,married,primary,6384,no,no,2,unknown,no
69,retired,married,secondary,0,no,no,2,unknown,no
22,services,single,secondary,129,no,no,1,unknown,yes
27,management,married,tertiary,893,no,no,2,unknown,yes
50,admin.,single,secondary,3702,no,no,5,unknown,no
51,admin.,married,secondary,423,yes,yes,1,unknown,no
81,retired,divorced,unknown,0,no,no,1,unknown,no
34,services,single,tertiary,3119,no,no,1,unknown,yes
35,admin.,married,tertiary,690,no,no,1,unknown,no
37,services,married,secondary,4017,no,no,1,unknown,yes
40,technician,married,secondary,2338,no,no,2,unknown,yes
61,management,married,tertiary,0,no,no,2,unknown,yes
74,retired,divorced,secondary,4079,no,no,3,unknown,yes
70,retired,married,secondary,3175,no,no,2,unknown,no
63,retired,married,secondary,588,no,no,2,unknown,no
61,technician,divorced,secondary,6481,no,no,1,unknown,yes
33,unknown,single,secondary,9,no,no,1,unknown,no
47,blue-collar,married,secondary,820,no,no,1,unknown,yes
62,blue-collar,married,primary,1381,no,no,1,unknown,no
39,management,single,tertiary,1648,no,no,1,unknown,no
62,management,divorced,tertiary,1619,no,no,1,unknown,no
46,blue-collar,married,tertiary,3745,no,no,1,unknown,no
26,management,single,tertiary,1177,no,no,1,unknown,no
37,management,single,tertiary,254,no,no,1,unknown,no
26,technician,single,secondary,334,no,no,1,unknown,no
80,management,married,primary,6483,no,no,1,unknown,no
30,admin.,single,secondary,648,no,no,1,unknown,no
72,retired,married,primary,806,no,no,1,unknown,no
46,housemaid,single,primary,10889,no,no,3,unknown,no
47,services,single,unknown,1784,no,no,2,unknown,yes
59,unemployed,married,secondary,561,no,no,2,unknown,no
30,unemployed,married,primary,1787,no,no,1,unknown,no
57,unknown,married,primary,8,no,no,2,unknown,no
28,admin.,married,secondary,172,yes,no,2,unknown,no
30,student,single,tertiary,7529,no,no,1,unknown,yes
63,retired,married,primary,12067,no,no,1,unknown,no
72,retired,married,primary,1388,no,no,1,unknown,yes
77,retired,married,unknown,1807,no,no,1,unknown,yes
36,technician,married,secondary,480,no,no,1,unknown,yes
32,blue-collar,married,primary,400,no,no,2,unknown,no
25,student,single,secondary,3165,no,no,2,unknown,no
46,admin.,single,secondary,1693,yes,no,1,unknown,yes
74,retired,married,tertiary,4912,no,no,3,unknown,no
67,retired,married,tertiary,3810,no,no,1,unknown,no
27,student,single,tertiary,24025,no,no,1,unknown,no
87,retired,divorced,primary,6746,no,no,1,unknown,yes
57,management,married,tertiary,375,no,no,1,unknown,yes
51,technician,married,secondary,371,yes,yes,1,unknown,yes
76,retired,divorced,primary,2693,no,no,2,unknown,yes
64,management,married,tertiary,4688,no,no,1,unknown,yes
19,student,single,secondary,329,no,no,2,unknown,yes
55,management,divorced,tertiary,0,no,no,5,unknown,yes
92,retired,married,unknown,775,no,no,3,unknown,yes
35,technician,married,secondary,2779,no,no,2,unknown,yes
32,management,single,tertiary,643,no,no,1,unknown,no
70,retired,married,secondary,2064,no,no,1,unknown,no
54,admin.,married,secondary,0,no,no,2,unknown,no
78,retired,married,unknown,4807,no,no,4,unknown,yes
78,retired,divorced,primary,229,no,no,1,unknown,yes
69,management,married,secondary,4,no,no,4,unknown,no
43,blue-collar,married,secondary,14646,no,no,1,unknown,yes
61,retired,married,secondary,86,no,no,1,unknown,yes
45,technician,married,secondary,1673,no,no,1,unknown,no
37,admin.,single,secondary,0,no,no,1,unknown,no
39,management,single,tertiary,416,no,no,4,unknown,no
76,retired,married,secondary,4112,no,no,2,unknown,yes
42,management,married,tertiary,2463,no,no,2,unknown,no
70,unknown,married,tertiary,353,no,no,2,unknown,no
70,retired,married,secondary,2815,no,no,1,unknown,no
50,technician,single,secondary,3897,no,no,1,unknown,no
82,housemaid,divorced,primary,1381,no,no,1,unknown,no
81,retired,married,primary,243,no,no,1,unknown,yes
52,technician,married,secondary,1373,no,no,1,unknown,no
57,technician,married,secondary,254,no,no,1,unknown,yes
22,student,single,secondary,23,no,no,1,unknown,yes
53,unknown,married,primary,732,no,no,2,unknown,yes
60,admin.,married,unknown,4629,yes,no,1,unknown,yes
66,retired,married,primary,747,no,no,1,unknown,no
70,retired,married,secondary,616,no,no,1,unknown,no
55,technician,married,secondary,0,yes,yes,1,unknown,no
54,admin.,married,unknown,140,no,no,2,unknown,no
80,retired,married,secondary,87,no,no,2,unknown,no
33,management,single,tertiary,373,no,yes,1,unknown,no
76,retired,married,unknown,992,no,no,2,unknown,no
44,management,single,tertiary,5063,no,no,2,unknown,yes
65,retired,married,secondary,1624,no,no,2,unknown,no
29,services,single,tertiary,1788,no,no,1,unknown,yes
52,services,married,secondary,659,no,no,1,unknown,yes
36,student,single,tertiary,129,no,no,1,unknown,yes
33,management,single,tertiary,3170,no,no,2,unknown,no
63,retired,married,tertiary,937,no,no,2,unknown,no
30,management,single,tertiary,16935,no,no,1,unknown,no
50,management,married,tertiary,3463,no,yes,1,unknown,yes
65,admin.,married,secondary,11240,yes,no,1,unknown,no
54,admin.,divorced,secondary,735,no,no,1,unknown,no
26,student,single,unknown,603,no,no,1,unknown,no
67,retired,married,primary,2,no,no,1,unknown,no
68,retired,married,primary,7945,no,no,1,unknown,no
74,retired,married,tertiary,1742,no,no,1,unknown,no
75,self-employed,married,unknown,4984,no,no,1,unknown,yes
65,retired,married,primary,1004,no,no,1,unknown,yes
64,retired,married,secondary,4787,no,no,1,unknown,yes
38,technician,single,tertiary,1727,no,no,2,unknown,no
42,blue-collar,married,secondary,3213,no,no,1,unknown,no
31,management,married,tertiary,81,yes,no,2,unknown,yes
52,blue-collar,married,secondary,2230,no,no,3,unknown,yes
25,management,single,tertiary,667,no,no,2,unknown,no
36,management,married,tertiary,203,no,no,1,unknown,yes
55,management,married,tertiary,13578,no,no,2,unknown,no
64,management,married,tertiary,3951,no,no,1,unknown,yes
54,technician,married,unknown,240,yes,no,1,unknown,yes
26,admin.,single,secondary,338,no,no,1,unknown,yes
51,self-employed,single,secondary,0,no,no,2,unknown,yes
72,retired,married,secondary,0,no,no,3,unknown,yes
30,management,single,tertiary,0,no,no,2,unknown,no
30,management,married,tertiary,944,no,no,2,unknown,yes
60,blue-collar,married,primary,5,no,no,1,unknown,yes
39,management,married,tertiary,53,yes,no,1,unknown,no
45,admin.,divorced,secondary,0,no,no,1,unknown,yes
54,housemaid,married,secondary,962,yes,no,3,unknown,yes
28,student,single,tertiary,2306,no,no,2,unknown,no
35,admin.,single,tertiary,980,no,no,2,unknown,no
47,management,single,tertiary,551,no,no,1,unknown,yes
36,technician,married,tertiary,1327,no,no,2,unknown,no
21,student,single,primary,8278,no,no,1,unknown,yes
67,unknown,married,tertiary,7687,no,no,3,unknown,no
62,management,married,tertiary,7458,no,no,2,unknown,yes
41,unemployed,married,tertiary,0,no,no,3,unknown,yes
84,retired,married,primary,1791,no,no,3,unknown,no
32,management,single,tertiary,2846,yes,no,1,unknown,no
33,management,single,tertiary,2934,no,no,1,unknown,no
49,management,divorced,tertiary,348,no,no,1,unknown,yes
26,technician,single,secondary,44,no,no,1,unknown,yes
36,blue-collar,married,secondary,1193,no,no,1,unknown,yes
87,retired,married,primary,230,no,no,1,unknown,yes
61,retired,married,primary,8729,no,no,1,unknown,yes
52,self-employed,married,tertiary,730,yes,no,2,unknown,no
47,unemployed,married,tertiary,1725,yes,yes,2,unknown,no
70,retired,married,secondary,2384,no,no,2,unknown,yes
41,services,married,tertiary,881,no,no,3,unknown,yes
22,student,single,secondary,1522,no,no,2,unknown,yes
51,unknown,married,unknown,1585,no,no,4,unknown,no
60,retired,divorced,secondary,4243,no,no,2,unknown,yes
28,student,single,tertiary,3717,no,no,2,unknown,no
60,retired,divorced,primary,8434,no,no,2,unknown,no
57,management,married,tertiary,1832,yes,no,2,unknown,no
33,management,single,tertiary,2485,yes,no,2,unknown,no
30,technician,single,secondary,846,no,no,2,unknown,no
29,technician,single,secondary,3851,no,no,2,unknown,no
39,technician,married,tertiary,508,no,no,3,unknown,no
51,technician,married,secondary,39,no,no,1,unknown,no
32,management,single,tertiary,9317,no,no,3,unknown,no
65,retired,married,primary,1992,no,no,1,unknown,no
32,technician,single,tertiary,600,no,no,1,unknown,no
33,management,single,tertiary,576,no,no,1,unknown,no
51,technician,married,secondary,580,yes,no,5,unknown,no
58,admin.,married,secondary,2777,yes,no,3,unknown,no
59,management,married,secondary,4412,no,no,2,unknown,yes
25,unemployed,married,secondary,1404,yes,no,2,unknown,no
29,student,single,unknown,10332,no,no,3,unknown,yes
35,management,married,tertiary,1133,yes,no,1,unknown,yes
44,admin.,married,secondary,205,no,no,1,unknown,yes
35,admin.,divorced,secondary,1224,yes,no,1,unknown,yes
37,management,married,tertiary,238,no,no,1,unknown,yes
52,admin.,single,secondary,2398,yes,no,1,unknown,yes
67,retired,divorced,secondary,704,no,no,1,unknown,yes
64,retired,married,primary,5871,no,no,1,unknown,no
34,management,single,tertiary,382,no,no,1,unknown,no
45,housemaid,married,secondary,360,no,no,1,unknown,yes
29,technician,single,secondary,938,no,no,1,unknown,yes
33,services,married,secondary,1697,no,no,1,unknown,yes
62,housemaid,married,secondary,2,no,no,1,unknown,yes
76,retired,married,primary,1492,no,no,1,unknown,yes
33,admin.,married,secondary,0,no,no,3,unknown,no
69,technician,married,tertiary,482,no,no,1,unknown,no
42,management,married,tertiary,520,no,no,1,unknown,no
34,management,married,tertiary,527,no,no,1,unknown,no
33,management,single,tertiary,5276,no,no,1,unknown,no
49,technician,married,secondary,402,no,no,2,unknown,no
42,management,married,tertiary,603,yes,no,5,unknown,no
73,retired,married,secondary,19,no,no,2,unknown,no
78,retired,married,tertiary,226,no,no,1,unknown,no
31,technician,married,secondary,2440,no,no,1,unknown,no
53,admin.,married,secondary,10541,no,no,1,unknown,yes
24,student,single,tertiary,235,no,no,1,unknown,yes
64,entrepreneur,married,tertiary,2331,no,no,1,unknown,yes
81,retired,divorced,unknown,9224,no,no,2,unknown,no
27,services,single,secondary,6279,yes,no,1,unknown,no
42,management,married,tertiary,2816,no,no,2,unknown,yes
63,retired,divorced,primary,109,no,no,2,unknown,yes
76,retired,married,secondary,2302,no,no,2,unknown,no
79,retired,married,secondary,2661,no,no,5,unknown,yes
61,self-employed,married,tertiary,4162,no,no,1,unknown,no
70,retired,married,secondary,1164,no,no,2,unknown,no
32,management,single,tertiary,2134,no,no,2,unknown,no
63,retired,married,secondary,3579,no,no,2,unknown,no
49,management,married,primary,3371,no,no,2,unknown,yes
58,blue-collar,married,secondary,381,no,no,4,unknown,no
40,management,married,tertiary,9366,no,no,3,unknown,yes
32,technician,single,tertiary,6746,no,no,1,unknown,yes
20,student,single,unknown,801,no,no,2,unknown,yes
39,management,single,tertiary,1509,no,no,1,unknown,no
57,unemployed,married,secondary,2299,no,no,3,unknown,no
54,housemaid,single,secondary,1213,no,no,1,unknown,yes
63,retired,married,primary,8044,no,no,1,unknown,no
72,retired,married,secondary,4130,no,no,1,unknown,no
82,retired,divorced,tertiary,0,no,no,1,unknown,yes
77,retired,divorced,secondary,3417,no,no,1,unknown,yes
72,retired,married,primary,3232,no,no,2,unknown,no
33,admin.,single,tertiary,280,no,no,2,unknown,no
38,admin.,married,secondary,1767,yes,no,7,unknown,yes
64,retired,married,secondary,2031,no,no,5,unknown,no
38,entrepreneur,married,tertiary,1438,no,no,5,unknown,no
75,retired,divorced,secondary,2199,no,no,1,unknown,no
61,retired,married,primary,2863,no,no,1,unknown,no
61,retired,married,secondary,3114,no,no,1,unknown,yes
62,retired,divorced,tertiary,0,no,no,2,unknown,yes
64,retired,married,unknown,679,no,no,1,unknown,yes
25,technician,single,secondary,5695,no,no,1,unknown,no
22,student,single,unknown,410,no,no,1,unknown,no
57,admin.,married,secondary,367,no,no,2,unknown,no
63,management,married,tertiary,3115,no,no,5,unknown,yes
23,student,single,secondary,1234,no,no,1,unknown,yes
63,entrepreneur,married,tertiary,2707,no,no,4,unknown,no
21,student,single,secondary,347,no,no,1,unknown,no
56,management,married,primary,870,no,no,1,unknown,yes
30,admin.,married,tertiary,42,yes,yes,1,unknown,no
33,blue-collar,married,primary,195,no,no,5,unknown,yes
40,admin.,married,tertiary,764,yes,no,1,unknown,yes
62,retired,married,secondary,298,no,no,2,unknown,yes
63,retired,married,secondary,708,no,no,2,unknown,no
57,housemaid,divorced,primary,8278,no,no,3,unknown,no
71,retired,married,secondary,5715,no,no,2,unknown,yes
59,self-employed,married,tertiary,2013,no,no,2,unknown,yes
78,retired,married,tertiary,1204,no,no,1,unknown,yes
52,technician,married,secondary,234,no,no,1,unknown,yes
42,management,married,tertiary,2187,yes,no,3,unknown,yes
53,technician,married,secondary,163,yes,yes,1,unknown,no
37,management,married,tertiary,0,no,no,2,unknown,no
38,management,single,secondary,293,no,yes,2,unknown,no
70,retired,married,primary,3230,no,no,1,unknown,no
24,blue-collar,single,primary,1033,yes,no,1,unknown,no
49,management,married,tertiary,2187,no,no,2,unknown,no
61,technician,married,primary,2282,no,no,1,unknown,no
51,admin.,married,secondary,1216,no,no,1,unknown,no
33,management,married,tertiary,334,no,no,1,unknown,no
31,management,single,tertiary,9421,no,no,1,unknown,yes
39,technician,married,secondary,1820,no,no,1,unknown,no
31,admin.,single,secondary,4198,no,no,1,unknown,yes
37,management,married,tertiary,4842,yes,no,1,unknown,no
61,retired,divorced,primary,3624,no,no,1,unknown,yes
46,housemaid,married,secondary,38,no,no,1,unknown,yes
57,blue-collar,divorced,primary,1299,no,no,2,unknown,no
53,technician,married,secondary,1982,yes,yes,1,unknown,yes
83,retired,divorced,primary,20,no,no,3,unknown,no
63,unemployed,married,primary,0,no,no,3,unknown,no
58,retired,married,primary,4007,no,no,4,unknown,no
51,technician,married,tertiary,2506,no,no,3,unknown,no
32,entrepreneur,married,secondary,390,no,no,1,unknown,no
31,technician,married,secondary,318,no,no,1,unknown,yes
26,blue-collar,single,tertiary,644,no,no,1,unknown,yes
44,unknown,single,unknown,18881,no,no,2,unknown,no
32,management,single,tertiary,84,no,no,1,unknown,no
53,unemployed,married,primary,980,yes,no,1,unknown,yes
39,technician,married,secondary,2983,no,no,1,unknown,yes
61,housemaid,married,primary,175,no,no,1,unknown,no
72,retired,married,unknown,1940,no,no,2,unknown,yes
29,management,single,tertiary,1445,no,no,2,unknown,yes
26,student,single,tertiary,294,no,no,2,unknown,yes
33,technician,married,secondary,711,no,no,2,unknown,no
69,retired,divorced,secondary,344,no,no,2,unknown,no
73,retired,divorced,primary,5028,no,no,10,unknown,yes
27,student,single,unknown,3511,no,no,3,unknown,no
61,management,married,tertiary,0,yes,yes,2,unknown,no
64,retired,married,secondary,1220,no,no,1,unknown,no
61,retired,divorced,secondary,1761,no,no,3,unknown,no
45,technician,married,secondary,0,yes,no,1,unknown,yes
61,retired,married,primary,103,no,no,1,unknown,no
34,self-employed,single,secondary,360,yes,no,1,unknown,no
25,blue-collar,single,secondary,1163,no,no,3,unknown,no
29,admin.,single,tertiary,135,no,no,1,unknown,no
81,retired,married,secondary,93,no,no,1,unknown,no
51,admin.,married,secondary,241,no,no,2,unknown,yes
72,retired,married,unknown,413,no,no,6,unknown,no
80,retired,married,secondary,462,no,no,2,unknown,no
31,technician,married,secondary,684,yes,no,3,unknown,yes
30,student,single,secondary,1681,no,no,2,unknown,yes
22,student,single,secondary,120,no,no,5,unknown,no
24,student,single,secondary,1847,no,no,1,unknown,no
30,management,married,tertiary,1077,no,no,1,unknown,no
49,technician,married,secondary,307,no,no,1,unknown,yes
59,unemployed,married,secondary,957,no,no,2,unknown,yes
80,retired,married,primary,155,no,no,2,unknown,yes
86,retired,single,secondary,614,no,no,1,unknown,yes
69,retired,married,unknown,426,no,no,1,unknown,yes
71,retired,married,secondary,91,no,no,6,unknown,no
35,technician,married,secondary,13658,yes,no,2,unknown,no
36,services,married,secondary,4721,no,no,3,unknown,yes
49,management,married,tertiary,395,no,no,5,unknown,yes
69,retired,married,secondary,3588,yes,no,1,unknown,yes
61,retired,married,primary,421,no,no,2,unknown,no
28,management,single,tertiary,1351,no,no,1,unknown,no
57,management,married,tertiary,1016,no,no,1,unknown,no
64,retired,married,primary,43,no,no,1,unknown,yes
30,services,married,secondary,517,no,no,2,unknown,yes
19,student,single,secondary,526,no,no,3,unknown,no
30,technician,single,tertiary,1070,no,no,2,unknown,no
53,entrepreneur,married,tertiary,1961,no,no,1,unknown,yes
87,retired,married,secondary,433,no,no,1,unknown,no
34,management,married,tertiary,2037,no,no,2,unknown,yes
81,retired,divorced,secondary,452,no,no,1,unknown,yes
72,retired,married,secondary,1533,no,no,2,unknown,yes
62,retired,married,tertiary,0,no,no,2,unknown,no
67,retired,married,primary,258,no,no,1,unknown,no
28,blue-collar,single,secondary,1705,no,no,2,unknown,yes
66,housemaid,married,primary,1230,no,no,3,unknown,yes
51,blue-collar,married,secondary,955,no,yes,3,unknown,yes
30,technician,married,tertiary,1307,no,no,6,unknown,no
30,management,single,tertiary,102,yes,no,3,unknown,yes
31,student,single,unknown,2347,no,no,2,unknown,no
75,retired,divorced,secondary,1341,no,no,7,unknown,yes
31,technician,married,tertiary,3338,yes,no,2,unknown,yes
54,management,divorced,tertiary,12018,yes,no,2,unknown,yes
30,unemployed,divorced,secondary,7105,no,no,2,unknown,yes
33,management,married,tertiary,812,no,no,1,unknown,no
37,technician,married,secondary,6963,yes,no,2,unknown,no
52,unemployed,divorced,secondary,230,no,no,2,unknown,yes
47,management,married,tertiary,1122,no,no,1,unknown,no
33,management,married,tertiary,1808,no,no,3,unknown,yes
33,admin.,single,tertiary,102,no,no,4,unknown,no
70,retired,divorced,primary,828,no,no,1,unknown,no
38,self-employed,married,secondary,854,yes,yes,2,unknown,no
25,technician,married,tertiary,2551,no,no,3,unknown,yes
36,services,single,secondary,23,yes,no,1,unknown,no
44,management,married,unknown,2724,no,no,1,unknown,yes
78,retired,divorced,primary,4917,no,no,2,unknown,no
20,student,single,unknown,755,no,no,1,unknown,yes
30,self-employed,single,tertiary,916,no,no,2,unknown,yes
72,retired,married,primary,0,no,no,2,unknown,no
34,management,single,tertiary,2561,no,no,1,unknown,no
46,management,divorced,tertiary,461,no,no,2,unknown,yes
30,housemaid,single,tertiary,3185,yes,no,3,unknown,no
38,blue-collar,married,secondary,863,no,no,1,unknown,no
29,services,single,secondary,814,no,no,1,unknown,no
51,technician,divorced,tertiary,363,yes,no,1,unknown,no
33,admin.,divorced,secondary,212,yes,no,1,unknown,no
45,unemployed,married,secondary,891,yes,no,1,unknown,yes
40,admin.,divorced,secondary,212,no,no,1,unknown,no
27,management,single,secondary,843,no,no,1,unknown,yes
70,retired,married,primary,2795,no,no,2,unknown,yes
27,management,single,tertiary,8,no,no,2,unknown,no
50,management,single,tertiary,486,no,yes,1,unknown,no
35,management,married,tertiary,323,no,no,2,unknown,yes
65,unknown,married,unknown,300,no,no,1,unknown,no
85,retired,married,unknown,1934,no,no,1,unknown,no
34,unemployed,single,secondary,15,no,no,1,unknown,yes
