sample,main_hospital,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,만족도,유형설비,신뢰,감정배려,요구응대,확신
227,2,8,7,8,3,4,4,3,3,3,2,4,5,6,7,7.67 ,3.67 ,3.00 ,2.50 ,5.00 
228,5,4,5,3,5,4,4,3,4,9,10,8,7,6,6,4.00 ,4.33 ,3.50 ,9.50 ,7.00 
229,3,3,3,3,4,4,4,4,4,3,3,7,6,6,7,3.00 ,4.00 ,4.00 ,3.00 ,6.33 
230,4,8,7,7,2,3,3,2,1,3,2,8,7,6,6,7.33 ,2.67 ,1.50 ,2.50 ,7.00 
231,2,2,2,1,2,2,3,4,3,9,9,6,6,6,5,1.67 ,2.33 ,3.50 ,9.00 ,6.00 
232,1,9,9,10,2,3,3,5,4,3,3,7,7,6,7,9.33 ,2.67 ,4.50 ,3.00 ,6.67 
233,3,2,2,2,3,2,3,6,7,2,3,4,5,6,7,2.00 ,2.67 ,6.50 ,2.50 ,5.00 
234,5,9,10,9,3,2,3,9,10,9,9,7,7,6,4,9.33 ,2.67 ,9.50 ,9.00 ,6.67 
235,5,6,5,6,3,3,3,3,4,3,3,6,5,6,4,5.67 ,3.00 ,3.50 ,3.00 ,5.67 
236,1,6,5,6,2,3,3,3,4,9,9,4,5,6,7,5.67 ,2.67 ,3.50 ,9.00 ,5.00 
237,5,8,8,7,2,2,3,5,6,3,4,6,5,6,7,7.67 ,2.33 ,5.50 ,3.50 ,5.67 
238,3,2,2,3,5,4,3,7,7,4,4,7,7,6,7,2.33 ,4.00 ,7.00 ,4.00 ,6.67 
239,4,3,2,4,3,3,2,4,4,9,8,7,7,6,5,3.00 ,2.67 ,4.00 ,8.50 ,6.67 
240,4,5,6,5,3,2,2,8,7,7,7,6,6,6,7,5.33 ,2.33 ,7.50 ,7.00 ,6.00 
241,5,3,3,3,2,3,2,6,6,8,7,7,6,6,5,3.00 ,2.33 ,6.00 ,7.50 ,6.33 
242,2,8,9,8,2,2,1,6,6,4,4,5,6,6,2,8.33 ,1.67 ,6.00 ,4.00 ,5.67 
243,3,3,2,4,2,1,1,3,3,6,7,4,5,6,1,3.00 ,1.33 ,3.00 ,6.50 ,5.00 
244,4,7,8,8,2,2,1,5,5,5,6,5,5,6,2,7.67 ,1.67 ,5.00 ,5.50 ,5.33 
245,2,4,4,4,2,1,0,8,7,9,10,7,7,6,2,4.00 ,1.00 ,7.50 ,9.50 ,6.67 
246,2,2,2,2,2,1,0,5,6,8,8,6,5,6,5,2.00 ,1.00 ,5.50 ,8.00 ,5.67 
247,5,8,9,9,9,10,10,6,6,7,7,4,5,5,10,8.67 ,9.67 ,6.00 ,7.00 ,4.67 
248,3,6,6,7,8,9,10,2,2,8,7,4,4,5,6,6.33 ,9.00 ,2.00 ,7.50 ,4.33 
249,5,2,3,2,9,9,9,3,4,8,9,5,6,5,8,2.33 ,9.00 ,3.50 ,8.50 ,5.33 
250,1,7,8,6,9,10,9,8,7,2,3,7,6,5,9,7.00 ,9.33 ,7.50 ,2.50 ,6.00 
251,2,3,4,3,8,8,9,6,6,3,3,4,4,5,8,3.33 ,8.33 ,6.00 ,3.00 ,4.33 
252,5,6,7,6,8,9,8,8,7,9,10,5,6,5,8,6.33 ,8.33 ,7.50 ,9.50 ,5.33 
253,1,6,5,6,8,7,8,7,6,8,7,4,5,5,8,5.67 ,7.67 ,6.50 ,7.50 ,4.67 
254,4,5,5,4,8,7,8,5,6,9,10,3,4,5,7,4.67 ,7.67 ,5.50 ,9.50 ,4.00 
255,1,9,10,8,9,9,8,5,4,7,8,6,6,5,8,9.00 ,8.67 ,4.50 ,7.50 ,5.67 
256,1,8,8,7,7,7,8,6,7,2,2,5,5,5,8,7.67 ,7.33 ,6.50 ,2.00 ,5.00 
257,5,4,3,5,8,9,8,2,1,6,6,4,5,5,7,4.00 ,8.33 ,1.50 ,6.00 ,4.67 
258,4,3,4,3,8,8,7,8,9,8,8,5,6,5,8,3.33 ,7.67 ,8.50 ,8.00 ,5.33 
259,4,2,2,1,5,6,7,8,9,7,8,5,4,5,7,1.67 ,6.00 ,8.50 ,7.50 ,4.67 
260,5,3,2,2,7,6,7,4,4,2,2,7,6,5,8,2.33 ,6.67 ,4.00 ,2.00 ,6.00 
261,3,6,5,6,6,6,7,4,5,3,4,6,6,5,6,5.67 ,6.33 ,4.50 ,3.50 ,5.67 
262,4,5,4,5,5,6,7,2,1,6,6,5,6,5,6,4.67 ,6.00 ,1.50 ,6.00 ,5.33 
263,1,5,5,5,7,6,7,9,9,6,5,4,5,5,7,5.00 ,6.67 ,9.00 ,5.50 ,4.67 
264,5,6,5,6,9,8,7,2,2,5,4,6,5,5,9,5.67 ,8.00 ,2.00 ,4.50 ,5.33 
265,1,7,7,8,5,6,6,2,1,2,3,5,4,5,7,7.33 ,5.67 ,1.50 ,2.50 ,4.67 
266,3,9,9,8,5,6,6,8,8,7,8,5,6,5,6,8.67 ,5.67 ,8.00 ,7.50 ,5.33 
267,1,6,6,6,6,5,6,3,4,4,4,5,4,5,8,6.00 ,5.67 ,3.50 ,4.00 ,4.67 
268,3,2,2,2,5,6,6,4,5,2,1,5,5,5,8,2.00 ,5.67 ,4.50 ,1.50 ,5.00 
269,1,8,7,9,5,6,6,8,7,8,8,4,4,5,6,8.00 ,5.67 ,7.50 ,8.00 ,4.33 
270,1,4,3,5,7,6,6,6,6,3,2,4,5,5,8,4.00 ,6.33 ,6.00 ,2.50 ,4.67 
271,2,7,6,8,4,5,6,4,3,5,6,5,6,5,8,7.00 ,5.00 ,3.50 ,5.50 ,5.33 
272,2,7,7,8,7,6,6,6,6,4,4,3,4,5,4,7.33 ,6.33 ,6.00 ,4.00 ,4.00 
273,4,8,7,7,6,5,6,8,9,6,7,5,4,5,8,7.33 ,5.67 ,8.50 ,6.50 ,4.67 
274,5,7,8,6,6,6,5,5,6,5,5,3,4,5,8,7.00 ,5.67 ,5.50 ,5.00 ,4.00 
275,1,9,9,10,4,5,5,3,4,7,8,3,4,5,6,9.33 ,4.67 ,3.50 ,7.50 ,4.00 
276,5,8,8,9,4,5,5,8,9,8,8,5,4,5,6,8.33 ,4.67 ,8.50 ,8.00 ,4.67 
277,1,7,7,7,3,4,5,3,2,8,9,3,4,5,5,7.00 ,4.00 ,2.50 ,8.50 ,4.00 
278,2,6,7,7,5,4,5,2,2,3,2,5,4,5,6,6.67 ,4.67 ,2.00 ,2.50 ,4.67 
279,3,7,8,6,6,6,5,8,8,5,6,4,4,5,5,7.00 ,5.67 ,8.00 ,5.50 ,4.33 
280,4,3,3,4,3,4,5,8,9,7,8,6,5,5,7,3.33 ,4.00 ,8.50 ,7.50 ,5.33 
281,2,7,6,6,4,5,5,5,5,3,2,6,6,5,6,6.33 ,4.67 ,5.00 ,2.50 ,5.67 
282,2,8,9,7,4,5,5,5,6,4,5,4,4,5,8,8.00 ,4.67 ,5.50 ,4.50 ,4.33 
283,2,8,7,8,3,4,5,9,9,2,1,4,4,5,6,7.67 ,4.00 ,9.00 ,1.50 ,4.33 
284,1,3,3,4,6,6,5,8,7,4,4,6,5,5,5,3.33 ,5.67 ,7.50 ,4.00 ,5.33 
285,1,5,4,5,5,5,5,6,7,2,1,7,6,5,8,4.67 ,5.00 ,6.50 ,1.50 ,6.00 
286,2,2,2,1,2,3,4,9,9,3,2,4,5,5,2,1.67 ,3.00 ,9.00 ,2.50 ,4.67 
287,3,6,5,7,5,4,4,8,9,5,4,6,5,5,7,6.00 ,4.33 ,8.50 ,4.50 ,5.33 
288,4,9,10,9,5,4,4,9,10,2,3,7,6,5,7,9.33 ,4.33 ,9.50 ,2.50 ,6.00 
289,3,4,3,4,4,5,4,4,4,2,1,5,5,5,5,3.67 ,4.33 ,4.00 ,1.50 ,5.00 
290,4,9,8,8,6,5,4,8,7,8,9,5,5,5,7,8.33 ,5.00 ,7.50 ,8.50 ,5.00 
291,5,9,10,9,3,4,4,4,3,4,3,7,6,5,7,9.33 ,3.67 ,3.50 ,3.50 ,6.00 
292,3,8,8,7,6,5,4,4,4,7,7,3,4,5,6,7.67 ,5.00 ,4.00 ,7.00 ,4.00 
293,3,8,9,7,2,3,4,9,8,5,4,6,5,5,6,8.00 ,3.00 ,8.50 ,4.50 ,5.33 
294,5,9,8,8,2,2,3,2,2,3,3,6,5,5,6,8.33 ,2.33 ,2.00 ,3.00 ,5.33 
295,1,6,5,7,4,3,3,7,7,4,5,4,4,5,6,6.00 ,3.33 ,7.00 ,4.50 ,4.33 
296,3,8,7,7,5,4,3,6,5,6,7,7,6,5,7,7.33 ,4.00 ,5.50 ,6.50 ,6.00 
297,1,9,8,9,3,2,3,2,1,3,4,5,6,5,4,8.67 ,2.67 ,1.50 ,3.50 ,5.33 
298,3,9,10,9,3,2,3,2,2,4,4,4,5,5,7,9.33 ,2.67 ,2.00 ,4.00 ,4.67 
299,2,3,2,2,2,3,3,9,10,6,6,5,4,5,6,2.33 ,2.67 ,9.50 ,6.00 ,4.67 
300,1,6,5,5,5,4,3,8,9,3,3,6,5,5,6,5.33 ,4.00 ,8.50 ,3.00 ,5.33 
301,5,5,6,6,3,2,3,6,6,5,4,4,4,5,7,5.67 ,2.67 ,6.00 ,4.50 ,4.33 
302,3,4,3,4,3,3,2,3,2,5,5,6,5,5,7,3.67 ,2.67 ,2.50 ,5.00 ,5.33 
303,2,6,6,5,2,2,2,3,4,9,8,5,4,5,6,5.67 ,2.00 ,3.50 ,8.50 ,4.67 
304,2,8,8,9,3,3,2,8,8,6,6,4,4,5,4,8.33 ,2.67 ,8.00 ,6.00 ,4.33 
305,3,2,2,1,4,3,2,8,8,6,6,5,4,5,7,1.67 ,3.00 ,8.00 ,6.00 ,4.67 
306,4,4,5,4,2,3,2,4,5,2,1,4,4,5,5,4.33 ,2.33 ,4.50 ,1.50 ,4.33 
307,3,3,4,4,3,2,2,8,9,6,6,6,5,5,6,3.67 ,2.33 ,8.50 ,6.00 ,5.33 
308,1,8,9,8,2,1,1,5,6,6,5,6,5,5,7,8.33 ,1.33 ,5.50 ,5.50 ,5.33 
309,5,5,4,6,3,2,1,7,7,8,7,5,4,5,7,5.00 ,2.00 ,7.00 ,7.50 ,4.67 
310,5,4,4,3,2,1,1,8,7,9,10,7,6,5,1,3.67 ,1.33 ,7.50 ,9.50 ,6.00 
311,3,7,6,7,2,2,1,7,8,5,5,4,4,5,6,6.67 ,1.67 ,7.50 ,5.00 ,4.33 
312,4,9,9,8,2,1,0,7,8,5,5,3,4,5,5,8.67 ,1.00 ,7.50 ,5.00 ,4.00 
313,1,5,5,5,9,9,10,6,6,3,4,6,5,4,9,5.00 ,9.33 ,6.00 ,3.50 ,5.00 
314,1,8,8,9,9,9,10,9,10,6,7,4,3,4,9,8.33 ,9.33 ,9.50 ,6.50 ,3.67 
315,3,2,1,2,9,9,10,7,7,5,5,3,4,4,9,1.67 ,9.33 ,7.00 ,5.00 ,3.67 
316,4,8,9,7,9,10,10,2,1,4,5,6,5,4,7,8.00 ,9.67 ,1.50 ,4.50 ,5.00 
317,5,4,4,3,9,9,10,2,2,4,4,2,3,4,9,3.67 ,9.33 ,2.00 ,4.00 ,3.00 
318,2,4,3,3,8,8,9,5,4,5,4,4,4,4,9,3.33 ,8.33 ,4.50 ,4.50 ,4.00 
319,5,6,5,7,9,8,9,2,2,9,9,4,3,4,8,6.00 ,8.67 ,2.00 ,9.00 ,3.67 
320,4,5,6,5,9,10,9,3,2,6,6,2,3,4,8,5.33 ,9.33 ,2.50 ,6.00 ,3.00 
321,2,7,7,8,8,9,9,7,6,6,5,3,3,4,6,7.33 ,8.67 ,6.50 ,5.50 ,3.33 
322,1,5,5,5,9,9,9,5,5,2,1,5,4,4,8,5.00 ,9.00 ,5.00 ,1.50 ,4.33 
323,4,3,2,3,8,9,9,7,7,2,1,4,4,4,7,2.67 ,8.67 ,7.00 ,1.50 ,4.00 
324,1,6,6,7,9,8,9,8,7,5,6,4,3,4,8,6.33 ,8.67 ,7.50 ,5.50 ,3.67 
325,1,5,5,5,7,8,8,4,4,3,4,5,4,4,9,5.00 ,7.67 ,4.00 ,3.50 ,4.33 
326,4,5,5,4,8,7,8,6,5,4,3,4,4,4,9,4.67 ,7.67 ,5.50 ,3.50 ,4.00 
327,1,8,9,9,9,9,8,4,4,8,8,4,5,4,7,8.67 ,8.67 ,4.00 ,8.00 ,4.33 
328,4,6,5,5,9,9,8,4,5,4,4,3,4,4,7,5.33 ,8.67 ,4.50 ,4.00 ,3.67 
329,2,7,8,6,9,8,8,3,3,4,3,4,5,4,7,7.00 ,8.33 ,3.00 ,3.50 ,4.33 
330,3,5,4,6,7,8,8,4,4,7,7,5,5,4,7,5.00 ,7.67 ,4.00 ,7.00 ,4.67 
331,1,9,9,10,6,7,8,9,10,5,6,4,5,4,7,9.33 ,7.00 ,9.50 ,5.50 ,4.33 
332,5,5,4,4,8,9,8,6,5,2,1,4,5,4,8,4.33 ,8.33 ,5.50 ,1.50 ,4.33 
333,4,3,2,2,8,8,8,2,2,2,3,5,4,4,7,2.33 ,8.00 ,2.00 ,2.50 ,4.33 
334,5,7,8,7,7,8,7,7,7,4,5,4,3,4,8,7.33 ,7.33 ,7.00 ,4.50 ,3.67 
335,3,2,3,2,7,7,7,7,7,9,9,4,4,4,7,2.33 ,7.00 ,7.00 ,9.00 ,4.00 
336,1,3,3,4,6,7,7,6,7,4,4,6,5,4,8,3.33 ,6.67 ,6.50 ,4.00 ,5.00 
337,2,2,1,2,8,8,7,2,3,4,5,4,3,4,7,1.67 ,7.67 ,2.50 ,4.50 ,3.67 
338,4,6,5,6,7,6,7,3,3,7,8,4,5,4,7,5.67 ,6.67 ,3.00 ,7.50 ,4.33 
339,4,7,6,6,7,7,7,3,2,7,8,5,5,4,8,6.33 ,7.00 ,2.50 ,7.50 ,4.67 
340,2,5,6,6,7,7,7,6,5,5,5,3,4,4,8,5.67 ,7.00 ,5.50 ,5.00 ,3.67 
341,3,2,1,3,7,7,7,7,6,4,5,4,3,4,6,2.00 ,7.00 ,6.50 ,4.50 ,3.67 
342,5,4,5,4,6,6,7,7,8,5,5,6,5,4,5,4.33 ,6.33 ,7.50 ,5.00 ,5.00 
343,1,3,2,2,8,7,6,9,8,6,7,6,5,4,9,2.33 ,7.00 ,8.50 ,6.50 ,5.00 
344,2,6,5,6,7,7,6,8,9,2,3,5,5,4,6,5.67 ,6.67 ,8.50 ,2.50 ,4.67 
345,3,4,4,4,5,6,6,3,4,5,6,4,4,4,7,4.00 ,5.67 ,3.50 ,5.50 ,4.00 
346,4,4,3,5,6,5,6,6,6,8,8,4,5,4,7,4.00 ,5.67 ,6.00 ,8.00 ,4.33 
347,4,9,9,10,6,6,6,4,4,7,7,5,5,4,8,9.33 ,6.00 ,4.00 ,7.00 ,4.67 
348,5,5,5,5,6,6,6,9,9,9,10,3,3,4,7,5.00 ,6.00 ,9.00 ,9.50 ,3.33 
349,2,2,2,1,5,6,6,2,2,4,3,5,4,4,8,1.67 ,5.67 ,2.00 ,3.50 ,4.33 
350,2,5,4,4,4,5,6,3,4,2,1,4,5,4,5,4.33 ,5.00 ,3.50 ,1.50 ,4.33 
351,4,9,8,10,8,7,6,5,6,2,1,4,4,4,8,9.00 ,7.00 ,5.50 ,1.50 ,4.00 
352,1,5,6,4,6,5,6,6,6,4,4,4,4,4,6,5.00 ,5.67 ,6.00 ,4.00 ,4.00 
353,1,8,9,7,6,5,5,9,9,5,4,6,5,4,6,8.00 ,5.33 ,9.00 ,4.50 ,5.00 
354,4,7,6,7,4,4,5,6,6,9,8,2,3,4,6,6.67 ,4.33 ,6.00 ,8.50 ,3.00 
355,4,5,6,5,5,4,5,5,6,2,1,3,3,4,6,5.33 ,4.67 ,5.50 ,1.50 ,3.33 
356,3,7,7,7,3,3,4,4,5,4,3,2,3,4,3,7.00 ,3.33 ,4.50 ,3.50 ,3.00 
357,5,6,5,7,4,4,4,3,3,5,4,4,5,4,6,6.00 ,4.00 ,3.00 ,4.50 ,4.33 
358,3,7,6,7,4,5,4,9,8,2,3,4,3,4,6,6.67 ,4.33 ,8.50 ,2.50 ,3.67 
359,1,9,9,9,5,5,4,2,3,7,6,4,3,4,8,9.00 ,4.67 ,2.50 ,6.50 ,3.67 
360,4,2,1,1,4,4,4,3,2,6,6,4,5,4,6,1.33 ,4.00 ,2.50 ,6.00 ,4.33 
361,1,2,2,2,3,4,4,8,9,8,7,4,5,4,6,2.00 ,3.67 ,8.50 ,7.50 ,4.33 
362,2,5,4,4,4,5,4,5,5,3,2,3,3,4,7,4.33 ,4.33 ,5.00 ,2.50 ,3.33 
363,4,8,7,9,5,4,4,2,1,7,6,6,5,4,7,8.00 ,4.33 ,1.50 ,6.50 ,5.00 
364,1,4,5,4,4,5,4,9,9,7,6,4,3,4,7,4.33 ,4.33 ,9.00 ,6.50 ,3.67 
365,1,5,6,5,2,3,3,2,1,5,6,2,3,4,6,5.33 ,2.67 ,1.50 ,5.50 ,3.00 
366,3,4,4,4,3,2,3,9,8,8,7,4,3,4,6,4.00 ,2.67 ,8.50 ,7.50 ,3.67 
367,5,7,8,7,2,3,3,9,8,3,4,4,5,4,5,7.33 ,2.67 ,8.50 ,3.50 ,4.33 
368,1,2,3,1,4,3,3,8,9,7,7,4,3,4,5,2.00 ,3.33 ,8.50 ,7.00 ,3.67 
369,4,5,6,5,3,2,3,6,7,4,4,4,3,4,2,5.33 ,2.67 ,6.50 ,4.00 ,3.67 
370,2,9,8,9,5,4,3,5,6,4,5,2,3,4,6,8.67 ,4.00 ,5.50 ,4.50 ,3.00 
371,5,6,5,6,4,3,2,3,4,4,4,4,4,4,5,5.67 ,3.00 ,3.50 ,4.00 ,4.00 
372,5,2,2,3,3,2,2,6,5,8,7,3,3,4,6,2.33 ,2.33 ,5.50 ,7.50 ,3.33 
373,2,8,8,7,2,2,2,2,3,5,5,5,4,4,5,7.67 ,2.00 ,2.50 ,5.00 ,4.33 
374,2,4,3,4,2,3,2,6,7,9,8,4,3,4,7,3.67 ,2.33 ,6.50 ,8.50 ,3.67 
375,1,8,9,8,2,2,2,9,10,2,2,4,5,4,7,8.33 ,2.00 ,9.50 ,2.00 ,4.33 
376,1,5,5,6,3,2,2,3,4,9,10,4,5,4,7,5.33 ,2.33 ,3.50 ,9.50 ,4.33 
377,2,8,9,8,2,1,2,2,2,4,3,3,3,4,1,8.33 ,1.67 ,2.00 ,3.50 ,3.33 
378,4,2,3,2,2,3,2,3,3,5,6,3,4,4,1,2.33 ,2.33 ,3.00 ,5.50 ,3.67 
379,4,6,7,6,2,2,2,8,7,3,3,5,5,4,5,6.33 ,2.00 ,7.50 ,3.00 ,4.67 
380,3,3,4,4,3,3,2,2,2,5,6,4,4,4,2,3.67 ,2.67 ,2.00 ,5.50 ,4.00 
381,5,6,5,6,3,2,2,2,1,3,4,3,4,4,1,5.67 ,2.33 ,1.50 ,3.50 ,3.67 
382,1,3,2,2,3,2,2,5,6,6,5,4,3,4,5,2.33 ,2.33 ,5.50 ,5.50 ,3.67 
383,4,5,6,6,4,3,2,7,6,6,7,2,3,4,4,5.67 ,3.00 ,6.50 ,6.50 ,3.00 
384,4,4,3,3,2,2,1,8,7,3,4,4,3,4,0,3.33 ,1.67 ,7.50 ,3.50 ,3.67 
385,3,6,5,7,8,9,10,9,10,2,3,5,4,3,7,6.00 ,9.00 ,9.50 ,2.50 ,4.00 
386,4,5,4,5,9,10,10,4,4,7,8,5,4,3,8,4.67 ,9.67 ,4.00 ,7.50 ,4.00 
387,2,5,5,5,8,9,10,3,4,3,3,3,4,3,8,5.00 ,9.00 ,3.50 ,3.00 ,3.33 
388,1,2,3,2,9,10,10,9,9,9,10,3,2,3,7,2.33 ,9.67 ,9.00 ,9.50 ,2.67 
389,3,8,8,7,8,9,9,5,5,8,7,3,4,3,8,7.67 ,8.67 ,5.00 ,7.50 ,3.33 
390,2,8,7,9,9,10,9,9,9,9,10,4,3,3,10,8.00 ,9.33 ,9.00 ,9.50 ,3.33 
391,5,5,6,5,9,10,9,4,5,3,3,5,4,3,8,5.33 ,9.33 ,4.50 ,3.00 ,4.00 
392,5,2,1,2,9,9,9,2,3,7,8,5,4,3,8,1.67 ,9.00 ,2.50 ,7.50 ,4.00 
393,1,6,5,7,9,10,9,7,8,6,5,4,4,3,9,6.00 ,9.33 ,7.50 ,5.50 ,3.67 
394,3,8,7,9,9,10,9,2,1,9,10,3,2,3,8,8.00 ,9.33 ,1.50 ,9.50 ,2.67 
395,5,2,2,3,9,8,8,3,4,9,10,3,3,3,8,2.33 ,8.33 ,3.50 ,9.50 ,3.00 
396,3,8,9,7,9,8,8,2,3,4,3,5,4,3,8,8.00 ,8.33 ,2.50 ,3.50 ,4.00 
397,2,3,2,3,8,8,8,2,2,4,5,4,3,3,6,2.67 ,8.00 ,2.00 ,4.50 ,3.33 
398,2,4,3,5,8,7,8,3,2,5,4,4,4,3,7,4.00 ,7.67 ,2.50 ,4.50 ,3.67 
399,1,6,5,7,8,7,8,6,5,7,7,3,2,3,9,6.00 ,7.67 ,5.50 ,7.00 ,2.67 
400,5,7,7,6,9,8,8,4,5,5,6,5,4,3,9,6.67 ,8.33 ,4.50 ,5.50 ,4.00 
401,5,4,4,4,7,6,7,9,8,8,8,3,4,3,8,4.00 ,6.67 ,8.50 ,8.00 ,3.33 
402,2,7,8,7,9,8,7,7,8,7,7,3,2,3,8,7.33 ,8.00 ,7.50 ,7.00 ,2.67 
403,2,2,3,2,8,8,7,2,2,6,7,4,4,3,6,2.33 ,7.67 ,2.00 ,6.50 ,3.67 
404,1,3,4,2,7,6,7,4,3,8,8,5,4,3,6,3.00 ,6.67 ,3.50 ,8.00 ,4.00 
405,3,6,7,5,7,7,7,6,5,4,4,5,4,3,7,6.00 ,7.00 ,5.50 ,4.00 ,4.00 
406,4,6,6,7,6,7,7,5,6,4,5,3,3,3,6,6.33 ,6.67 ,5.50 ,4.50 ,3.00 
407,4,9,10,9,6,7,7,6,7,8,9,2,2,3,6,9.33 ,6.67 ,6.50 ,8.50 ,2.33 
408,1,8,7,7,9,8,7,6,6,3,2,4,3,3,8,7.33 ,8.00 ,6.00 ,2.50 ,3.33 
409,3,8,8,7,7,8,7,9,8,8,8,3,2,3,8,7.67 ,7.33 ,8.50 ,8.00 ,2.67 
410,5,3,2,3,6,6,7,9,10,3,2,4,4,3,6,2.67 ,6.33 ,9.50 ,2.50 ,3.67 
411,4,5,5,4,7,8,7,6,5,8,7,2,2,3,7,4.67 ,7.33 ,5.50 ,7.50 ,2.33 
412,2,4,4,3,4,5,6,7,6,8,8,5,4,3,8,3.67 ,5.00 ,6.50 ,8.00 ,4.00 
413,3,7,7,7,4,5,6,4,4,6,7,5,4,3,8,7.00 ,5.00 ,4.00 ,6.50 ,4.00 
414,4,2,1,2,6,7,6,5,5,4,5,3,4,3,8,1.67 ,6.33 ,5.00 ,4.50 ,3.33 
415,1,8,9,7,6,6,6,9,9,3,3,4,4,3,7,8.00 ,6.00 ,9.00 ,3.00 ,3.67 
416,1,9,10,10,5,6,6,5,5,7,6,3,3,3,8,9.67 ,5.67 ,5.00 ,6.50 ,3.00 
417,4,7,6,8,7,6,6,5,4,2,2,3,4,3,7,7.00 ,6.33 ,4.50 ,2.00 ,3.33 
418,3,6,7,6,5,4,5,2,1,8,9,3,4,3,5,6.33 ,4.67 ,1.50 ,8.50 ,3.33 
419,1,9,8,8,3,4,5,7,8,6,6,3,2,3,5,8.33 ,4.00 ,7.50 ,6.00 ,2.67 
420,4,7,8,7,4,5,5,4,3,9,9,4,3,3,8,7.33 ,4.67 ,3.50 ,9.00 ,3.33 
421,3,3,2,3,7,6,5,7,7,5,6,5,4,3,6,2.67 ,6.00 ,7.00 ,5.50 ,4.00 
422,5,6,5,5,7,6,5,7,8,8,9,3,2,3,7,5.33 ,6.00 ,7.50 ,8.50 ,2.67 
423,2,4,4,3,4,4,5,8,7,8,9,3,3,3,6,3.67 ,4.33 ,7.50 ,8.50 ,3.00 
424,4,4,4,4,7,6,5,9,8,3,3,5,4,3,5,4.00 ,6.00 ,8.50 ,3.00 ,4.00 
425,3,3,2,3,7,6,5,6,7,5,4,5,4,3,8,2.67 ,6.00 ,6.50 ,4.50 ,4.00 
426,1,7,8,7,2,3,4,6,6,7,8,4,3,3,6,7.33 ,3.00 ,6.00 ,7.50 ,3.33 
427,3,6,5,7,5,5,4,6,5,6,7,2,2,3,7,6.00 ,4.67 ,5.50 ,6.50 ,2.33 
428,5,8,8,9,5,4,4,6,5,4,4,4,4,3,6,8.33 ,4.33 ,5.50 ,4.00 ,3.67 
429,1,3,3,4,3,3,3,7,7,3,3,5,4,3,7,3.33 ,3.00 ,7.00 ,3.00 ,4.00 
430,5,4,3,4,5,4,3,7,8,6,7,3,4,3,7,3.67 ,4.00 ,7.50 ,6.50 ,3.33 
431,5,8,8,7,3,3,3,8,9,2,1,4,3,3,7,7.67 ,3.00 ,8.50 ,1.50 ,3.33 
432,1,4,4,4,2,2,2,5,4,2,2,3,4,3,3,4.00 ,2.00 ,4.50 ,2.00 ,3.33 
433,2,2,2,1,2,2,2,9,8,7,7,3,3,3,4,1.67 ,2.00 ,8.50 ,7.00 ,3.00 
434,1,4,3,5,4,3,2,9,9,9,10,3,2,3,2,4.00 ,3.00 ,9.00 ,9.50 ,2.67 
435,3,8,7,7,4,3,2,2,2,9,10,4,4,3,6,7.33 ,3.00 ,2.00 ,9.50 ,3.67 
436,1,2,2,1,2,2,2,6,6,3,2,4,4,3,0,1.67 ,2.00 ,6.00 ,2.50 ,3.67 
437,1,5,5,4,2,1,1,6,6,7,6,2,2,3,2,4.67 ,1.33 ,6.00 ,6.50 ,2.33 
438,5,7,7,8,2,2,1,4,3,5,4,2,3,3,5,7.33 ,1.67 ,3.50 ,4.50 ,2.67 
439,3,6,5,7,2,1,1,2,3,3,2,3,4,3,6,6.00 ,1.33 ,2.50 ,2.50 ,3.33 
440,4,4,3,4,2,1,0,2,2,2,3,2,3,3,4,3.67 ,1.00 ,2.00 ,2.50 ,2.67 
441,3,8,9,9,9,9,9,3,4,3,3,2,1,2,8,8.67 ,9.00 ,3.50 ,3.00 ,1.67 
442,5,7,7,7,9,10,9,3,2,5,6,2,2,2,9,7.00 ,9.33 ,2.50 ,5.50 ,2.00 
443,5,4,3,3,6,7,8,3,3,6,7,4,3,2,6,3.33 ,7.00 ,3.00 ,6.50 ,3.00 
444,5,9,9,9,8,9,8,7,6,4,5,3,2,2,8,9.00 ,8.33 ,6.50 ,4.50 ,2.33 
445,1,9,10,9,7,8,8,5,6,5,5,3,2,2,7,9.33 ,7.67 ,5.50 ,5.00 ,2.33 
446,2,7,8,6,7,7,7,2,1,3,2,2,1,2,8,7.00 ,7.00 ,1.50 ,2.50 ,1.67 
447,2,9,9,9,7,6,7,4,3,5,6,2,2,2,8,9.00 ,6.67 ,3.50 ,5.50 ,2.00 
448,3,2,1,1,5,6,6,5,6,7,8,2,3,2,7,1.33 ,5.67 ,5.50 ,7.50 ,2.33 
449,5,9,9,8,6,6,6,3,3,4,3,3,3,2,7,8.67 ,6.00 ,3.00 ,3.50 ,2.67 
450,1,8,8,9,6,7,6,8,7,8,7,3,2,2,8,8.33 ,6.33 ,7.50 ,7.50 ,2.33 
451,3,6,5,7,6,7,6,7,6,8,7,3,2,2,6,6.00 ,6.33 ,6.50 ,7.50 ,2.33 
452,2,8,7,8,8,7,6,3,3,7,6,4,3,2,6,7.67 ,7.00 ,3.00 ,6.50 ,3.00 
453,2,4,5,3,7,6,5,8,9,7,7,2,3,2,5,4.00 ,6.00 ,8.50 ,7.00 ,2.33 
454,4,7,6,6,3,4,5,8,7,2,1,4,3,2,5,6.33 ,4.00 ,7.50 ,1.50 ,3.00 
