sample,male,brand,performance,fuel_efficiency,design,recommend
879,1,Apr,3,1,4,3
880,0,May,6,2,2,3
881,1,Jun,2,4,6,4
882,0,Jul,3,3,1,4
883,1,Aug,1,6,5,2
884,1,Sep,4,5,6,4
885,1,Oct,6,5,3,5
886,1,Nov,6,5,4,6
887,0,Dec,4,3,4,5
888,0,Sun,6,4,7,5
889,1,Mon,2,4,5,2
890,0,Sat,5,3,2,5
891,0,Fri,3,5,7,4
892,0,Jan,1,2,2,1
893,0,Feb,6,4,5,4
894,1,Mar,3,7,3,4
895,0,Apr,2,1,5,1
896,0,May,7,5,6,6
897,1,Jun,4,5,7,4
898,1,Jul,7,5,4,7
899,1,Aug,3,4,7,5
900,1,Sep,5,6,1,3
901,0,Oct,2,5,6,3
902,1,Nov,5,3,6,5
903,0,Dec,6,2,6,6
904,1,Sun,5,4,7,5
905,1,Jan,4,5,4,3
906,1,Feb,4,7,4,5
907,0,Mar,1,5,4,3
908,0,Apr,4,2,6,5
909,1,May,4,6,4,4
910,0,Jun,3,2,7,4
911,1,Jul,5,3,2,3
912,0,Aug,3,4,4,2
913,0,Sep,2,6,7,5
914,0,Oct,2,3,4,2
915,1,Nov,6,4,3,6
916,1,Dec,6,5,6,4
917,1,Sun,6,4,5,5
918,0,Mon,3,4,1,3
919,1,Sat,7,6,4,7
920,0,Fri,5,6,2,4
921,1,Mon,5,4,3,3
922,0,Sat,6,5,2,4
923,1,Fri,5,7,5,6
924,0,Jan,2,7,1,3
925,0,Feb,7,3,6,4
926,1,Mar,5,4,7,4
927,0,Apr,3,2,2,3
928,0,May,5,4,6,6
929,0,Jun,4,5,7,6
930,0,Jul,6,4,4,6
931,0,Aug,2,5,6,3
932,1,Sep,7,4,7,7
933,0,Oct,5,6,6,5
934,1,Nov,6,6,4,5
935,1,Dec,6,4,7,4
936,0,Sun,4,4,2,5
937,1,Mon,4,7,7,5
938,1,Sat,7,5,2,6
939,0,Fri,4,5,1,4
940,0,Jan,4,7,5,6
941,0,Feb,4,4,3,4
942,1,Mar,2,6,7,5
943,1,Apr,4,2,3,3
944,0,May,7,5,2,6
945,1,Jun,4,2,5,4
946,1,Jul,5,4,4,5
947,0,Aug,3,4,4,3
948,1,Sep,3,6,7,4
949,1,Oct,4,6,1,4
950,1,Nov,7,6,6,7
951,1,Dec,7,3,5,5
952,0,Sun,6,2,5,3
953,0,Mon,3,7,2,5
954,1,Sat,3,4,1,4
955,1,Fri,4,5,6,5
956,0,Jan,4,6,5,4
957,1,Feb,5,4,4,5
958,0,Mar,4,6,1,4
959,1,Apr,2,6,2,3
960,0,Jan,4,3,6,3
961,0,Feb,3,3,5,3
962,0,Mar,2,3,5,4
963,0,Apr,2,3,3,1
964,0,May,4,4,7,5
965,1,Jun,4,4,6,5
966,1,Jul,5,4,6,4
967,0,Aug,3,4,2,3
968,1,Sep,6,7,5,5
969,0,Oct,5,1,7,4
970,0,Nov,5,4,1,4
971,1,Dec,6,3,3,5
972,0,Sun,7,2,1,4
973,1,Mon,5,7,6,5
974,0,Sat,4,6,2,3
975,0,Fri,3,3,3,4
976,1,Jan,5,3,1,4
977,0,Feb,4,5,1,4
978,1,Mar,2,5,5,3
979,0,Apr,2,5,7,3
980,0,May,5,3,5,4
981,0,Jun,3,3,7,3
982,1,Jul,4,4,4,4
983,1,Aug,4,5,3,5
984,1,Sep,4,1,1,3
985,0,Oct,4,4,4,3
986,1,Nov,4,4,6,5
987,0,Dec,5,2,5,5
988,1,Sun,6,4,7,5
989,0,Mon,3,7,1,5
990,1,Sat,7,1,5,6
991,1,Fri,2,5,3,2
992,0,Jan,3,4,5,3
993,0,Feb,6,3,1,4
994,0,Mar,2,4,7,4
995,1,Apr,2,3,7,4
996,0,May,7,5,6,6
997,1,Jun,3,5,4,3
998,0,Jul,5,5,7,6
999,1,Aug,4,3,6,5
1000,1,Sep,4,3,7,3
