sample,male,age,apple,attribute,benefit,value
411,1,37,1,세련된 스타일,신뢰할 수 있다,풍족한 삶
412,0,35,0,세련된 스타일,여가활동이 즐겁다,좋은 관계
413,0,25,1,브랜드,개성을 표현할 수 있다,좋은 관계
414,0,27,1,카메라성능,여가활동이 즐겁다,즐거운 인생
415,1,28,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
416,1,36,0,화면크기,사용하기 편리하다,풍족한 삶
417,0,39,0,화면크기,업무효율성이 높아진다,걱정없는 삶
418,1,40,0,브랜드,신뢰할 수 있다,걱정없는 삶
419,1,33,1,카메라성능,개성을 표현할 수 있다,자아존중
420,1,47,1,내구성,신뢰할 수 있다,걱정없는 삶
421,1,25,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
422,0,44,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
423,0,39,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
424,1,26,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
425,0,46,1,화면크기,업무효율성이 높아진다,걱정없는 삶
426,1,34,1,브랜드,여가활동이 즐겁다,좋은 관계
427,1,30,1,브랜드,신뢰할 수 있다,걱정없는 삶
428,1,31,0,저장용량,사용하기 편리하다,걱정없는 삶
429,1,25,1,빠른 속도,업무효율성이 높아진다,풍족한 삶
430,1,29,1,카메라성능,개성을 표현할 수 있다,자아존중
431,0,41,1,화면크기,여가활동이 즐겁다,좋은 관계
432,0,43,0,화면크기,사용하기 편리하다,즐거운 인생
433,0,29,0,화면크기,사용하기 편리하다,걱정없는 삶
434,0,40,0,빠른 속도,사용하기 편리하다,즐거운 인생
435,0,23,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
436,1,45,0,빠른 속도,사용하기 편리하다,걱정없는 삶
437,1,43,0,빠른 속도,업무효율성이 높아진다,걱정없는 삶
438,1,38,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
439,0,47,1,브랜드,신뢰할 수 있다,걱정없는 삶
440,0,42,0,빠른 속도,사용하기 편리하다,풍족한 삶
441,1,42,1,카메라성능,SNS 참여가 쉽다,즐거운 인생
442,0,31,1,브랜드,신뢰할 수 있다,걱정없는 삶
443,1,28,1,브랜드,신뢰할 수 있다,즐거운 인생
444,1,24,1,세련된 스타일,개성을 표현할 수 있다,좋은 관계
445,0,30,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
446,1,44,1,카메라성능,개성을 표현할 수 있다,좋은 관계
447,0,32,1,브랜드,여가활동이 즐겁다,좋은 관계
448,0,30,1,내구성,신뢰할 수 있다,즐거운 인생
449,1,41,0,내구성,SNS 참여가 쉽다,즐거운 인생
450,1,47,1,브랜드,여가활동이 즐겁다,즐거운 인생
451,1,26,1,카메라성능,개성을 표현할 수 있다,자아존중
452,1,24,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
453,0,38,0,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
454,1,30,0,화면크기,사용하기 편리하다,즐거운 인생
455,0,48,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
456,1,30,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
457,0,30,1,브랜드,신뢰할 수 있다,풍족한 삶
458,0,39,1,세련된 스타일,여가활동이 즐겁다,즐거운 인생
459,1,24,0,빠른 속도,사용하기 편리하다,풍족한 삶
460,1,30,1,세련된 스타일,신뢰할 수 있다,걱정없는 삶
461,0,37,1,강력한 보안,신뢰할 수 있다,걱정없는 삶
462,1,45,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
463,1,23,1,세련된 스타일,신뢰할 수 있다,걱정없는 삶
464,0,36,0,빠른 속도,사용하기 편리하다,걱정없는 삶
465,1,41,1,강력한 보안,업무효율성이 높아진다,풍족한 삶
466,1,24,1,브랜드,여가활동이 즐겁다,좋은 관계
467,1,30,1,강력한 보안,업무효율성이 높아진다,자아존중
468,0,27,1,화면크기,사용하기 편리하다,걱정없는 삶
469,0,40,0,저장용량,업무효율성이 높아진다,풍족한 삶
470,0,49,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
471,1,27,0,내구성,신뢰할 수 있다,걱정없는 삶
472,1,45,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
473,0,47,1,브랜드,개성을 표현할 수 있다,풍족한 삶
474,0,30,1,브랜드,여가활동이 즐겁다,좋은 관계
475,1,30,0,저장용량,업무효율성이 높아진다,풍족한 삶
476,1,31,1,화면크기,사용하기 편리하다,풍족한 삶
477,1,23,1,강력한 보안,개인정보 보호가 된다,걱정없는 삶
478,0,25,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
479,1,30,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
480,1,47,0,빠른 속도,업무효율성이 높아진다,풍족한 삶
481,0,36,0,카메라성능,SNS 참여가 쉽다,즐거운 인생
482,0,45,1,카메라성능,여가활동이 즐겁다,걱정없는 삶
483,0,30,1,카메라성능,여가활동이 즐겁다,즐거운 인생
484,0,34,1,세련된 스타일,신뢰할 수 있다,걱정없는 삶
485,0,38,0,브랜드,신뢰할 수 있다,걱정없는 삶
486,0,35,1,브랜드,신뢰할 수 있다,걱정없는 삶
487,1,31,1,브랜드,신뢰할 수 있다,즐거운 인생
488,1,28,1,브랜드,신뢰할 수 있다,풍족한 삶
489,0,35,0,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
490,0,44,0,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
491,0,26,1,카메라성능,개성을 표현할 수 있다,좋은 관계
492,0,33,1,카메라성능,개성을 표현할 수 있다,자아존중
493,0,38,0,화면크기,업무효율성이 높아진다,풍족한 삶
494,1,28,1,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
495,1,30,0,저장용량,사용하기 편리하다,풍족한 삶
496,1,33,1,브랜드,개성을 표현할 수 있다,좋은 관계
497,0,32,0,내구성,경제적 손실을 줄인다,풍족한 삶
498,0,29,1,카메라성능,개성을 표현할 수 있다,좋은 관계
499,0,30,0,화면크기,여가활동이 즐겁다,즐거운 인생
500,0,23,1,세련된 스타일,여가활동이 즐겁다,좋은 관계
