pid,hid,housenum,p20ans,p21ans,p21area,p21area_siz,p21hhldsiz,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21job2,p21relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p21d25040,p21d25041,p21d25042,p21d25043,p21d25044,p21d25045,p21d25046,p21d25047,p21d25048,p21d25049,p21d25050,p21d25051,p21d25052,p21d25053,p21d25054,p21d25055,p21d25056,p21d25057,p21d25058,p21d25059,p21d25060,pc_ability,p21d25061,p21d25062,p21d25063,p21d25064,p21d25065,p21d25066,p21d25067,p21d25068,p21d25070,p21d25071,p21d25072,p21d25073,p21d25074,p21d25075,p21d25076,p21d25077,p21d25078,p21d25079,p21d25080,p21d25081,p21d25082,p21d25083,p21d25084,p21d25085,p21d25086,smart_ability,p21h01001,p21h01002,p21h01003,p21h01004,p21h01005,p21h01006,p21h01007,p21h01008,p21h01009,p21h01010,esteem,satis_1,satis_2,satis_3,satis
11120003,111200,3,1,1,5,1,3,2,22,5,1,5,1,1,2,1,4,6,1,6,6,6,6,4,4,4,4,4,4,3,4,5,4,4,4,3,3,3,4,4,4,3,4,4,1,1,1,1,1,3.095238095,5,4,4,5,3,3,4,3,3,3,4,4,3,3,2,3,2,3,4,1,1,1,1,1,1,2.84,3,4,4,4,3,4,3,3,3,3,27,6,6,6,6
11140001,111400,1,1,1,5,1,3,1,46,5,2,8,1,1,1,1,4,6,1,8,8,8,8,2,2,2,2,2,4,3,4,3,5,4,4,3,4,3,2,5,4,4,3,4,4,3,4,3,4,3.666666667,4,5,5,5,5,4,4,3,4,4,3,4,4,3,5,4,4,3,4,3,4,2,3,3,3,3.8,3,3,2,3,4,3,2,3,1,1,28,6,5,4,5
11140002,111400,2,1,1,5,1,3,2,44,4,2,1,2, ,1,1,5,5,1,7,7,8,8,3,3,2,2,2.5,2,1,4,3,3,4,3,3,4,4,4,3,3,3,4,4,3,2,4,3,3,3.19047619,5,4,4,5,4,4,4,4,3,5,4,4,3,4,3,4,3,3,4,4,3,4,3,3,3,3.76,3,2,2,2,3,3,3,2,1,1,29,6,5,5,5.333333333
11140003,111400,3,1,1,5,1,3,2,17,4,1,1,2, ,2,1,2,8,1,5,5,6,6,5,5,4,4,4.5,3,2,3,4,3,3,2,3,3,4,3,2,3,3,3,4,3,3,2,3,3,2.952380952,5,4,4,5,4,4,4,3,3,4,3,4,4,5,4,4,3,4,4,3,4,3,3,2,3,3.72,4,3,1,3,2,3,3,2,1,1,34,6,5,5,5.333333333
11160001,111600,1,1,1,5,1,2,1,51,5,2,7,1,1,1,1,5,5,2, , , , ,0,0,0,0,0,4,3,4,3,3,2,3,2,2,4,3,2,4,3,2,4,3,3,2,3,3,2.952380952,5,5,4,4,5,4,3,4,3,2,3,3,2,3,3,2,4,3,3,2,3,3,2,3,4,3.28,3,3,2,4,3,2,3,3,2,3,27,6,5,5,5.333333333
11160002,111600,2,1,1,5,1,2,2,51,4,2,1,2, ,1,1,5,5,2, , , , ,0,0,0,0,0,3,2,3,2,3,2,2,3,3,2,4,3,3,2,4,3,3,3,2,4,3,2.80952381,5,4,4,3,4,5,4,4,3,4,3,5,4,3,4,3,4,3,5,4,3,3,2,4,3,3.72,4,3,2,3,3,4,3,2,3,3,29,7,6,5,6
11170001,111700,1,1,1,5,1,2,1,82,2,2,4,2, ,2,1,6,4,2, , , , ,0,0,0,0,0,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,2,1.380952381,3,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1.36,3,3,3,2,2,2,3,3,2,4,24,6,6,4,5.333333333
11170002,111700,2,1,1,5,1,2,2,80,2,2,2,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,3,2,2,2,2,3,3,2,3,2,27,4,4,3,3.666666667
11180001,111800,1,1,1,5,1,3,1,49,4,2,13,1,1,1,1,4,6,1,7,7,7,7,3,3,3,3,3,4,5,4,3,4,5,5,3,3,3,3,3,4,4,3,4,4,3,3,2,3,3.571428571,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,3,4,3,3,3.56,2,3,1,3,2,3,3,2,1,1,32,6,6,5,5.666666667
11180002,111800,2,1,1,5,1,3,2,49,4,2,1,2, ,1,1,5,5,1,6,9,9,6,4,1,1,4,2.5,3,4,4,4,4,4,4,3,4,4,2,2,4,4,3,4,3,3,3,2,3,3.380952381,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,3,3.8,3,3,1,2,3,3,2,2,2,2,28,6,6,5,5.666666667
11180003,111800,3,1,1,5,1,3,2,22,5,1,1,2, ,2,1,2,8,1,1,6,1,1,9,4,9,9,7.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,2,2,3,3,2,1,29,5,5,4,4.666666667
11180004,111800,4,1,1,5,1,3,1,19,5,1,1,2, ,2,1,3,7,1,2,9,9,5,8,1,1,5,3.75,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4.857142857,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4.88,4,4,1,4,1,4,4,2,1,1,39,7,7,7,7
11190001,111900,1,1,1,5,1,3,1,61,5,2,9,1,3,2,1,4,6,2, , , , ,0,0,0,0,0,4,5,5,4,4,4,4,3,3,4,4,4,4,3,3,3,4,4,3,3,2,3.666666667,5,5,5,5,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,4,3,3,2,1,1,3.6,3,4,1,3,3,2,3,3,1,1,31,5,6,6,5.666666667
11190002,111900,2,1,1,5,1,3,2,61,4,2,1,2, ,2,1,4,6,2, , , , ,0,0,0,0,0,4,4,5,5,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,4,4,3.80952381,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,3.8,4,4,2,3,2,2,3,2,1,1,33,5,6,5,5.333333333
11190003,111900,3,1,1,5,1,3,1,34,5,1,7,1,1,2,1,5,5,1,4,4,4,4,6,6,6,6,6,4,5,5,4,3,3,4,4,4,3,3,4,4,3,3,4,4,3,3,4,3,3.666666667,5,5,5,5,4,4,5,4,4,3,5,4,4,4,3,3,4,4,4,3,3,3,2,2,1,3.72,3,4,1,2,2,2,3,2,2,2,30,5,6,6,5.666666667
11190004,111900,4,1,1,5,1,3,2,32,5,1,7,1,1,2,1,3,7,1,4,4,4,4,6,6,6,6,6,3,4,4,3,3,4,4,5,3,4,4,4,4,3,3,4,4,4,3,4,4,3.714285714,5,4,4,5,5,4,4,4,3,3,4,4,4,4,3,5,4,4,4,4,4,4,4,2,1,3.84,3,4,1,3,1,2,3,3,1,2,32,6,7,6,6.333333333
11190005,111900,5,1,1,5,1,3,1,30,5,1,7,1,1,2,1,4,6,1,4,4,4,4,6,6,6,6,6,4,4,5,5,5,4,4,4,4,3,5,4,4,4,4,3,4,4,4,4,4,4.095238095,4,5,5,5,4,4,3,4,4,4,3,3,4,4,4,4,5,5,4,4,3,3,4,4,4,4,3,4,1,3,2,3,3,3,1,1,33,5,5,6,5.333333333
11200001,112000,1,1,1,5,1,3,1,50,5,2,9,1,1,2,1,5,5,2, , , , ,0,0,0,0,0,4,4,5,3,4,4,3,4,5,3,5,5,5,5,4,4,4,4,4,5,4,4.19047619,4,4,5,5,4,4,4,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,4.08,3,4,2,3,2,3,3,4,2,1,30,5,6,6,5.666666667
11200002,112000,2,1,1,5,1,3,2,49,5,2,1,2, ,2,1,5,5,2, , , , ,0,0,0,0,0,4,5,3,3,4,4,4,3,5,5,5,4,4,3,3,4,5,5,5,4,4,4.095238095,5,5,4,4,5,5,4,4,5,3,4,4,4,4,5,5,5,4,5,4,4,4,2,2,2,4.08,4,4,3,2,2,3,3,3,1,1,31,6,5,5,5.333333333
11220001,112200,1,1,1,5,1,3,2,53,5,3,11,1,1,2,1,4,6,2, , , , ,0,0,0,0,0,4,5,5,3,4,4,4,5,5,3,4,4,5,5,5,5,5,5,4,5,5,4.476190476,5,5,4,4,5,5,4,5,5,5,4,4,4,5,5,4,4,4,4,5,4,3,3,3,3,4.24,3,3,1,2,3,3,3,1,2,1,31,5,6,6,5.666666667
11220004,112200,4,1,1,5,1,3,1,16,4,1,1,2, ,2,1,3,7,1,4,4,5,5,6,6,5,5,5.5,3,4,4,3,4,4,5,3,1,4,4,3,4,3,3,3,4,4,3,3,3,3.428571429,4,5,5,4,4,4,4,5,3,4,1,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3.72,3,3,2,3,1,2,2,3,3,1,28,5,6,6,5.666666667
11230001,112300,1,1,1,5,1,2,1,74,2,2,5,2, ,2,1,5,5,2, , , , ,0,0,0,0,0,1,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.238095238,4,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2.2,3,3,2,3,2,4,3,3,1,1,32,4,3,4,3.666666667
11230002,112300,2,1,1,5,1,2,2,73,2,2,2,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.6,3,3,2,3,2,3,4,3,1,1,32,5,6,4,5
11250001,112500,1,1,1,5,1,3,1,42,5,2,8,1,1,2,1,5,5,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4.80952381,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,3,4.56,4,3,2,3,2,4,4,4,1,1,33,6,5,6,5.666666667
11250002,112500,2,1,1,5,1,3,2,42,5,2,5,1,1,2,1,3,7,1,8,8,8,8,2,2,2,2,2,4,5,5,5,5,5,3,1,5,5,5,4,4,5,4,4,4,3,3,3,3,4.047619048,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,4.64,3,4,2,3,2,4,4,4,1,1,33,6,4,5,5
11250003,112500,3,1,1,5,1,3,1,13,3,1,1,2, ,2,1,6,4,1,4,5,5,5,6,5,5,5,5.25,1,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.476190476,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,2.6,3,3,2,3,1,3,4,4,1,1,32,5,4,5,4.666666667
11260001,112600,1,1,1,8,1,3,1,53,5,2,8,1,1,1,1,4,6,1,2,6,6,6,8,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.952380952,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.96,3,3,1,1,2,3,3,2,1,1,31,6,7,6,6.333333333
11260002,112600,2,1,1,8,1,3,2,44,5,2,6,1,1,1,1,4,6,1,4,9,9,9,6,1,1,1,2.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,4,4.142857143,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4.96,3,3,1,3,1,2,3,1,1,1,34,5,5,4,4.666666667
11260003,112600,3,0,1,8,1,3,1,85,5,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3.047619048,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.04,2,2,1,2,1,2,2,2,2,2,27,5,5,5,5
11260004,112600,4,1,1,8,1,3,2,79,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.047619048,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04,2,1,2,1,3,2,3,2,2,2,23,4,5,5,4.666666667
11260005,112600,5,1,1,8,1,3,1,21,5,1,1,2, ,2,1,4,6,1,2,2,6,6,8,8,4,4,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.952380952,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.96,3,3,1,4,1,4,3,3,1,1,35,6,5,5,5.333333333
11260006,112600,6,1,1,8,1,3,2,16,4,1,1,2, ,2,1,5,5,1,4,1,9,9,6,9,1,1,4.25,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3.857142857,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.92,4,3,1,3,1,2,3,3,1,1,33,6,7,6,6.333333333
11290001,112900,1,1,1,8,1,3,1,59,5,2,6,1,1,2,1,2,8,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,2,2,2,2,2,3.142857143,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3.84,4,3,1,3,2,3,3,3,1,1,33,5,5,5,5
11290002,112900,2,1,1,8,1,3,2,58,4,2,1,2, ,2,1,6,4,2, , , , ,0,0,0,0,0,3,4,3,3,3,2,2,1,1,1,1,1,3,2,2,2,2,1,1,1,1,1.904761905,4,4,4,4,4,4,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.6,3,3,1,3,3,4,3,3,2,2,30,5,5,5,5
11350001,113500,1,1,1,7,1,3,1,56,4,2,9,1,1,1,1,3,7,2, , , , ,0,0,0,0,0,3,3,3,3,4,2,2,3,3,4,4,3,3,4,3,3,4,3,3,4,2,3.142857143,4,3,5,4,4,3,3,4,4,3,3,5,4,4,3,3,3,4,3,3,3,4,4,3,3,3.56,4,3,1,3,2,4,3,1,2,1,35,5,5,6,5.333333333
11360002,113600,2,1,1,7,1,3,2,71,3,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1.333333333,3,3,4,4,3,3,2,3,3,4,4,3,3,3,1,1,1,1,4,2,2,3,3,3,2,2.72,3,4,1,2,1,3,3,2,1,1,34,5,5,6,5.333333333
11380002,113800,2,1,1,7,1,3,2,57,4,2,5,1,1,1,1,3,7,2, , , , ,0,0,0,0,0,2,2,3,2,2,1,3,3,2,1,1,2,2,3,1,1,2,2,1,3,2,1.952380952,2,3,3,4,2,2,3,3,5,3,3,4,2,2,3,4,2,2,4,4,3,2,2,3,1,2.84,3,4,2,4,2,3,4,2,1,2,34,4,4,4,4
11390001,113900,1,1,1,7,1,3,1,49,6,2,8,1,1,1,1,4,6,1,1,5,3,2,9,5,7,8,7.25,4,5,4,4,4,3,3,4,4,4,3,3,5,4,4,4,4,3,3,3,4,3.761904762,3,3,4,4,3,3,5,2,3,3,4,4,3,3,3,2,4,5,5,3,3,4,4,3,2,3.4,4,3,1,3,2,4,3,3,2,2,32,5,5,6,5.333333333
11400002,114000,2,1,1,7,1,3,2,49,4,2,5,1,1,2,1,2,8,1,1,5,6,4,9,5,4,6,6,4,5,3,3,4,5,4,3,4,4,5,3,3,4,4,4,3,4,2,3,2,3.619047619,4,4,4,3,3,5,5,4,4,4,3,3,3,4,4,4,3,3,3,4,4,5,3,3,4,3.72,3,4,2,4,1,3,4,3,2,2,33,5,6,5,5.333333333
11410002,114100,2,1,1,7,1,3,2,56,4,2,1,2, ,1,2, ,0,1,1,5,5,2,9,5,5,8,6.75,2,3,2,2,3,4,2,1,3,3,4,2,3,2,3,3,2,2,1,1,2,2.380952381,3,4,4,5,3,4,3,3,4,2,4,5,3,4,3,3,2,2,1,2,4,3,2,2,3,3.12,3,3,1,3,2,2,3,2,1,1,32,5,5,4,4.666666667
11420003,114200,3,1,1,7,1,3,1,40,5,1,5,1,1,2,1,2,8,1,1,8,9,3,9,2,1,7,4.75,4,4,5,4,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4.666666667,5,5,5,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,3,3,3,4.56,3,3,3,2,2,2,2,3,3,2,24,4,5,4,4.333333333
11430002,114300,2,1,1,7,1,3,2,49,5,2,1,2, ,2,1,7,3,1,1,6,9,1,9,4,1,9,5.75,3,3,4,2,3,4,1,2,3,4,3,2,4,4,3,5,3,4,3,3,4,3.19047619,5,5,5,5,5,5,5,5,5,2,4,4,3,2,4,3,4,4,3,4,5,4,3,3,4,4.04,4,3,1,2,1,2,2,2,1,2,31,6,5,5,5.333333333
11440001,114400,1,1,1,7,1,3,1,55,5,2,8,1,1,1,1,2,8,1,5,9,9,4,5,1,1,6,3.25,3,3,3,4,3,3,5,3,3,4,4,3,4,4,3,3,4,3,3,2,3,3.333333333,5,5,5,5,5,5,5,5,5,3,5,4,4,3,3,4,4,3,3,4,4,3,3,3,3,4.04,3,4,1,4,2,3,4,3,1,1,35,5,6,6,5.666666667
11440002,114400,2,1,1,7,1,3,2,51,5,2,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,2,2,3,3,2,2,4,4,3,3,5,4,3,3,4,4,3,3,2,4,3,3.142857143,5,5,5,5,5,5,5,5,5,3,3,4,4,4,5,3,3,4,4,3,3,5,4,4,4,4.2,3,4,1,3,1,4,4,2,1,1,37,6,5,5,5.333333333
11440003,114400,3,1,1,7,1,3,1,25,5,1,1,2, ,2,1,1,9,1,4,7,9,5,6,3,1,5,3.75,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4.619047619,5,5,5,5,5,5,5,5,5,3,5,5,4,3,5,4,4,4,3,4,4,3,3,4,3,4.24,4,4,1,4,2,4,4,3,1,1,37,5,5,6,5.333333333
11440004,114400,4,1,1,7,1,3,1,30,5,1,5,1,1,1,1,1,9,1,3,6,4,2,7,4,6,8,6.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,4.80952381,5,5,5,5,5,5,5,5,5,3,4,4,3,3,5,5,5,5,5,5,5,5,4,3,4,4.52,3,3,1,4,1,3,4,3,2,1,34,5,5,6,5.333333333
11460002,114600,2,1,1,7,1,3,2,43,5,2,1,2, ,2,1,1,9,1,1,1,1,1,9,9,9,9,9,3,3,4,3,2,4,2,2,4,3,3,3,4,4,4,4,3,3,4,3,3,3.238095238,4,5,5,4,4,4,3,5,5,4,4,4,3,5,5,5,4,4,4,4,4,3,3,4,4,4.12,3,3,1,4,2,4,3,4,2,1,32,5,5,5,5
11470001,114700,1,1,1,7,1,3,1,52,5,2,15,1,1,1,1,5,5,2, , , , ,0,0,0,0,0,3,5,3,4,5,5,5,4,4,4,3,3,5,5,4,4,4,4,4,4,3,4.047619048,5,5,5,5,5,4,4,4,4,4,4,3,3,2,5,5,5,4,4,4,4,4,2,3,3,4,3,3,1,4,2,2,2,2,1,1,32,5,6,7,6
11470002,114700,2,1,1,7,1,3,2,50,5,2,5,1,1,1,1,3,7,1,8,9,9,6,2,1,1,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,4,1,3,3,3,1,1,34,6,6,6,6
11470004,114700,4,1,1,7,1,3,2,20,5,1,1,2, ,1,1,6,4,1,1,7,9,5,9,3,1,5,4.5,5,5,5,5,5,5,2,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4.761904762,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.84,2,2,2,2,3,2,2,4,1,2,23,5,5,5,5
11480001,114800,1,1,1,7,1,2,1,64,4,2,4,2, ,1,1,2,8,1,5,6,9,9,5,4,1,1,2.75,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,4,4,4,4,4.523809524,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,5,4,4.76,3,2,2,3,3,3,3,3,2,2,27,4,5,5,4.666666667
11480002,114800,2,1,1,7,1,2,2,61,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,4,4,5,2,3,4,4,4,4,5,4,4,4,1,1,3,3,1,3.238095238,5,5,5,5,5,5,5,5,5,3,5,3,2,2,5,4,4,4,5,5,5,5,3,5,2,4.28,3,3,2,2,2,3,3,2,2,2,29,5,5,3,4.333333333
11490001,114900,1,1,1,7,1,3,1,48,4,2,12,1,1,2,1,5,5,2, , , , ,0,0,0,0,0,3,3,4,4,4,4,3,2,1,1,1,1,4,4,4,4,2,1,1,1,1,2.523809524,5,5,5,5,5,5,2,5,5,4,4,1,1,1,5,5,5,5,4,1,5,1,3,2,1,3.6,3,3,1,3,2,2,2,3,1,2,29,6,5,2,4.333333333
11490002,114900,2,1,1,7,1,3,2,44,5,2,5,1,1,2,1,6,4,1,4,7,9,6,6,3,1,4,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,3,2,2,2,3,1,2,28,5,6,5,5.333333333
11490003,114900,3,1,1,7,1,3,1,17,4,1,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,1,1,3,3,5,5,5,5,5,5,5,5,5,4.428571429,5,5,5,5,5,5,5,5,5,5,1,1,3,3,5,5,5,5,5,5,5,5,5,5,5,4.52,3,3,1,3,2,3,3,3,1,1,32,4,4,4,4
11490004,114900,4,1,1,7,1,3,1,15,3,1,1,2, ,2,1,1,9,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,1,5,4.047619048,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,4.36,3,3,1,3,2,3,3,3,1,1,32,4,4,4,4
11510001,115100,1,1,1,7,1,3,1,46,4,2,10,1,3,2,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,25,4,4,4,4
11510002,115100,2,1,1,7,1,3,2,46,4,2,3,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,25,4,4,4,4
11510003,115100,3,1,1,7,1,3,1,17,4,1,1,2, ,2,1,2,8,1,4,6,9,4,6,4,1,6,4.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,25,4,4,4,4
11510004,115100,4,1,1,7,1,3,2,15,3,1,1,2, ,2,1,1,9,1,4,4,9,4,6,6,1,6,4.75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,25,4,4,4,4
11520001,115200,1,0,1,7,1,3,1,55,5,2,11,1,1,1,1,1,9,1,3,7,8,6,7,3,2,4,4,5,5,5,5,5,5,5,4,5,5,2,3,5,5,5,5,5,5,5,5,4,4.666666667,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,2,3,4.6,3,3,1,3,1,3,3,2,1,1,34,6,6,6,6
11520002,115200,2,1,1,7,1,3,2,51,6,2,11,1,1,1,1,4,6,1,1,5,5,5,9,5,5,5,6,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,4.80952381,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,3,3,3,4.6,4,4,1,4,1,4,4,1,1,1,40,7,6,6,6.333333333
11520004,115200,4,1,1,7,1,3,2,19,5,1,1,2, ,2,1,1,9,1,1,1,5,4,9,9,5,6,7.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,1,3,3,1,1,1,35,5,5,5,5
11530001,115300,1,1,1,7,1,3,1,51,4,2,12,1,1,1,1,5,5,1,5,9,9,9,5,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,3,2,3,2,2,1,1,32,5,5,5,5
11530002,115300,2,1,1,7,1,3,2,45,5,2,1,2, ,1,1,2,8,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,2,2,3,3,3,3,4,4,4,4,3,2,3,2,1,3.19047619,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,2,2,3.72,2,2,2,2,2,2,2,2,1,2,26,4,4,4,4
11530003,115300,3,1,1,7,1,3,2,20,5,1,1,2, ,1,1,1,9,1,7,9,9,7,3,1,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3.76,3,2,1,3,2,3,2,2,1,1,31,4,4,4,4
11530004,115300,4,1,1,7,1,3,1,17,4,1,1,2, ,1,1,1,9,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,4,2,2,3,3,4,4,4,4,3,3,3,3,3,3.476190476,4,4,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3.8,3,3,2,3,3,3,3,3,3,1,28,3,3,3,3
11560001,115600,1,1,1,7,1,2,1,75,5,2,6,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,1,2,3,3,3,3,1,2,28,5,5,5,5
11560002,115600,2,1,1,7,1,2,2,69,5,2,7,2, ,1,1,2,8,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,2,4.619047619,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,2,2,3,3,3,2,2,28,5,5,5,5
