sample,male,brand,performance,fuel_efficiency,design,rebuy(1/0)
878,1,Mar,4,5,1,0
879,1,Apr,3,1,4,0
880,0,May,6,2,2,0
881,1,Jun,2,4,6,0
882,0,Jul,3,3,1,0
883,1,Aug,1,6,5,0
884,1,Sep,4,5,6,0
885,1,Oct,6,5,3,1
886,1,Nov,6,5,4,1
887,0,Dec,4,3,4,1
888,0,Sun,6,4,7,1
889,1,Mon,2,4,5,0
890,0,Sat,5,3,2,1
891,0,Fri,3,5,7,0
892,0,Jan,1,2,2,0
893,0,Feb,6,4,5,0
894,1,Mar,3,7,3,0
895,0,Apr,2,1,5,0
896,0,May,7,5,6,1
897,1,Jun,4,5,7,0
898,1,Jul,7,5,4,1
899,1,Aug,3,4,7,1
900,1,Sep,5,6,1,0
901,0,Oct,2,5,6,0
902,1,Nov,5,3,6,1
903,0,Dec,6,2,6,1
904,1,Sun,5,4,7,1
905,1,Jan,4,5,4,0
906,1,Feb,4,7,4,1
907,0,Mar,1,5,4,0
908,0,Apr,4,2,6,1
909,1,May,4,6,4,0
910,0,Jun,3,2,7,0
911,1,Jul,5,3,2,0
912,0,Aug,3,4,4,0
913,0,Sep,2,6,7,1
914,0,Oct,2,3,4,0
915,1,Nov,6,4,3,1
916,1,Dec,6,5,6,0
917,1,Sun,6,4,5,1
918,0,Mon,3,4,1,0
919,1,Sat,7,6,4,1
920,0,Fri,5,6,2,0
921,1,Mon,5,4,3,0
922,0,Sat,6,5,2,0
923,1,Fri,5,7,5,1
924,0,Jan,2,7,1,0
925,0,Feb,7,3,6,0
926,1,Mar,5,4,7,0
927,0,Apr,3,2,2,0
928,0,May,5,4,6,1
929,0,Jun,4,5,7,1
930,0,Jul,6,4,4,1
931,0,Aug,2,5,6,0
932,1,Sep,7,4,7,1
933,0,Oct,5,6,6,1
934,1,Nov,6,6,4,1
935,1,Dec,6,4,7,0
936,0,Sun,4,4,2,1
937,1,Mon,4,7,7,1
938,1,Sat,7,5,2,1
939,0,Fri,4,5,1,0
940,0,Jan,4,7,5,1
941,0,Feb,4,4,3,0
942,1,Mar,2,6,7,1
943,1,Apr,4,2,3,0
944,0,May,7,5,2,1
945,1,Jun,4,2,5,0
946,1,Jul,5,4,4,1
947,0,Aug,3,4,4,0
948,1,Sep,3,6,7,0
949,1,Oct,4,6,1,0
950,1,Nov,7,6,6,1
951,1,Dec,7,3,5,1
952,0,Sun,6,2,5,0
953,0,Mon,3,7,2,1
954,1,Sat,3,4,1,0
955,1,Fri,4,5,6,1
956,0,Jan,4,6,5,0
957,1,Feb,5,4,4,1
958,0,Mar,4,6,1,0
959,1,Apr,2,6,2,0
960,0,Jan,4,3,6,0
961,0,Feb,3,3,5,0
962,0,Mar,2,3,5,0
963,0,Apr,2,3,3,0
964,0,May,4,4,7,1
965,1,Jun,4,4,6,1
966,1,Jul,5,4,6,0
967,0,Aug,3,4,2,0
968,1,Sep,6,7,5,1
969,0,Oct,5,1,7,0
970,0,Nov,5,4,1,0
971,1,Dec,6,3,3,1
972,0,Sun,7,2,1,0
973,1,Mon,5,7,6,1
974,0,Sat,4,6,2,0
975,0,Fri,3,3,3,0
976,1,Jan,5,3,1,0
977,0,Feb,4,5,1,0
978,1,Mar,2,5,5,0
979,0,Apr,2,5,7,0
980,0,May,5,3,5,0
981,0,Jun,3,3,7,0
982,1,Jul,4,4,4,0
983,1,Aug,4,5,3,1
984,1,Sep,4,1,1,0
985,0,Oct,4,4,4,0
986,1,Nov,4,4,6,1
987,0,Dec,5,2,5,1
988,1,Sun,6,4,7,1
989,0,Mon,3,7,1,1
990,1,Sat,7,1,5,1
991,1,Fri,2,5,3,0
992,0,Jan,3,4,5,0
993,0,Feb,6,3,1,0
994,0,Mar,2,4,7,0
995,1,Apr,2,3,7,0
996,0,May,7,5,6,1
997,1,Jun,3,5,4,0
998,0,Jul,5,5,7,1
999,1,Aug,4,3,6,1
1000,1,Sep,4,3,7,0
