sample,segment,profile,cpu,ram,as_year,ssd,wtp
222,1,15,intel,32GB,1년,512GB,121
222,1,22,amd,16GB,3년,512GB,134
222,1,14,amd,16GB,1년,512GB,112
223,1,9,intel,16GB,3년,none,123
223,1,8,amd,32GB,2년,none,107
223,1,6,amd,16GB,2년,none,114
224,1,10,amd,16GB,3년,none,116
224,1,15,intel,32GB,1년,512GB,122
224,1,17,intel,16GB,2년,512GB,118
225,2,5,intel,16GB,2년,none,90
225,2,14,amd,16GB,1년,512GB,93
225,2,13,intel,16GB,1년,512GB,98
226,1,14,amd,16GB,1년,512GB,125
226,1,6,amd,16GB,2년,none,115
226,1,5,intel,16GB,2년,none,100
227,2,10,amd,16GB,3년,none,92
227,2,9,intel,16GB,3년,none,80
227,2,15,intel,32GB,1년,512GB,97
228,1,4,amd,32GB,1년,none,99
228,1,19,intel,32GB,2년,512GB,139
228,1,5,intel,16GB,2년,none,114
229,1,16,amd,32GB,1년,512GB,131
229,1,15,intel,32GB,1년,512GB,129
229,1,13,intel,16GB,1년,512GB,104
230,2,22,amd,16GB,3년,512GB,104
230,2,12,amd,32GB,3년,none,119
230,2,20,amd,32GB,2년,512GB,132
231,2,17,intel,16GB,2년,512GB,99
231,2,21,intel,16GB,3년,512GB,113
231,2,4,amd,32GB,1년,none,108
232,2,13,intel,16GB,1년,512GB,96
232,2,7,intel,32GB,2년,none,87
232,2,9,intel,16GB,3년,none,98
233,1,12,amd,32GB,3년,none,140
233,1,7,intel,32GB,2년,none,136
233,1,18,amd,16GB,2년,512GB,118
234,1,13,intel,16GB,1년,512GB,127
234,1,3,intel,32GB,1년,none,100
234,1,24,amd,32GB,3년,512GB,143
235,1,12,amd,32GB,3년,none,122
235,1,20,amd,32GB,2년,512GB,134
235,1,20,amd,32GB,2년,512GB,136
236,2,18,amd,16GB,2년,512GB,102
236,2,18,amd,16GB,2년,512GB,116
236,2,15,intel,32GB,1년,512GB,123
237,1,16,amd,32GB,1년,512GB,126
237,1,9,intel,16GB,3년,none,117
237,1,16,amd,32GB,1년,512GB,118
238,1,8,amd,32GB,2년,none,125
238,1,1,intel,16GB,1년,none,113
238,1,5,intel,16GB,2년,none,112
239,1,7,intel,32GB,2년,none,134
239,1,12,amd,32GB,3년,none,122
239,1,5,intel,16GB,2년,none,117
240,1,18,amd,16GB,2년,512GB,119
240,1,15,intel,32GB,1년,512GB,110
240,1,9,intel,16GB,3년,none,123
241,2,23,intel,32GB,3년,512GB,112
241,2,18,amd,16GB,2년,512GB,90
241,2,11,intel,32GB,3년,none,100
242,2,16,amd,32GB,1년,512GB,129
242,2,15,intel,32GB,1년,512GB,115
242,2,21,intel,16GB,3년,512GB,103
243,1,13,intel,16GB,1년,512GB,129
243,1,23,intel,32GB,3년,512GB,157
243,1,8,amd,32GB,2년,none,131
244,1,14,amd,16GB,1년,512GB,125
244,1,10,amd,16GB,3년,none,133
244,1,16,amd,32GB,1년,512GB,128
245,1,8,amd,32GB,2년,none,114
245,1,5,intel,16GB,2년,none,105
245,1,19,intel,32GB,2년,512GB,129
246,1,10,amd,16GB,3년,none,127
246,1,24,amd,32GB,3년,512GB,128
246,1,8,amd,32GB,2년,none,109
247,2,2,amd,16GB,1년,none,99
247,2,21,intel,16GB,3년,512GB,114
247,2,13,intel,16GB,1년,512GB,90
248,1,14,amd,16GB,1년,512GB,125
248,1,10,amd,16GB,3년,none,130
248,1,19,intel,32GB,2년,512GB,148
249,2,7,intel,32GB,2년,none,100
249,2,20,amd,32GB,2년,512GB,123
249,2,14,amd,16GB,1년,512GB,114
250,2,24,amd,32GB,3년,512GB,139
250,2,13,intel,16GB,1년,512GB,94
250,2,11,intel,32GB,3년,none,99
251,1,14,amd,16GB,1년,512GB,121
251,1,12,amd,32GB,3년,none,115
251,1,13,intel,16GB,1년,512GB,119
252,1,3,intel,32GB,1년,none,127
252,1,14,amd,16GB,1년,512GB,116
252,1,17,intel,16GB,2년,512GB,139
253,2,7,intel,32GB,2년,none,113
253,2,9,intel,16GB,3년,none,83
253,2,7,intel,32GB,2년,none,106
254,2,4,amd,32GB,1년,none,98
254,2,10,amd,16GB,3년,none,109
254,2,12,amd,32GB,3년,none,112
255,2,15,intel,32GB,1년,512GB,109
255,2,9,intel,16GB,3년,none,87
255,2,2,amd,16GB,1년,none,73
256,1,3,intel,32GB,1년,none,116
256,1,11,intel,32GB,3년,none,142
256,1,7,intel,32GB,2년,none,117
257,1,24,amd,32GB,3년,512GB,144
257,1,2,amd,16GB,1년,none,98
257,1,22,amd,16GB,3년,512GB,132
258,2,11,intel,32GB,3년,none,101
258,2,8,amd,32GB,2년,none,111
258,2,22,amd,16GB,3년,512GB,115
259,2,2,amd,16GB,1년,none,79
259,2,7,intel,32GB,2년,none,109
259,2,15,intel,32GB,1년,512GB,112
260,1,9,intel,16GB,3년,none,124
260,1,11,intel,32GB,3년,none,132
260,1,21,intel,16GB,3년,512GB,142
261,1,20,amd,32GB,2년,512GB,117
261,1,16,amd,32GB,1년,512GB,115
261,1,13,intel,16GB,1년,512GB,115
262,1,1,intel,16GB,1년,none,95
262,1,9,intel,16GB,3년,none,118
262,1,1,intel,16GB,1년,none,97
263,1,18,amd,16GB,2년,512GB,109
263,1,24,amd,32GB,3년,512GB,143
263,1,5,intel,16GB,2년,none,126
264,1,4,amd,32GB,1년,none,119
264,1,15,intel,32GB,1년,512GB,137
264,1,10,amd,16GB,3년,none,117
265,2,21,intel,16GB,3년,512GB,97
265,2,20,amd,32GB,2년,512GB,112
265,2,16,amd,32GB,1년,512GB,128
266,2,10,amd,16GB,3년,none,107
266,2,7,intel,32GB,2년,none,115
266,2,15,intel,32GB,1년,512GB,117
267,1,10,amd,16GB,3년,none,111
267,1,23,intel,32GB,3년,512GB,132
267,1,19,intel,32GB,2년,512GB,127
268,1,23,intel,32GB,3년,512GB,145
268,1,20,amd,32GB,2년,512GB,145
268,1,19,intel,32GB,2년,512GB,128
269,1,6,amd,16GB,2년,none,112
269,1,17,intel,16GB,2년,512GB,136
269,1,13,intel,16GB,1년,512GB,126
270,1,15,intel,32GB,1년,512GB,127
270,1,5,intel,16GB,2년,none,106
270,1,10,amd,16GB,3년,none,133
271,1,3,intel,32GB,1년,none,114
271,1,14,amd,16GB,1년,512GB,110
271,1,1,intel,16GB,1년,none,101
272,1,18,amd,16GB,2년,512GB,130
272,1,21,intel,16GB,3년,512GB,132
272,1,4,amd,32GB,1년,none,111
273,1,6,amd,16GB,2년,none,111
273,1,12,amd,32GB,3년,none,122
273,1,13,intel,16GB,1년,512GB,127
274,2,11,intel,32GB,3년,none,118
274,2,23,intel,32GB,3년,512GB,132
274,2,3,intel,32GB,1년,none,87
275,1,24,amd,32GB,3년,512GB,145
275,1,23,intel,32GB,3년,512GB,157
275,1,5,intel,16GB,2년,none,100
276,2,23,intel,32GB,3년,512GB,127
276,2,12,amd,32GB,3년,none,106
276,2,1,intel,16GB,1년,none,86
277,1,11,intel,32GB,3년,none,138
277,1,11,intel,32GB,3년,none,150
277,1,8,amd,32GB,2년,none,114
278,2,24,amd,32GB,3년,512GB,112
278,2,21,intel,16GB,3년,512GB,96
278,2,2,amd,16GB,1년,none,99
279,1,16,amd,32GB,1년,512GB,110
279,1,2,amd,16GB,1년,none,112
279,1,12,amd,32GB,3년,none,142
280,2,11,intel,32GB,3년,none,112
280,2,20,amd,32GB,2년,512GB,126
280,2,10,amd,16GB,3년,none,106
281,1,16,amd,32GB,1년,512GB,119
281,1,24,amd,32GB,3년,512GB,132
281,1,1,intel,16GB,1년,none,119
282,1,2,amd,16GB,1년,none,115
282,1,8,amd,32GB,2년,none,117
282,1,19,intel,32GB,2년,512GB,131
283,2,18,amd,16GB,2년,512GB,93
283,2,4,amd,32GB,1년,none,86
283,2,11,intel,32GB,3년,none,98
284,1,19,intel,32GB,2년,512GB,125
284,1,6,amd,16GB,2년,none,113
284,1,18,amd,16GB,2년,512GB,120
285,1,2,amd,16GB,1년,none,100
285,1,21,intel,16GB,3년,512GB,121
285,1,7,intel,32GB,2년,none,130
286,1,6,amd,16GB,2년,none,98
286,1,6,amd,16GB,2년,none,109
286,1,7,intel,32GB,2년,none,139
287,1,18,amd,16GB,2년,512GB,118
287,1,13,intel,16GB,1년,512GB,113
287,1,22,amd,16GB,3년,512GB,129
288,1,23,intel,32GB,3년,512GB,134
288,1,11,intel,32GB,3년,none,143
288,1,6,amd,16GB,2년,none,121
289,2,4,amd,32GB,1년,none,107
289,2,23,intel,32GB,3년,512GB,132
289,2,20,amd,32GB,2년,512GB,107
290,1,9,intel,16GB,3년,none,127
290,1,14,amd,16GB,1년,512GB,104
290,1,4,amd,32GB,1년,none,113
291,2,15,intel,32GB,1년,512GB,123
291,2,19,intel,32GB,2년,512GB,115
291,2,23,intel,32GB,3년,512GB,110
292,1,21,intel,16GB,3년,512GB,134
292,1,17,intel,16GB,2년,512GB,125
292,1,23,intel,32GB,3년,512GB,139
293,1,19,intel,32GB,2년,512GB,125
293,1,3,intel,32GB,1년,none,109
293,1,2,amd,16GB,1년,none,104
294,1,11,intel,32GB,3년,none,138
294,1,2,amd,16GB,1년,none,98
294,1,5,intel,16GB,2년,none,121
295,1,1,intel,16GB,1년,none,99
295,1,20,amd,32GB,2년,512GB,123
295,1,12,amd,32GB,3년,none,137
296,1,1,intel,16GB,1년,none,120
296,1,4,amd,32GB,1년,none,99
296,1,23,intel,32GB,3년,512GB,142
297,2,24,amd,32GB,3년,512GB,121
297,2,21,intel,16GB,3년,512GB,119
297,2,8,amd,32GB,2년,none,101
298,1,12,amd,32GB,3년,none,120
298,1,16,amd,32GB,1년,512GB,109
298,1,21,intel,16GB,3년,512GB,131
299,1,12,amd,32GB,3년,none,127
299,1,4,amd,32GB,1년,none,104
299,1,2,amd,16GB,1년,none,100
300,1,20,amd,32GB,2년,512GB,119
300,1,14,amd,16GB,1년,512GB,113
300,1,12,amd,32GB,3년,none,124
