면적,층수,연수,구,가격
84.988,1,17,강동구,10.47
84.9039,11,4,은평구,9.2
64.08,6,6,금천구,3.4
119.88,2,23,서대문,4.4
59.95,3,23,성동구,8.99
60,12,18,노원구,3.98
69,10,37,광진구,9.25
33.11,4,20,강남구,3.78
49.77,15,28,도봉구,3.79
36.53,7,20,강남구,5
84.98,3,4,양천구,8.24
59.91,15,22,구로구,4.9
76.79,6,45,강남구,20
84.98,7,3,영등포,12.3
59.7,5,25,서대문,7.6
82.61,1,46,송파구,21.75
84.98,9,20,송파구,14
46.56,6,1,은평구,4.98
84.98,16,21,구로구,7.2
83.01,3,17,관악구,6.35
57.84,14,28,양천구,10.4
84.8,22,16,송파구,23.1
58.01,7,36,노원구,5.3
50.03,3,38,마포구,8.55
68.99,13,36,노원구,5.82
59.91,19,25,영등포,9
52.07,12,1,강북구,5.4
59.99,16,2,은평구,9
66.7,12,36,은평구,7
114.7,14,17,송파구,23.75
59.85,19,19,중구,9.7
84.97,3,7,강동구,12
84.48,14,26,영등포,8.68
39.83,4,49,금천구,2.2
45.77,3,36,송파구,7.05
84.99,14,31,강서구,10.5
84.89,3,20,강북구,5.79
66.9,2,32,강서구,5.98
84.97,11,27,도봉구,8.5
59.92,21,3,성북구,7.3
84.9,17,10,성동구,14
84.89,8,23,강남구,22
59.98,8,17,성북구,7.5
84.99,19,2,은평구,12.1
59.65,11,41,강동구,7
84.73,5,30,강남구,16.7
84.81,6,10,서초구,13.3
59.788,5,19,서대문,8.3
84.93,5,18,중랑구,6.37
59.8826,17,2,성북구,10.25
59.57,16,25,구로구,6.5
84.98,5,10,동대문,11.8
84.9,13,29,도봉구,4.685
39.1,15,6,송파구,11.5
81.9853,2,16,강북구,6.65
84.9824,18,3,동작구,11
84.83,5,4,서대문,12.4
69.96,6,23,강서구,4.95
36.599,16,21,서초구,3.5
60,8,27,성동구,8.9
74.04,2,10,강남구,9.25
84.7,4,15,마포구,7.5
24.011,13,11,동대문,2.4
58.09,18,31,은평구,3.94
59.91,4,25,영등포,8.9
58.19,10,40,구로구,4.5
102,3,21,관악구,8.1
59.58,5,20,관악구,6.9
84.91,1,28,강동구,9.1
126.66,12,38,성동구,13.5
84.57,3,16,강동구,7.53
84.9984,15,18,강남구,24.9
49.94,3,36,노원구,5.3
59.98,11,4,강동구,11.82
59.967,19,5,강남구,18
84.972,20,7,중구,16.45
84.9791,6,7,중구,15.9
41.22,7,42,금천구,4.5
108.3358,1,11,동작구,15.4
59.9808,19,7,중구,12.8
59.94,6,26,마포구,8.975
84.83,5,33,도봉구,5
59.9,7,1,은평구,8.857
114.7,7,17,송파구,24.7
84.97,14,3,성북구,8.95
84.69,2,25,서초구,15.5
114.988,5,23,동대문,9
84.779,12,3,은평구,9.2
59.4,14,28,영등포,6.4
59.85,15,37,영등포,6.5
43.92,17,27,영등포,5.68
41.3,5,36,노원구,4.05
84.81,8,30,중랑구,6.8
84.63,9,30,동대문,4.63
84.79,20,19,관악구,9.1
59.58,8,20,관악구,7.55
31.551,4,5,마포구,3.65
134.45,13,32,강북구,7
84.99,14,10,동대문,11.1
22.3,11,2,강서구,3.55
59.92,6,26,노원구,4.6
112.11,14,16,강동구,14.5
84.5978,10,10,마포구,15.7
128.81,20,9,강서구,15
84.99,11,14,동대문,6.1
59.94,12,23,용산구,10.5
54.02,15,35,노원구,5.675
59.99,9,14,은평구,7.15
41.3,2,35,노원구,3.88
122.275,3,31,중구,9.1
59.855,9,21,성북구,6.3
59.4,16,27,은평구,5
59.99,14,15,동대문,7.65
39.84,15,28,중랑구,3.43
14.03,10,7,영등포,1.39
59.4,14,25,노원구,4.79
90.7,8,18,송파구,9.3
84.98,26,6,송파구,19.5
114.57,10,35,노원구,9.85
59.76,5,28,중랑구,5.8
84.99,15,5,동대문,11
59.79,10,25,강동구,7.3
49.94,5,36,노원구,6.39
84.98,6,19,동대문,7
84.78,4,30,광진구,11.1
84.99,6,19,강서구,6.95
84.98,3,4,양천구,9.4
114.7,13,17,송파구,24.5
59.96,3,24,성동구,9.38
84.81,15,22,양천구,7.1
59.789,18,3,은평구,7.4
36.2275,20,2,은평구,4.5
84.843,12,16,성북구,8
84.91,21,13,성북구,7.12
59.1,7,2,성북구,8.1
84.9654,16,3,마포구,18.5
59.99,6,19,관악구,7.2
59.98,21,5,영등포,9.48
57.1,6,30,강동구,7.2
83.5358,10,20,중랑구,8.15
58.14,4,29,강서구,6.55
53.33,6,27,종로구,3.19
84.6,4,40,영등포,10
84.98,2,11,성북구,7.6
59.958,5,21,동대문,6.85
78.4,8,17,관악구,7.8
84.9,3,25,강동구,7
20.34,4,11,구로구,1.2
64.19,3,20,강동구,6
114.369,14,20,동작구,12.7
152.1,6,9,강서구,14.85
189.39,35,19,영등포,28.5
59.63,9,13,은평구,7
59.36,4,37,강동구,8
56.08,9,18,서대문,7.9
34.44,6,31,강남구,8.05
84.795,10,20,노원구,6.95
84.3,5,23,송파구,10.6
49.5,11,35,노원구,5.48
84.9,1,15,마포구,10.4
84.84,5,28,관악구,8.55
84.97,20,7,강동구,13.3
84.83,13,25,강서구,5.99
59.79,2,36,동작구,5.8
59.96,2,3,송파구,10.25
114.756,11,22,양천구,19.4
84.45,5,23,성동구,12
117,10,13,중구,14.5
59.895,4,7,종로구,15.5
59.91,3,5,동대문,8.45
71.73,22,12,송파구,14.7
84.98,15,10,동대문,12.35
84.94,5,27,동작구,8.9
59.9,1,25,구로구,7
59.63,3,13,은평구,6.825
51.77,12,11,송파구,9.15
134.98,5,14,양천구,12
84.64,10,19,성북구,8.87
81.05,12,17,동대문,9.85
58.01,8,36,노원구,6.47
34.29,2,19,마포구,2.9
84.8,3,18,금천구,5.95
178.84,22,13,성북구,15.5
84.0408,20,8,노원구,8.28
41.58,9,40,영등포,5.995
66.9,13,22,양천구,3.93
59.89,18,25,동작구,7.5
59.88,19,23,동대문,6.5
177.99,19,13,강동구,24
52.74,13,1,강북구,6
102.34,28,16,강동구,14
84.95,16,6,송파구,18.9
55.371,15,19,동대문,8.2
84.48,12,2,성북구,11.5
84.87,18,4,중랑구,10.7
59.42,7,5,성북구,7.9
59.95,8,7,서초구,16.3
118.44,17,30,강동구,9.9
84.9912,16,6,동작구,15.6
115.35,12,31,노원구,12.09
51.48,5,38,노원구,6.7
59.97,3,26,성북구,6.5
59.713,12,17,마포구,10.8
58.01,11,36,노원구,6.2
50.67,12,36,양천구,5.45
84.146,17,5,강동구,11.5
60.5,1,37,노원구,6
59.92,11,4,강남구,19.25
179.78,10,21,영등포,29
17.684,3,12,강남구,1.7
59.63,15,11,송파구,11.7
84.69,5,32,도봉구,4.15
84.93,2,3,은평구,10.65
76.54,2,21,관악구,6.07
59.73,8,27,송파구,8.1
30.1355,11,3,영등포,4.76
59.95,7,24,노원구,5.95
50.625,4,13,중랑구,3.6
84.76,24,20,동대문,8.1
49.993,5,10,영등포,7.25
84.97,20,22,노원구,6.8
84.82,14,14,성북구,9.6
42.98,1,47,영등포,7.55
84.98,24,6,송파구,18.1
31.22,5,20,강남구,3.75
51.84,20,26,구로구,5.35
52.9,5,4,성북구,5.5
34.44,13,32,강서구,4.83
12.62,9,10,영등포,1.57
81.9853,15,16,강북구,7.2
59.4,1,27,구로구,4.1
84.99,27,16,송파구,24.1
59.97,11,5,성북구,10.25
18.17,2,11,중랑구,1.15
124.76,3,46,동대문,11.45
84.85,8,20,마포구,14
84.97,1,21,성북구,6.5
114.7267,17,10,마포구,20.5
39.6,1,32,강서구,5.52
141.45,4,31,노원구,13.5
84.705,1,36,송파구,14.1
39.51,15,32,강남구,9.8
65.46,2,36,영등포,6.6
84.677,1,10,금천구,7.9
116.6232,5,10,중구,14.1
59.97,8,29,성동구,7.8
59.98,7,32,구로구,5.5
36,5,27,강남구,3.8
59.95,8,21,성북구,6
82.94,7,24,강동구,7
84.41,11,30,구로구,4.8
84.99,1,19,관악구,8.05
59.981,11,5,강동구,10.5
97.35,17,24,강남구,27.1
59.77,15,18,성북구,5.95
84.94,24,10,구로구,8.4
75.63,3,12,양천구,8
59.96,19,23,강남구,16.8
84.9771,14,2,강서구,11.5
59.88,4,23,동대문,5.999
60,18,23,노원구,5.55
70.2,12,36,양천구,14.3
84.21,14,13,은평구,8.7
84.92,31,16,중구,9
84.9827,11,11,동작구,12.4
59.49,6,25,성동구,6.75
36.16,12,33,도봉구,3.52
48.93,10,25,노원구,4.4
59.98,4,4,마포구,13.8
84.93,3,18,중랑구,6.45
84.736,1,18,양천구,4.9
36.16,10,35,도봉구,3.2
84.968,2,9,서대문,10.85
84.95,19,4,강동구,14.9
57.32,1,22,양천구,3.8
59.754,9,18,성북구,6.75
59.9676,1,4,중랑구,7.45
84.98,13,16,강동구,12.8
84.78,14,25,서대문,7.5
46.9,12,33,강동구,5.23
38.2471,6,2,강남구,7.17
84.96,7,24,양천구,8.75
84.98,11,4,양천구,10.4
84.51,8,30,성북구,6.5
59.83,6,21,관악구,6.9
39.6,10,31,강남구,9.1
12.62,12,10,영등포,1.589
59.87,5,35,노원구,4.8
101.79,9,3,성북구,12.2
51.84,20,26,구로구,5.2
44.52,15,32,노원구,4.6
59.99,12,6,강남구,18.8
84.57,10,28,동작구,9.58
134.98,11,14,양천구,11.9
59.754,15,18,성북구,7.25
84.74,17,32,영등포,7.5
59.49,7,37,노원구,6.3
84.97,11,20,금천구,5.7
59.43,9,38,마포구,10.1
59.97,9,3,은평구,9
118.28,23,14,마포구,19
49.5,5,32,강서구,6.7
111.32,18,21,서초구,27
192.235,5,36,송파구,28.4
71.85,11,35,성동구,6.7
59.9772,6,18,강남구,18
61.17,8,21,강동구,5.7
59.9,6,5,관악구,9.8
59.49,5,23,구로구,6
84.8768,3,20,금천구,6.5
79.777,22,22,영등포,11
113.43,14,26,구로구,6.3
128.81,11,9,강서구,14.2
59.83,6,13,강동구,7.47
51.57,2,35,광진구,7.9
59.22,5,32,동대문,5.47
49.95,13,25,양천구,6
114.86,8,21,성동구,15.55
59.89,15,31,동작구,10.49
84.97,13,7,강동구,12.2
47.12,11,1,양천구,4.74
59.6,12,14,강북구,6.8
64.78,4,21,은평구,2.8
84.8,4,18,강서구,6.15
101.86,6,29,중랑구,7.8
36.2415,16,2,은평구,5
59.89,10,31,동작구,9.4
59.94,18,29,강동구,9
84.9231,19,18,강남구,25
84.81,9,24,광진구,14.4
76.5,6,46,송파구,24.785
59.9942,14,5,동대문,7.5
84.9557,1,4,서대문,12
84.78,19,27,성동구,15.55
39.53,5,32,강남구,9.7
84.87,1,21,동대문,8.4
84.9984,20,18,강남구,27.2
95.67,8,38,양천구,18.5
84.8,7,22,성동구,6
84.968,13,9,서대문,11.95
49.77,15,28,도봉구,3.39
114.88,4,22,중구,13.05
84.99,8,9,은평구,8.6
59.966,11,12,동작구,11
25.51,3,4,관악구,1.0878
84.99,7,10,동작구,11.95
84.98,6,14,중랑구,6.25
84.86,16,28,광진구,13.25
84.87,3,24,성동구,10.4
84.9,5,10,구로구,7.4
89.45,5,36,도봉구,8.5
84.9895,11,7,종로구,19.2
76.5,4,46,송파구,18.756
12.62,15,10,영등포,1.6
59.97,5,16,송파구,10.5
38.441,20,2,영등포,6.6364
244.47,5,24,중구,29.1
67.94,5,22,금천구,5
84.95,9,21,성동구,10.87
96.31,3,23,은평구,4.3
49.77,4,28,도봉구,3.6
84.8114,6,8,금천구,9.4
84.89,17,24,동대문,7.45
59.4,6,25,노원구,5.92
114.92,4,24,노원구,7.7
53.87,3,41,성동구,13.7
59.96,13,5,성북구,7.9
55.371,15,19,동대문,7.7
84.97,5,12,성동구,13.35
84.94,9,29,도봉구,5.45
114.86,9,21,성동구,14.5
121.0751,2,18,서초구,20.2
106.93,8,37,양천구,19.7
95.03,6,38,양천구,18.25
84.9805,9,7,강서구,13.6
59.9415,4,11,동작구,10.5
84.98,14,10,동대문,12.95
84.47,7,38,영등포,9.85
84.99,5,13,동대문,9.3
84.07,4,26,강서구,8.2
41.3,14,36,노원구,3.2
43.27,4,21,강남구,6.3
114.65,16,26,양천구,12.1
15.8307,16,9,송파구,2.82
39.6,12,32,강서구,5.9
59.97,18,24,서대문,7.25
50.76,15,36,송파구,9.4
84.9817,11,11,동작구,14.9
64.85,18,17,동대문,7.7
59.4,4,30,성동구,13.4
59.99,20,18,구로구,7.1
18.7586,6,12,마포구,1.45
59.993,30,14,서초구,22
28.84,9,19,서초구,3.28
59.99,16,9,강서구,9.2
59.98,8,8,성동구,12.65
47.1,4,28,구로구,2.4
84.91,21,5,강동구,12.2
84.76,10,20,강북구,6.95
84.96,21,12,서초구,12.75
59.4,15,25,서대문,6.48
59.98,14,19,양천구,9.65
59.86,11,5,구로구,6.5
59.1,6,2,성북구,8.5
84.98,10,4,영등포,16.5
84.44,3,32,양천구,11
19.33,16,13,구로구,1.43
59.18,3,37,노원구,5.47
59.55,14,3,강동구,7.8
74.4,7,37,강남구,24.5
84.747,13,7,서대문,10.15
59.68,5,4,양천구,8.5
59.92,4,7,서초구,19.8
59.98,5,2,노원구,7.95
84.9,22,5,성북구,13.15
64.65,9,31,강서구,5.9
60,19,23,도봉구,6.7
84.932,12,5,마포구,17.3
84.985,7,21,동작구,10.15
72.969,8,5,서대문,9.5
84.97,2,6,강동구,11.5
84.96,17,3,송파구,14.35
84.84,4,20,동작구,9
59.65,14,21,동대문,6.55
46.28,2,48,성동구,6.9
84.67,12,39,송파구,11.5
59.98,11,4,강동구,11.8
84.79,3,16,송파구,17.5
59.968,4,17,송파구,12.83
84.99,10,13,강북구,8.45
59.55,4,27,강동구,6.1
84.984,11,10,양천구,8.8
84.94,9,29,도봉구,5.65
12.62,17,10,영등포,1.656
84.76,17,32,광진구,11
124.65,2,27,은평구,7.2
84.97,14,16,강서구,11.3
84.9541,6,9,마포구,14.55
76.5,13,46,송파구,24.785
59.99,7,8,성동구,10.5
84.675,15,19,강남구,24.2
84.99,33,16,송파구,22.5
59.57,13,25,구로구,6.5
59.23,6,8,강동구,11.5
84.83,17,15,마포구,11.5
79.25,10,36,노원구,6.05
15.555,17,11,노원구,1.05
59.67,13,20,강북구,4.68
84.705,25,21,강북구,7.09
29.34,5,5,중랑구,2.95
59.98,7,8,성동구,12.4
84.6614,10,4,구로구,7
77.78,6,20,서초구,11.75
84.98,5,4,서대문,7.6
59.88,18,26,용산구,16.35
174.37,4,16,서초구,25.4
84.99,5,19,관악구,7.98
117.174,22,21,성동구,18.15
34.44,7,31,강남구,8.6
51.89,8,11,서초구,9
14.81,7,12,영등포,1.05
59.82,13,26,구로구,6.2
139.6,49,17,광진구,24
84.87,12,32,도봉구,8.1
114.7,9,17,송파구,26
84.9,4,3,양천구,12.8
71.2,2,45,송파구,14.97
84.87,7,24,성동구,10.6
61.257,11,20,구로구,6.4
84.94,10,29,도봉구,5.2
84.78,7,23,도봉구,8.1
63.94,4,35,서초구,15.25
84.8,3,24,중랑구,5.7
84.95,2,12,서초구,13
84.96,17,30,구로구,5.1
44.64,1,26,구로구,3.9
59.96,12,25,구로구,5.6
60,10,21,관악구,7.75
51.45,5,2,강북구,4.375
137.82,12,21,영등포,15
84.47,11,38,영등포,9.8
39.6,2,30,노원구,3.6
84.73,6,12,성동구,16.2
84.53,11,35,서초구,24.3
59.96,3,13,동대문,8.2
84.88,14,16,송파구,24
84.91,10,32,서초구,16.45
59.96,8,24,성동구,8.7
84.79,10,33,노원구,7.5
15.12,9,11,강동구,1
59.88,2,17,송파구,17.9
84.98,13,5,영등포,11
84.69,14,21,마포구,12.5
59.92,24,24,동대문,6
124.27,18,18,서초구,19.7
68.6,2,16,동대문,6
81.86,6,20,은평구,5
40.94,10,8,성동구,8.1
84.8,11,16,송파구,22.85
84.98,3,12,동작구,13.95
84.97,17,16,송파구,19.25
71.49,10,35,서초구,19.2
59.96,8,10,성동구,11
59.99,13,6,강남구,19.5
36.2415,17,2,은평구,5
132.96,4,26,성북구,9.3
84.94,7,29,도봉구,5.325
84.92,17,16,중구,9
59.44,8,24,양천구,6.5
60,15,23,도봉구,6.7
16.45,9,11,강북구,1.63
59.11,34,5,강동구,10.9
84.97,11,20,금천구,5.95
107.268,13,23,양천구,14.5
23.02,3,1,동대문,3.04
148.94,21,9,성동구,21.9
84.91,9,36,송파구,12.8
84.81,10,10,서초구,12.5
59.94,23,21,성동구,9.2
12.84,4,11,성동구,1.28
57.06,3,20,마포구,4.3
49.94,6,36,노원구,4.94
76.79,7,44,강남구,20.7
84.78,20,21,동대문,9.3
36.2415,5,2,은평구,5
84.93,19,25,구로구,8.4
46.68,8,5,강북구,5.57
15.942,6,6,성북구,2.08
118.0315,1,10,강남구,28
84.535,6,17,성북구,5.9
59.94,4,23,광진구,9
84.2,9,20,관악구,9.3
113.46,17,13,중구,14.2
79.777,12,22,영등포,9.95
59.95,15,7,영등포,10.3
84.98,10,12,성동구,13
84.71,21,20,구로구,6.45
59.886,9,21,동작구,8.8
59.4,2,25,서대문,6.15
40.95,4,25,송파구,5.8
84.57,12,25,구로구,7.5
137.46,5,46,동대문,12.85
59.83,11,13,강동구,8.4
114.9123,18,4,노원구,15
58.01,3,36,노원구,4.9
51.77,15,11,송파구,8
59.7,6,23,동대문,7
84.77,2,26,용산구,18
134.87,12,14,은평구,11.2
84.72,7,27,성북구,5.385
84.62,4,10,중랑구,6.6
59.85,15,11,송파구,11.53
59.76,3,30,구로구,3
49.96,6,32,강남구,11.4
114.678,7,18,성북구,7.6
59.581,16,26,도봉구,3.5
66.24,13,36,양천구,13.2
84.97,34,7,강동구,13.95
59.98,7,25,중구,9
59.94,14,22,노원구,6.59
111.73,28,20,종로구,12
84.88,10,28,구로구,6.83
74.25,10,41,강남구,21
84.978,5,17,도봉구,6.4
84.985,17,27,마포구,12.1
84.9942,15,8,송파구,14.95
59.91,14,26,강서구,6.55
59.39,2,36,노원구,6.95
39.91,4,34,노원구,4.2
59.68,2,4,양천구,7.1
101.97,15,30,강남구,18.8
51.48,4,36,양천구,6
13.642,9,10,서대문,1.41
84.89,1,27,관악구,6.95
84.97,11,4,강동구,15.2
82.45,4,45,송파구,19.7
12,12,12,강서구,1.041
59.4,11,25,영등포,7.9
84.89,4,24,동대문,7.3
84.74,8,19,마포구,10.3
73.19,3,21,동작구,4.65
84.87,4,7,성북구,9
148.981,28,12,마포구,24
106.18,2,32,서대문,8.5
84.97,2,7,강동구,8.7
114.73,16,19,성북구,8.5
59.998,4,21,성북구,7.23
84.89,12,14,은평구,8
59.83,5,21,관악구,7.08
58.14,10,29,강서구,7.53
36.16,10,35,도봉구,3.45
124.79,8,14,서초구,27.5
12.62,15,10,영등포,1.6
59.65,12,21,성북구,7.39
84.97,34,7,강동구,14
31.73,2,25,영등포,3.25
59.94,15,23,구로구,7
59.91,17,24,도봉구,5.15
65.34,11,39,양천구,14.5
39.1,3,6,송파구,9.3
59.92,3,21,마포구,6.8
84.77,2,28,노원구,9.95
59.98,8,3,영등포,10.9
81.43,7,31,송파구,9.3
59.88,20,25,구로구,7.8
59.94,3,22,노원구,6.15
107.39,8,45,서초구,30
84.8079,2,3,마포구,15.45
49.27,5,5,동대문,7.65
59.94,7,26,영등포,7
59.984,12,5,양천구,10
59.91,16,27,강서구,6.5
84.57,22,25,구로구,7.9
55.1,10,7,서초구,9
84.51,10,30,성북구,6.5
114.75,13,23,동작구,10.35
60,2,23,서대문,6.55
84.9984,5,18,강남구,26.8
84.015,11,24,성동구,15.9
84.9,6,29,강서구,8.45
84.9463,2,21,마포구,7
83.59,4,39,영등포,8.75
119.41,2,19,강남구,16.8
59.9818,13,18,강남구,20.4
49.5,12,32,강서구,7.9
84.86,18,28,광진구,12.23
84.97,19,16,강서구,10.95
59.99,16,16,강동구,9.45
25.99,7,3,은평구,3.38
47.41,5,2,강북구,4.03
46.26,10,35,송파구,4.55
163.68,24,20,영등포,17
70.84,8,25,강서구,3.7
28.14,13,5,서초구,4.4
84.93,19,6,서대문,13.9
84.97,18,26,강남구,17.8
59.98,1,4,영등포,9.15
84.4317,9,6,서대문,9.8
59.8848,3,18,강남구,17.6
46.53,8,37,동대문,5
59.97,10,26,성북구,6.6
66.9,10,32,강서구,6
84.95,18,8,노원구,8.5
74.1,9,23,구로구,5.7
84.046,1,5,강동구,14
74.784,5,5,마포구,11.9
59.96,9,3,은평구,7.97
84.9958,10,20,강서구,9.05
79.05,7,22,영등포,11.65
84.766,17,21,성북구,7.73
84.86,6,18,동작구,8.225
36.2275,23,2,은평구,4.5
59.97,9,5,강동구,9.8
59.89,4,15,구로구,7.45
59.25,10,5,강동구,10.95
63.76,22,3,강남구,21.9
84.93,3,30,강남구,17.15
84.999,8,3,노원구,10.1
84.99,7,9,강서구,11.75
147.86,20,21,서초구,26
84.95,9,27,노원구,6.7
191.872,27,15,마포구,22
59.91,10,6,서대문,9
66,9,39,양천구,13.88
115.54,24,26,동작구,10.4
59.938,3,5,은평구,8.1
16.45,14,11,강북구,1.665
114.7267,9,10,마포구,20
59.99,28,16,송파구,18
59.86,15,29,도봉구,5.13
35.45,14,32,동대문,3.5
17.94,15,12,중랑구,1
36.2415,9,2,은평구,5
84.3363,30,5,은평구,9.4
24.011,6,11,동대문,2.52
72.51,4,50,서초구,27.6
59.9,6,24,양천구,5.8
45.77,4,36,송파구,7.9
76.05,5,23,동작구,6.9
59.86,9,24,중랑구,5.45
59.96,12,32,강남구,12.7
84.952,4,22,성동구,16.5
84.9,2,16,송파구,18.18
115.17,3,20,송파구,12.8
59.37,4,15,은평구,8.2
75.45,6,31,관악구,4.25
84.96,10,24,구로구,6
84.915,4,23,구로구,7.4
59.11,28,5,강동구,10.4
84.813,14,13,은평구,10.2
84.9572,11,18,마포구,10.35
86.61,9,46,서초구,18.75
175.078,11,9,서대문,21
84.03,23,26,중랑구,7.6
59.76,11,30,강남구,13.1
81.07,5,38,강동구,13
69.06,6,22,강동구,5.6
84.9805,4,7,강서구,11.65
59.42,17,25,성북구,5.05
58.01,14,37,노원구,6.35
84.74,5,32,관악구,7.9
55.15,4,2,성북구,6.215
84.95,16,24,동대문,7.75
50.81,5,42,영등포,7
59.91,7,4,영등포,9.3
59.97,23,23,성동구,8.6
59.99,9,10,동대문,9.75
73.96,11,14,동대문,10
71.85,4,35,성동구,6.96
14.79,5,6,도봉구,1
84.95,10,27,강서구,6.5
59.63,6,11,송파구,11.89
59.79,6,26,성북구,5.8
41.3,4,36,노원구,3.6
84.96,2,20,동작구,11.44
59.959,13,13,마포구,10.6
84.91,19,28,광진구,14.3
39.6,6,30,노원구,3.775
59.606,6,19,강남구,17.3
59.4,9,25,서대문,6.03
84.97,12,27,강남구,16.2
39.6,11,30,노원구,4.1
84.92,10,12,동대문,10.3
12.9463,8,11,동대문,1.22
170.32,14,39,송파구,20.6
12.19,8,10,금천구,1.2
84.88,8,23,동작구,9.78
156.39,4,21,은평구,7.5
84.96,2,22,용산구,11
59.99,1,10,동대문,9.3
68.86,15,37,노원구,7.9
59.34,2,24,동대문,6.2
59.76,13,22,동대문,6.9
84.94,15,29,도봉구,5.4
114.9,3,24,종로구,12.59
59.9,28,5,성북구,9.6
114.93,8,17,성북구,10.6
84.67,18,19,마포구,11.4
84.79,29,16,송파구,21.4
59.785,4,5,강동구,10.95
51.78,19,11,송파구,6.7
59.4,4,25,서대문,6
84.8919,16,10,마포구,16.7
73.18,10,32,구로구,8.5
84.63,17,30,동대문,7.4
84.9342,13,8,송파구,13.5
37.67,13,29,강서구,5.18
116.0224,2,13,용산구,18.7
59.57,22,25,구로구,6.3
59.96,2,3,은평구,6.9
84.48,4,22,서초구,9
84.83,11,13,강동구,9.15
65.34,5,39,양천구,15.1
74.28,2,19,송파구,4.3
59.9908,5,3,동작구,8.8
59.81,11,28,서초구,15.4
84.57,7,28,서대문,7.7
59.89,3,24,관악구,6.72
81.05,24,17,동대문,8.95
50.67,6,36,양천구,5.65
114.84,5,20,금천구,6.035
84.89,13,27,영등포,9.35
51.66,3,29,동작구,7.52
14.235,18,7,은평구,1.28
59.31,7,37,영등포,6.65
51.86,5,20,중랑구,3.91
65.99,5,21,강북구,2.5
59.9,4,23,구로구,8.25
59.8848,11,18,강남구,18.7
114.96,5,26,용산구,25
59.58,18,26,성북구,5.38
59.9769,2,8,동작구,8.25
84.97,8,17,송파구,17.9
59.95,6,26,강서구,6.1
152.1,11,9,강서구,17.8
59.91,10,26,서초구,18.7
102.8617,18,4,용산구,29.7
82.46,10,22,은평구,5.85
84.445,23,3,강동구,13.5
114.5011,28,4,용산구,29.3
29.98,4,5,동작구,3.6
84.94,12,32,동대문,5.8
107.08,18,14,관악구,10.2
51.48,5,36,양천구,9.3
81.05,24,17,동대문,8.5
64.85,8,17,동대문,7.6
36.66,14,21,서초구,3.8
84.99,7,24,금천구,5.1
39.31,8,20,서초구,4.25
84.9,5,25,영등포,12.05
84.83,4,32,서초구,19.7
30,4,11,중랑구,1.7
174.38,3,42,용산구,30
50.37,9,26,중랑구,5.35
59.91,6,26,성동구,6.92
84.98,2,31,중랑구,6.29
82.51,11,46,송파구,24.46
84.774,10,21,동대문,8.88
59.41,8,25,영등포,5.9
128.03,6,41,강남구,30
40.02,1,28,도봉구,2.4
13.6794,12,11,도봉구,1.03
84.43,5,45,강남구,24.5
65.08,10,38,양천구,16.1
59.8981,14,3,마포구,14.05
114.86,13,10,강서구,16.4
59.96,12,16,관악구,5.67
59.04,1,30,강서구,5.63
84.92,21,29,광진구,14
59.98,4,4,영등포,11.5
59.99,4,10,동대문,9.6
59.72,13,13,동작구,12.8
71.2,5,45,송파구,17.5
59.94,3,25,서초구,13
84.64,27,3,강남구,29
43.35,5,35,노원구,3.795
84.236,17,16,강남구,26.25
114.86,21,21,성동구,15.9
71.2,7,45,송파구,16
59.96,6,32,강남구,11.2
12.21,5,12,관악구,1.126
68.616,19,18,성북구,7.05
84.98,6,10,관악구,8.6
59.9823,23,5,송파구,8.4
59.86,13,16,송파구,14.9
21.95,3,4,강서구,1.39
84.99,28,16,송파구,22.72
48.92,9,26,마포구,6.9
53.01,3,25,서초구,12.05
59.98,19,7,은평구,6.79
55.02,11,36,양천구,11.8
39.91,15,20,마포구,5.85
112.78,13,21,동대문,10.8
84.9,9,29,노원구,9.55
84.79,15,32,영등포,6.4
84.96,21,6,성동구,16.1
84.8768,10,20,금천구,6.95
105.72,4,42,용산구,20
59.958,7,22,동작구,6.2
84.45,3,20,서대문,9.695
25.32,18,20,송파구,1.84
53.39,12,42,금천구,4.4
50.54,2,38,마포구,8.3
33.06,8,20,강남구,2.8
113.87,9,26,마포구,11.75
151.81,11,16,종로구,17.9
59.97,4,20,마포구,12.8
134.97,7,26,노원구,9.5
112.29,3,36,동작구,17
59.98,28,14,성북구,8.4
44.52,5,32,노원구,3.6
107.95,7,31,노원구,8.55
58.14,7,29,강서구,7.3
59.82,20,26,광진구,5.25
56.23,5,22,은평구,3.46
49.54,4,33,노원구,5.05
84.891,9,23,동대문,7.9
136.325,15,36,송파구,15.55
18.6479,13,10,강북구,1.25
84.14,2,19,양천구,6
68.91,7,46,서초구,22
59.7479,19,5,강남구,20.55
51.66,15,30,노원구,4.12
84.53,11,15,강동구,9.5
44.33,15,36,노원구,4
84.98,3,10,동대문,12.5
47.2,1,28,구로구,1.89
106.12,4,42,용산구,19
115.65,9,38,양천구,21.8
36.16,15,35,도봉구,3.3
59.94,18,28,영등포,7.98
84.98,2,5,성북구,9.4
53.82,13,37,양천구,12.75
59.99,11,25,노원구,5.25
32.39,6,36,노원구,3.65
50.49,8,28,관악구,3.8
110.39,15,35,강남구,28
51.84,22,26,구로구,5.15
131.4,4,31,강서구,11.5
84.82,14,17,강서구,9.35
59.7827,2,6,동작구,12.45
59.96,3,11,송파구,10.1
59.1,2,2,성북구,7.45
59.97,11,19,성동구,9.6
84.87,6,26,서대문,10
