pid,year,hid,housenum,p20ans,p21ans,p21area,p21area_siz,p21hhldsiz,p21gender,p21age1,p21school,p21mar,p21income1,p21job1,p21job2,p21relig1,ott_yes,ott_freq,ott_score,sns_yes,sns_freq_1,sns_freq_2,sns_freq_3,sns_freq_4,sns_score_1,sns_score_1,sns_score_1,sns_score_1,sns_score_all,p21d25040,p21d25041,p21d25042,p21d25043,p21d25044,p21d25045,p21d25046,p21d25047,p21d25048,p21d25049,p21d25050,p21d25051,p21d25052,p21d25053,p21d25054,p21d25055,p21d25056,p21d25057,p21d25058,p21d25059,p21d25060,pc_ability,p21d25061,p21d25062,p21d25063,p21d25064,p21d25065,p21d25066,p21d25067,p21d25068,p21d25070,p21d25071,p21d25072,p21d25073,p21d25074,p21d25075,p21d25076,p21d25077,p21d25078,p21d25079,p21d25080,p21d25081,p21d25082,p21d25083,p21d25084,p21d25085,p21d25086,smart_ability,p21h01001,p21h01002,p21h01003,p21h01004,p21h01005,p21h01006,p21h01007,p21h01008,p21h01009,p21h01010,esteem
16290002,2021,162900,2,1,1,8,1,3,2,79,4,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2.666666667,4,4,4,4,4,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3.08,3,2,2,2,2,2,2,1,1,1,29
16300001,2021,163000,1,1,1,8,1,2,2,62,5,3,1,2, ,2,1,1,9,1,2,2,2,2,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3.047619048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4.04,3,2,2,1,2,2,2,1,1,1,28
16310001,2021,163100,1,1,1,8,1,3,1,54,5,2,9,1,2,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,4,3,2,3,3,3,3,3,2,4,4,4,4,3,2,2,2,2,2.952380952,4,4,4,4,4,4,4,4,3,3,4,4,3,2,4,4,4,4,3,3,3,2,2,2,2,3.36,2,3,2,2,3,2,2,3,2,2,24
16310002,2021,163100,2,1,1,8,1,3,2,51,5,2,4,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2.619047619,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,2,2,2,3.56,2,2,3,3,2,2,3,2,3,3,24
16310003,2021,163100,3,1,1,8,1,3,2,23,5,1,1,2, ,1,1,4,6,1,4,4,6,6,6,6,4,4,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4.714285714,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4.8,3,3,2,2,3,3,2,3,2,3,25
16310004,2021,163100,4,1,1,8,1,3,1,21,5,1,1,2, ,1,1,3,7,1,4,4,6,6,6,6,4,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4.904761905,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4.92,3,3,2,3,2,3,2,3,3,3,26
16320001,2021,163200,1,1,1,8,1,3,1,46,5,2,8,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,3,3,3,3.619047619,5,5,5,5,5,5,5,5,5,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,3,4.12,2,2,2,1,2,2,1,1,1,2,25
16320002,2021,163200,2,1,1,8,1,3,2,46,5,2,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,2,3,2,2,3,3,3,2,2,4,4,4,4,2,3,2,2,2,2.714285714,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,3,3,2,2,2,2,2,2,3.32,2,2,2,1,2,2,1,1,2,2,24
16320003,2021,163200,3,1,1,8,1,3,1,19,4,1,1,2, ,2,2, ,0,1,1,1,6,4,9,9,4,6,7,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3.571428571,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4.84,2,2,2,3,3,2,2,2,3,2,24
16320004,2021,163200,4,1,1,8,1,3,1,15,3,1,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,4,2,3,3,3,4,4,4,4,3,3,3,3,3,3.523809524,5,5,5,5,5,5,5,5,5,5,2,2,4,4,5,5,5,5,5,4,4,4,4,4,4,4.44,2,2,2,2,1,2,2,1,2,2,27
16340001,2021,163400,1,1,1,8,1,3,1,51,3,2,8,1,1,1,1,1,9,1,1,1,1,1,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,3,1,3,3,3,1,3,31
16340002,2021,163400,2,1,1,8,1,3,2,52,3,2,3,2, ,1,1,1,9,1,1,1,1,5,9,9,9,5,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,3,2,3,3,3,1,2,32
16340003,2021,163400,3,1,1,8,1,3,2,25,5,1,5,1,1,1,1,2,8,1,1,1,1,1,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,1,4,1,3,3,3,3,3,31
16340004,2021,163400,4,0,1,8,1,3,1,23,4,1,6,1,1,1,1,1,9,1,1,1,1,1,9,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,4,1,4,4,4,2,2,35
16350002,2021,163500,2,1,1,8,1,3,2,46,4,3,7,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,4.714285714,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,4,5,5,5,4.72,3,3,1,4,2,3,3,3,1,2,32
16350003,2021,163500,3,1,1,8,1,3,1,19,5,1,1,2, ,2,1,6,4,1,2,5,6,6,8,5,4,4,5.25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.952380952,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.96,3,3,1,3,1,3,3,3,1,1,33
16350004,2021,163500,4,1,1,8,1,3,2,17,4,1,1,2, ,1,1,1,9,1,3,6,6,6,7,4,4,4,4.75,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,4.80952381,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4.92,4,4,1,4,1,4,4,1,1,1,40
16420001,2021,164200,1,1,1,8,1,3,1,54,4,2,9,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,1,1,1,2.380952381,4,4,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,2,2,2,2,1,1,1,1,2.76,2,2,2,1,1,2,2,1,2,1,27
16420002,2021,164200,2,1,1,8,1,3,2,47,4,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,2,3,3,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,2,2.523809524,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,2,2,1,1,3.32,2,2,1,2,2,1,1,2,2,1,25
16420003,2021,164200,3,0,1,8,1,3,1,22,5,1,1,2, ,2,2, ,0,1,4,4,6,4,6,6,4,6,5.5,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,3.761904762,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,3,4,3,3,3,3.72,2,2,1,2,2,1,1,2,2,3,23
16420004,2021,164200,4,1,1,8,1,3,2,19,4,1,1,2, ,2,1,6,4,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,3,2,3,2,2,3,3,3,3,3,3,2,2,2,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,2,2,2,3,3.44,2,2,1,2,1,2,2,2,3,2,26
16440001,2021,164400,1,1,1,8,1,2,1,65,5,2,7,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,2,3,3,3,3,2,2,3,3,3,2,4,4,4,4,2,2,2,2,2,2.761904762,4,4,4,4,4,4,4,4,4,3,4,4,3,2,3,3,3,3,3,2,2,2,2,2,2,3.16,3,2,2,3,3,2,2,3,2,3,24
16440002,2021,164400,2,1,1,8,1,2,2,60,5,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,3,2,2,2,2,1,1,3,3,3,2,1,1,1,1,1,1.857142857,4,4,4,4,3,3,3,3,3,2,3,2,2,2,3,3,2,2,2,1,1,1,1,1,1,2.4,2,2,2,3,2,1,1,2,2,2,24
16470001,2021,164700,1,0,1,8,1,3,1,52,4,2,9,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,2,3,4,5,4,5,3,2,3,1,1,2,4,4,2,4,3,1,1,1,4,2.80952381,5,4,5,4,5,4,1,4,5,3,2,1,1,3,5,4,5,5,5,1,4,3,4,1,1,3.4,3,3,1,3,2,3,3,3,1,1,32
16470002,2021,164700,2,0,1,8,1,3,2,45,4,2,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,1,3,1,4,4,5,4,1,3,3,4,3,4,4,3,3,1,2,3,3,3,2.952380952,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,4,4.8,3,3,3,3,1,3,3,3,1,1,31
16470003,2021,164700,3,0,1,8,1,3,1,17,4,1,1,2, ,2,1,1,9,1,2,6,8,8,8,4,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.952380952,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.96,4,4,1,4,1,4,4,4,1,2,36
16470004,2021,164700,4,0,1,8,1,3,2,13,3,1,1,2, ,2,1,1,9,1,5,9,9,6,5,1,1,4,2.75,1,5,1,5,5,5,4,3,1,1,1,5,5,4,5,5,4,2,3,1,1,3.19047619,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,5,5,5,3,5,5,1,4,5,4.36,3,1,2,3,3,2,1,3,1,2,24
16510001,2021,165100,1,1,1,8,1,3,1,52,5,2,9,1,1,2,1,4,6,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,2,2.571428571,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,3,3,2,2,2,2,3.44,2,2,1,2,3,2,2,1,1,2,27
16510002,2021,165100,2,1,1,8,1,3,2,48,5,2,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2.619047619,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,3,2,2,2,2,3.44,2,2,1,2,1,2,1,1,2,2,27
16510003,2021,165100,3,1,1,8,1,3,2,22,5,1,1,2, ,2,1,4,6,1,4,7,6,4,6,3,4,6,4.75,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3.761904762,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3.76,2,2,1,2,3,1,2,3,2,2,23
16520001,2021,165200,1,0,1,8,1,3,1,51,4,2,6,1,3,2,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3,3,3,3,3,3,22
16520002,2021,165200,2,0,1,8,1,3,2,47,5,2,6,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,5,5,5,5,5,4,4,4,4,4,3,3,4,4,4,4,4,2,4,3,2,3.904761905,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,2,3,3,3.68,3,3,1,3,2,3,3,2,2,2,31
16520003,2021,165200,3,0,1,8,1,3,2,19,5,1,1,2, ,1,2, ,0,1,5,9,7,7,5,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3.80952381,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,2,2,3.76,2,1,3,2,3,1,1,1,2,1,22
16520004,2021,165200,4,0,1,8,1,3,2,17,4,1,1,2, ,1,2, ,0,1,1,2,5,5,9,8,5,5,6.75,4,4,3,2,4,4,4,2,1,1,2,2,4,4,3,3,2,2,4,2,2,2.80952381,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,3,3.84,3,3,1,3,1,3,2,2,1,2,32
16550001,2021,165500,1,1,1,8,2,3,1,54,4,2,8,1,3,2,1,4,6,2, , , , ,0,0,0,0,0,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,2.857142857,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,3,2,2,2,2,2,2,3.32,3,3,2,2,2,3,2,2,2,3,27
16550002,2021,165500,2,1,1,8,2,3,2,54,4,2,3,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,4,4,3,3,4,3,3,3,2,2,3,3,4,3,3,2,2,2,2.952380952,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,3.32,2,2,3,3,3,2,2,2,2,2,24
16550003,2021,165500,3,1,1,8,2,3,1,18,4,1,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,4,2,4,4,3,4,4,4,4,4,3,3,3,3,3.619047619,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,4,5,4,4,4,4.68,2,2,1,1,2,2,2,1,2,2,26
16560001,2021,165600,1,1,1,8,1,2,1,64,4,2,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,3,3,3,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1.714285714,4,4,4,4,4,3,3,3,3,2,3,3,2,2,3,3,2,2,3,3,1,1,1,1,1,2.6,2,2,1,2,2,1,2,2,1,2,26
16560002,2021,165600,2,1,1,8,1,2,2,60,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1.380952381,3,3,3,3,3,3,3,3,3,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1.92,2,2,1,1,2,2,3,2,1,2,27
16570001,2021,165700,1,1,1,8,1,2,1,76,4,2,5,1,1,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,2,2,3,1,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,2.08,2,2,1,2,2,1,1,2,2,2,24
16570002,2021,165700,2,1,1,8,1,2,2,74,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2.12,2,2,2,1,2,2,1,1,2,2,24
16580001,2021,165800,1,1,1,8,1,3,1,55,4,2,7,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,4,3,3,3,3,3,2,3,3,3,2,4,3,3,3,2,2,2,2,2,2,2.714285714,4,4,4,4,3,3,4,3,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2.76,2,2,2,3,3,2,3,2,3,3,24
16580002,2021,165800,2,1,1,8,1,3,2,53,4,2,5,1,1,2,1,4,6,2, , , , ,0,0,0,0,0,3,3,2,3,3,3,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2.428571429,4,4,4,4,3,3,3,3,4,4,4,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2.84,2,3,3,2,2,2,3,3,2,3,24
16580003,2021,165800,3,1,1,8,1,3,2,26,5,1,1,2, ,2,1,3,7,2, , , , ,0,0,0,0,0,4,4,4,4,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,4,5,4.380952381,5,5,5,4,5,5,4,5,5,5,4,5,5,4,4,5,5,5,4,5,5,4,5,5,4,4.68,2,3,3,2,3,3,2,2,3,3,23
16580004,2021,165800,4,1,1,8,1,3,1,19,4,1,1,2, ,2,1,2,8,2, , , , ,0,0,0,0,0,5,5,4,4,4,5,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,4.619047619,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4,5,5,4,4,4,4.68,2,3,3,2,3,3,3,2,3,4,23
16600001,2021,166000,1,1,1,8,1,1,2,49,5,4,7,1,1,1,1,7,3,2, , , , ,0,0,0,0,0,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,3,3,3,3,3,3.571428571,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,2,2,2,3.52,2,2,1,2,2,2,1,1,1,2,27
16610001,2021,166100,1,1,1,8,1,2,1,73,4,2,5,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1.72,2,2,3,2,2,1,2,3,2,2,22
16610002,2021,166100,2,1,1,8,1,2,2,69,4,2,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1.6,2,2,2,1,2,2,1,3,2,2,22
16740002,2021,167400,2,1,1,8,1,3,2,64,4,2,1,2, ,2,1,1,9,1,2,2,2,2,8,8,8,8,8,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.095238095,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3.88,2,2,1,2,2,1,2,2,1,1,27
16760001,2021,167600,1,1,1,8,1,3,1,76,5,2,5,1,1,2,1,1,9,1,3,3,3,3,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3.047619048,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3.72,3,2,2,2,2,1,2,2,2,2,25
16760002,2021,167600,2,1,1,8,1,3,2,73,4,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3.047619048,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2.48,3,2,2,2,1,2,2,2,2,1,28
16770001,2021,167700,1,1,1,8,1,2,2,60,3,4,6,1,3,2,1,6,4,2, , , , ,0,0,0,0,0,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1.857142857,5,5,5,5,5,3,3,3,2,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2.24,2,2,3,2,2,2,3,2,2,2,25
16770002,2021,167700,2,1,1,8,1,2,2,28,4,1,5,1,1,2,1,1,9,1,1,6,6,1,9,4,4,9,6.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,3,3,2,24
16780001,2021,167800,1,1,1,8,1,1,2,78,3,3,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1.904761905,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.2,3,2,2,1,2,2,2,2,1,1,27
16790003,2021,167900,3,1,1,8,1,2,2,87,2,3,1,2, ,1,2, ,0,2, , , , ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.08,2,2,2,2,3,2,2,3,2,2,23
16790005,2021,167900,5,1,1,8,1,2,2,50,6,1,9,1,1,2,1,1,9,1,3,6,4,4,7,4,6,6,5.75,4,4,5,5,5,5,3,3,4,5,3,3,5,5,5,5,4,3,4,4,3,4.142857143,5,5,5,5,5,5,5,5,5,5,4,5,3,3,5,5,5,5,3,3,2,3,3,3,3,4.2,3,2,1,3,3,2,2,3,1,1,28
16810002,2021,168100,2,1,1,8,1,3,2,47,5,2,8,1,1,1,1,3,7,2, , , , ,0,0,0,0,0,3,4,4,5,5,5,5,3,4,5,4,4,3,3,2,2,1,1,1,1,1,3.142857143,5,5,5,5,5,5,5,5,5,5,4,5,3,3,3,3,3,3,3,2,2,2,1,1,1,3.56,3,3,2,3,3,3,3,2,1,1,31
16820001,2021,168200,1,1,1,8,1,3,1,49,5,2,9,1,1,1,1,1,9,2, , , , ,0,0,0,0,0,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,4,3,4,3,3,4.428571429,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,4,4,4,4,4,4,4.6,3,2,1,3,3,2,2,3,1,1,28
16820002,2021,168200,2,1,1,8,1,3,2,44,5,2,1,2, ,1,1,1,9,2, , , , ,0,0,0,0,0,5,4,5,5,5,4,3,3,4,4,3,3,3,3,3,2,2,2,2,2,2,3.285714286,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,3,2,2,2,2,2,2,2,1,1,3.56,3,2,2,3,2,3,3,2,2,2,29
16830001,2021,168300,1,1,1,8,1,3,2,62,4,2,1,2, ,2,1,2,8,2, , , , ,0,0,0,0,0,3,4,2,3,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1.761904762,5,5,5,5,5,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2.48,3,3,1,3,2,3,3,2,1,1,33
16850001,2021,168500,1,1,1,8,1,2,1,66,4,2,7,1,1,2,1,1,9,2, , , , ,0,0,0,0,0,4,4,3,3,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,2.142857143,4,4,4,4,3,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2.2,3,2,1,2,3,2,2,3,1,1,27
16850002,2021,168500,2,1,1,8,1,2,2,62,4,2,7,1,1,2,1,2,8,2, , , , ,0,0,0,0,0,4,4,4,5,4,5,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2.238095238,5,5,4,4,3,4,4,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.16,3,2,2,3,3,2,2,3,1,1,27
16880001,2021,168800,1,1,1,8,1,2,1,75,3,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2.047619048,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.16,3,2,1,2,2,3,2,2,1,1,30
16880002,2021,168800,2,1,1,8,1,2,2,73,3,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1.6,3,3,1,2,2,2,3,2,1,1,31
17030002,2021,170300,2,1,1,2,1,3,2,38,4,2,6,1,1,2,1,2,8,1,8,9,9,9,2,1,1,1,1.25,3,4,4,5,4,3,3,4,4,5,4,3,3,4,4,4,5,4,4,4,4,3.904761905,4,4,5,4,3,3,4,4,5,5,4,4,3,4,4,4,5,5,5,4,4,4,4,5,4,4.16,3,3,2,3,3,2,3,3,1,1,29
17030003,2021,170300,3,1,1,2,1,3,2,64,3,3,4,1,1,1,1,5,5,2, , , , ,0,0,0,0,0,2,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1.571428571,2,2,3,1,1,2,2,2,2,1,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,1.88,2,3,3,2,2,2,3,3,2,2,25
17030004,2021,170300,4,1,1,2,1,3,1,17,4,1,1,2, ,2,1,2,8,1,8,9,9,9,2,1,1,1,1.25,4,4,4,5,3,3,4,4,4,4,5,5,4,4,4,5,4,3,4,4,4,4.047619048,4,4,3,5,4,4,4,4,4,4,5,4,4,4,4,3,3,4,4,4,4,4,5,4,4,4,3,3,2,4,2,3,3,2,2,2,31
17040001,2021,170400,1,1,1,2,1,2,2,60,3,4,5,1,3,1,1,4,6,2, , , , ,0,0,0,0,0,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2.333333333,3,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,3,2,2.4,3,3,4,3,3,3,3,3,3,3,24
17040002,2021,170400,2,1,1,2,1,2,2,25,4,1,5,1,1,2,1,5,5,1,7,8,8,7,3,2,2,3,2.5,4,5,4,4,4,3,3,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,5,4,4,3,4,5,5,4,4,4,5,5,4,4,4,4,4,5,5,4,4,4,4,4,4.28,3,3,2,3,2,3,3,3,1,2,30
17060001,2021,170600,1,1,1,2,1,1,2,66,3,3,3,2, ,1,1,1,9,2, , , , ,0,0,0,0,0,2,1,2,2,3,2,2,1,2,3,3,2,2,1,1,2,3,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,1,2,1.88,3,3,2,3,1,3,2,2,1,2,31
17070001,2021,170700,1,1,1,2,1,3,1,78,4,2,6,1,1,2,2, ,0,2, , , , ,0,0,0,0,0,2,2,3,3,2,1,1,2,2,3,3,2,2,2,2,1,1,2,2,2,2,2,3,3,2,2,1,2,2,2,3,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1.88,3,3,4,4,3,3,3,2,2,2,28
17070002,2021,170700,2,1,1,2,1,3,2,76,3,2,1,2, ,2,2, ,0,2, , , , ,0,0,0,0,0,2,4,2,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.333333333,3,2,2,2,2,2,3,3,4,2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,2.24,3,2,2,2,3,4,3,3,1,2,28
