sample,male,brand,C1,C2,C3,D1,D2,D3
735,1,C3,6,6,7,4,5,5
736,0,C1,3,3,4,3,3,3
737,0,C4,4,5,4,4,5,4
738,1,C5,7,6,7,5,6,6
739,1,C6,2,2,1,5,6,5
740,0,C7,3,4,3,5,5,6
741,0,C8,3,3,4,5,6,7
742,1,C9,6,7,7,4,3,4
743,0,C10,4,4,3,6,6,5
744,1,C11,5,5,5,4,3,3
745,1,C12,5,6,6,4,5,5
746,0,C13,5,4,4,2,2,1
747,0,C14,3,2,1,5,4,3
748,0,C15,6,6,6,3,4,3
749,1,C16,4,3,2,3,2,2
750,0,C2,3,4,4,3,3,4
751,0,C3,6,7,6,6,6,5
752,1,C1,5,4,3,6,5,6
753,1,C4,4,3,3,5,6,5
754,1,C5,4,3,3,5,6,7
755,0,C6,5,5,6,2,1,2
756,0,C7,3,2,1,5,6,7
757,0,C8,2,1,2,4,5,6
758,1,C9,5,4,5,2,3,2
759,1,C10,4,5,4,1,1,1
760,0,C11,7,8,7,7,6,6
761,0,C12,5,6,5,5,4,4
762,1,C13,4,5,4,5,4,3
763,0,C2,4,5,4,3,3,3
764,1,C3,5,5,5,7,8,9
765,0,C1,1,1,2,5,5,5
766,1,C4,2,3,4,5,4,3
767,0,C5,4,3,2,2,2,2
768,1,C6,4,5,5,1,2,2
769,1,C7,4,4,5,4,4,5
770,0,C8,4,3,3,7,7,7
771,0,C9,3,4,4,4,4,4
772,1,C10,4,4,5,4,4,3
773,0,C11,5,5,5,7,6,6
774,1,C12,6,5,5,1,2,1
775,1,C13,6,7,6,3,3,2
776,0,C14,1,1,1,5,5,6
777,0,C15,4,5,4,4,5,4
778,0,C16,2,3,2,6,6,5
779,0,C14,1,1,2,5,4,5
780,1,C15,7,7,6,1,1,1
781,1,C16,4,3,4,3,2,3
782,1,C2,4,5,4,3,2,2
783,0,C3,5,6,7,7,6,5
784,1,C1,3,4,4,6,5,5
785,0,C4,2,3,2,2,1,2
786,1,C5,5,5,4,1,2,2
787,1,C6,4,5,6,4,4,4
788,1,C7,5,6,5,5,5,6
789,1,C8,2,2,2,4,4,3
790,0,C9,5,4,3,4,5,6
791,0,C10,5,6,7,4,3,3
792,1,C11,7,7,6,6,6,7
793,0,C12,4,3,2,4,4,3
794,0,C13,6,6,6,2,1,1
795,1,C14,3,3,2,4,3,2
796,1,C15,6,5,6,4,4,3
797,1,C16,3,3,4,4,3,2
798,1,C2,4,3,2,3,3,3
799,1,C3,4,5,4,4,3,3
800,0,C1,5,6,5,7,7,6
801,0,C4,2,1,2,2,2,1
802,1,C5,6,6,5,3,4,5
803,1,C6,4,3,4,4,4,3
804,0,C7,6,6,6,4,4,3
805,1,C8,3,2,1,4,5,6
806,1,C9,4,4,4,5,5,4
807,1,C10,6,7,8,3,4,4
808,1,C11,7,8,9,6,7,8
809,1,C12,4,4,5,3,4,4
810,0,C13,7,6,7,5,4,5
811,0,C14,2,2,1,6,6,6
812,1,C15,5,5,6,4,4,3
813,0,C16,4,4,3,6,6,6
814,1,C2,2,3,2,5,5,6
815,1,C3,3,2,2,5,4,5
816,1,C1,4,4,3,6,6,6
817,1,C4,3,2,3,2,1,1
818,0,C2,3,2,3,6,6,5
819,0,C3,6,7,7,5,5,6
820,0,C1,4,3,4,6,7,8
821,1,C4,4,3,3,2,2,1
822,1,C5,4,5,5,5,4,5
823,1,C6,5,6,5,5,6,6
824,0,C7,3,4,4,4,4,5
825,0,C8,3,3,3,3,3,4
826,1,C9,5,4,4,3,2,3
827,0,C10,6,7,6,5,6,7
828,1,C11,6,6,7,5,5,5
829,0,C12,4,4,3,2,3,2
830,0,C13,6,5,5,4,3,2
831,1,C14,4,3,3,5,5,4
832,1,C15,4,4,5,2,2,2
833,0,C16,3,2,1,4,3,3
834,1,C2,2,2,1,3,2,2
835,0,C3,4,3,2,7,6,5
836,1,C1,4,5,5,5,4,3
837,1,C4,2,2,2,4,5,4
838,0,C5,4,3,3,1,2,2
839,0,C6,2,2,3,1,1,1
840,0,C7,4,5,5,5,5,5
841,0,C8,2,3,4,5,4,3
842,1,C9,7,7,7,6,7,8
843,0,C10,4,5,6,6,6,6
844,0,C11,4,5,5,6,6,6
845,0,C12,4,4,3,4,5,4
846,0,C13,6,6,5,2,1,1
847,1,C14,2,1,1,7,8,9
848,1,C15,6,7,7,6,6,6
849,0,C16,4,4,4,7,8,7
850,1,C2,1,2,3,5,6,7
851,1,C3,4,4,5,7,6,6
852,1,C1,2,2,2,6,6,6
853,1,C4,5,5,6,3,4,3
854,0,C5,5,4,5,3,4,3
855,1,C6,2,3,3,1,2,2
856,1,C7,5,5,5,4,5,4
857,1,C8,4,4,3,4,3,3
858,0,C9,7,7,6,6,5,5
859,0,C10,5,4,5,5,6,5
860,0,C11,7,6,6,7,6,5
861,1,C12,7,7,6,4,3,4
862,1,C13,5,5,4,2,1,1
863,1,C14,1,2,1,4,4,5
864,1,C15,6,6,5,6,5,6
865,0,C16,3,2,3,6,6,5
866,0,C2,5,4,5,6,5,5
867,1,C3,3,3,2,6,7,6
868,1,C1,4,5,5,7,7,8
869,1,C4,3,3,3,5,4,4
870,0,C5,6,7,7,4,5,5
871,0,C6,5,6,5,4,4,3
872,0,C7,4,4,4,5,4,5
873,0,C8,2,2,1,5,5,4
874,0,C9,7,8,8,5,4,5
875,0,C10,3,4,5,6,5,4
876,1,C2,4,5,6,5,6,5
877,0,C3,6,7,6,4,3,2
878,1,C1,4,4,4,4,5,6
879,1,C4,2,3,4,2,1,1
880,0,C5,7,6,5,1,2,2
881,1,C6,2,2,3,4,3,4
882,0,C7,4,3,2,4,3,3
883,1,C8,2,1,1,6,6,7
884,1,C9,4,5,4,4,5,6
885,1,C10,5,6,7,5,4,5
886,1,C11,6,6,7,6,5,4
887,0,C12,4,4,5,3,4,3
888,0,C13,5,6,6,4,4,3
889,1,C14,1,2,2,5,4,4
890,0,C15,5,5,5,3,4,3
891,0,C16,3,4,3,5,5,4
892,0,C2,1,1,2,3,2,2
893,0,C3,6,5,6,4,4,4
894,1,C1,3,3,3,7,6,7
895,0,C4,2,3,2,2,1,1
896,0,C5,7,6,7,5,6,5
897,1,C6,5,4,4,4,5,6
898,1,C7,6,7,7,4,5,5
899,1,C8,4,3,3,5,4,3
900,1,C9,6,5,4,6,5,6
901,0,C10,2,2,1,6,5,5
902,1,C11,6,5,4,4,3,3
903,0,C12,7,8,8,1,2,3
904,1,C13,5,5,5,4,4,5
905,1,C2,4,4,4,5,4,5
906,1,C3,3,4,4,7,7,7
907,0,C1,2,1,1,4,5,6
908,0,C4,4,4,4,2,3,2
909,1,C5,4,4,4,5,6,6
910,0,C6,2,3,4,2,2,1
911,1,C7,4,5,5,4,3,3
912,0,C8,4,3,2,4,4,3
913,0,C9,3,2,2,6,5,6
914,0,C10,2,2,2,4,3,3
915,1,C11,6,7,6,4,3,4
916,1,C12,7,6,5,5,6,5
917,1,C13,6,6,7,3,4,4
918,0,C14,3,3,2,5,4,3
919,1,C15,7,8,7,6,6,7
920,0,C16,5,5,6,6,6,6
921,1,C14,5,4,5,4,4,5
922,0,C15,6,6,7,6,5,5
923,1,C16,5,5,5,7,7,8
924,0,C2,2,1,2,6,7,8
925,0,C3,6,7,7,4,3,3
926,1,C1,4,5,5,4,4,5
927,0,C4,3,2,3,2,1,2
928,0,C5,5,5,6,3,4,4
929,0,C6,4,4,3,4,5,6
930,0,C7,6,6,5,4,4,4
931,0,C8,3,2,1,5,5,6
932,1,C9,6,7,7,4,4,3
933,0,C10,6,5,5,5,6,7
934,1,C11,7,8,9,6,5,6
935,1,C12,6,7,6,4,3,4
936,0,C13,4,3,4,5,4,4
937,1,C14,4,3,4,7,7,7
938,1,C15,7,6,7,4,5,5
939,0,C16,3,4,4,5,5,4
940,0,C2,3,4,5,6,7,7
941,0,C3,5,4,4,4,4,3
942,1,C1,1,2,3,6,6,7
943,1,C4,3,4,4,3,2,2
944,0,C5,6,7,7,5,5,5
945,1,C6,5,4,4,2,3,2
946,1,C7,6,5,5,4,4,4
947,0,C8,3,4,3,4,4,4
948,1,C9,3,4,3,6,6,6
949,1,C10,4,3,4,5,6,7
950,1,C11,7,7,8,7,7,8
951,1,C12,6,7,8,4,3,2
952,0,C13,6,6,6,2,3,2
953,0,C14,4,3,2,7,8,7
954,1,C15,4,3,3,3,4,5
955,1,C16,4,4,4,4,5,6
956,0,C2,4,4,5,5,6,6
957,1,C3,5,4,5,4,4,4
958,0,C1,5,4,3,6,6,7
959,1,C4,3,2,2,5,6,6
960,0,C2,3,4,5,3,4,3
961,0,C3,4,3,3,4,3,3
962,0,C1,1,2,2,4,3,2
963,0,C4,2,3,2,4,3,2
964,0,C5,5,4,3,4,3,4
965,1,C6,4,5,4,3,4,5
966,1,C7,5,5,5,4,3,4
967,0,C8,3,2,3,5,4,3
968,1,C9,5,6,7,6,7,7
969,0,C10,4,5,6,1,1,2
970,0,C11,5,5,5,4,3,4
971,1,C12,6,6,7,3,3,3
972,0,C13,7,6,7,2,1,2
973,1,C14,5,6,5,7,6,7
974,0,C15,4,4,3,5,6,7
975,0,C16,2,3,3,3,2,3
976,1,C2,4,5,6,3,3,3
977,0,C3,5,4,3,4,5,5
978,1,C1,2,1,2,5,5,5
979,0,C4,3,2,1,5,6,5
980,0,C5,5,5,5,4,3,2
981,0,C6,3,2,3,3,2,3
982,1,C7,4,3,4,4,4,4
983,1,C8,4,4,5,4,5,6
984,1,C9,5,4,4,2,1,1
985,0,C10,4,3,4,5,4,3
986,1,C11,4,4,3,4,3,4
987,0,C12,5,5,6,2,2,2
988,1,C13,7,6,5,3,4,5
989,0,C14,3,3,2,7,8,7
990,1,C15,7,8,9,2,1,1
991,1,C16,2,2,2,4,5,6
992,0,C2,3,3,3,3,4,4
993,0,C3,6,6,6,3,3,4
994,0,C1,1,2,3,4,4,5
995,1,C4,2,2,3,3,3,3
996,0,C5,7,8,7,5,4,5
997,1,C6,2,3,3,4,5,6
998,0,C7,6,5,5,5,4,5
999,1,C8,4,4,5,3,2,3
1000,1,C9,4,4,5,3,4,3
