sample,male,age,attribute,benefit,value,attribute,benefit,value,,,,,,,,,,,,
276,1,43,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
279,0,34,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
310,1,39,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
330,0,34,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
346,0,49,5,9,3,저장용량,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
358,1,36,5,9,3,저장용량,사용하기 편리하다,걱정없는 삶,,,,,,,,,,,,
359,0,27,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
364,0,44,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
392,0,43,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
430,0,36,5,7,5,저장용량,업무효율성이 높아진다,즐거운 인생,,,,,,,,,code,attribute,benefit,value
449,1,31,5,9,3,저장용량,사용하기 편리하다,걱정없는 삶,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
450,1,28,5,9,4,저장용량,사용하기 편리하다,좋은 관계,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
454,0,35,5,7,2,저장용량,업무효율성이 높아진다,자아존중,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
459,1,28,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
467,0,29,5,2,5,저장용량,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
472,1,43,5,4,4,저장용량,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
475,0,24,5,7,3,저장용량,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
491,1,39,5,7,4,저장용량,업무효율성이 높아진다,좋은 관계,,,,,,,,,8,브랜드,개인정보 보호가 된다,
237,1,45,6,4,2,세련된 스타일,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,9,내구성,사용하기 편리하다,
239,0,43,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
241,0,31,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
253,0,32,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
266,1,30,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
274,1,29,6,6,4,세련된 스타일,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
282,1,37,6,10,3,세련된 스타일,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
302,1,37,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
308,1,48,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
322,1,43,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
326,1,28,6,4,2,세련된 스타일,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
329,1,37,6,6,2,세련된 스타일,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
335,0,35,6,6,2,세련된 스타일,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
337,1,45,6,10,3,세련된 스타일,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
341,1,43,6,4,2,세련된 스타일,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
356,0,39,6,4,4,세련된 스타일,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
378,1,30,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
396,1,24,6,4,3,세련된 스타일,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
407,1,45,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
413,1,31,6,6,4,세련된 스타일,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
431,1,33,6,10,2,세련된 스타일,신뢰할 수 있다,자아존중,,,,,,,,,,,,
455,1,32,6,4,4,세련된 스타일,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
460,0,40,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
461,0,40,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
481,0,26,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
482,1,28,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
497,0,35,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
500,0,46,6,10,2,세련된 스타일,신뢰할 수 있다,자아존중,,,,,,,,,,,,
4,1,41,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,code,attribute,benefit,value
6,1,24,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
7,1,46,6,6,2,세련된 스타일,여가활동이 즐겁다,자아존중,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
10,0,34,6,10,5,세련된 스타일,신뢰할 수 있다,즐거운 인생,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
13,0,24,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
17,1,29,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
21,0,46,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
37,1,29,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
39,1,35,6,6,4,세련된 스타일,여가활동이 즐겁다,좋은 관계,,,,,,,,,8,브랜드,개인정보 보호가 된다,
44,0,43,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,9,내구성,사용하기 편리하다,
46,1,31,6,10,2,세련된 스타일,신뢰할 수 있다,자아존중,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
51,1,42,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
56,1,25,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
64,0,23,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
66,1,27,6,10,1,세련된 스타일,신뢰할 수 있다,목표성취,,,,,,,,,,,,
67,1,37,6,4,4,세련된 스타일,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
72,1,30,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
78,1,37,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
88,1,27,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
96,0,48,6,6,4,세련된 스타일,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
107,0,36,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
114,1,30,6,10,5,세련된 스타일,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
118,1,34,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
121,1,34,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
122,0,24,6,6,1,세련된 스타일,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
126,0,35,6,10,1,세련된 스타일,신뢰할 수 있다,목표성취,,,,,,,,,,,,
137,1,28,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
139,1,39,6,4,5,세련된 스타일,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
148,1,33,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
150,1,24,6,4,1,세련된 스타일,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
158,0,39,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
165,0,24,6,6,5,세련된 스타일,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
169,1,23,6,10,1,세련된 스타일,신뢰할 수 있다,목표성취,,,,,,,,,,,,
174,1,36,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
178,0,45,7,7,5,강력한 보안,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
179,1,49,7,7,5,강력한 보안,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
189,1,27,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
197,1,23,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
199,0,38,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
201,0,37,7,10,2,강력한 보안,신뢰할 수 있다,자아존중,,,,,,,,,,,,
206,0,25,7,10,3,강력한 보안,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
222,0,43,7,7,2,강력한 보안,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
233,0,27,7,7,2,강력한 보안,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
246,0,42,7,8,2,강력한 보안,개인정보 보호가 된다,자아존중,,,,,,,,,,,,
256,1,36,7,8,3,강력한 보안,개인정보 보호가 된다,걱정없는 삶,,,,,,,,,,,,
259,1,26,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
267,0,29,7,10,4,강력한 보안,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
268,0,43,7,10,3,강력한 보안,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
272,1,26,7,7,1,강력한 보안,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
283,0,39,7,7,3,강력한 보안,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
285,1,26,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
286,1,41,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
287,0,29,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
288,0,41,7,10,1,강력한 보안,신뢰할 수 있다,목표성취,,,,,,,,,,,,
289,0,28,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
292,1,41,7,7,3,강력한 보안,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
294,0,28,7,7,2,강력한 보안,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
298,0,38,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
317,1,26,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
318,0,30,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
324,0,45,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
328,1,41,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
331,1,38,7,7,5,강력한 보안,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
333,1,39,7,7,3,강력한 보안,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
336,0,41,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
344,1,48,7,8,5,강력한 보안,개인정보 보호가 된다,즐거운 인생,,,,,,,,,,,,
349,1,34,7,8,3,강력한 보안,개인정보 보호가 된다,걱정없는 삶,,,,,,,,,,,,
350,1,24,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
352,0,37,7,10,1,강력한 보안,신뢰할 수 있다,목표성취,,,,,,,,,,,,
354,1,46,7,7,1,강력한 보안,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
375,1,42,7,7,1,강력한 보안,업무효율성이 높아진다,목표성취,,,,,,,,,,,,
389,1,38,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
394,0,29,7,8,3,강력한 보안,개인정보 보호가 된다,걱정없는 삶,,,,,,,,,,,,
399,0,27,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
401,0,32,7,10,3,강력한 보안,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
405,1,48,7,10,3,강력한 보안,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
409,1,33,7,7,3,강력한 보안,업무효율성이 높아진다,걱정없는 삶,,,,,,,,,,,,
412,1,30,7,7,2,강력한 보안,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
416,1,49,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
428,0,49,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
429,0,28,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,,,,
439,1,29,7,10,4,강력한 보안,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
440,1,23,7,10,5,강력한 보안,신뢰할 수 있다,즐거운 인생,,,,,,,,,code,attribute,benefit,value
446,0,45,7,7,4,강력한 보안,업무효율성이 높아진다,좋은 관계,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
447,0,29,7,7,1,강력한 보안,업무효율성이 높아진다,목표성취,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
468,1,45,7,8,3,강력한 보안,개인정보 보호가 된다,걱정없는 삶,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
471,1,46,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
489,1,25,7,8,1,강력한 보안,개인정보 보호가 된다,목표성취,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
470,1,34,8,4,4,브랜드,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
477,1,34,8,6,2,브랜드,여가활동이 즐겁다,자아존중,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
479,1,41,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,8,브랜드,개인정보 보호가 된다,
498,1,42,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,9,내구성,사용하기 편리하다,
3,1,27,9,10,1,내구성,신뢰할 수 있다,목표성취,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
8,1,37,9,4,5,내구성,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,,,,
11,0,29,8,4,3,브랜드,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
22,0,41,8,6,3,브랜드,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
35,0,33,8,10,2,브랜드,신뢰할 수 있다,자아존중,,,,,,,,,,,,
45,0,47,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
49,0,27,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,,,,
58,1,29,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
59,0,47,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
65,0,32,8,6,4,브랜드,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
82,0,35,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
83,0,31,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
85,0,31,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
94,0,41,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
103,0,30,8,6,3,브랜드,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
105,0,31,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
106,1,48,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
109,1,39,8,6,5,브랜드,여가활동이 즐겁다,즐거운 인생,,,,,,,,,,,,
112,0,47,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
115,0,47,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,,,,
127,1,38,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,,,,
130,0,40,8,4,3,브랜드,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
134,0,36,8,6,2,브랜드,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
138,1,32,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
143,0,44,8,4,3,브랜드,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
146,1,37,8,6,1,브랜드,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
147,0,36,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
160,1,31,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
162,0,25,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,,,,
164,1,35,8,4,4,브랜드,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
181,0,38,8,10,1,브랜드,신뢰할 수 있다,목표성취,,,,,,,,,,,,
182,0,31,8,10,2,브랜드,신뢰할 수 있다,자아존중,,,,,,,,,,,,
183,1,28,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
185,0,32,8,4,4,브랜드,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
194,1,47,8,6,1,브랜드,여가활동이 즐겁다,목표성취,,,,,,,,,,,,
196,1,41,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
204,0,46,8,4,3,브랜드,나의 개성을 표현할 수 있다,걱정없는 삶,,,,,,,,,,,,
207,1,24,8,6,3,브랜드,여가활동이 즐겁다,걱정없는 삶,,,,,,,,,,,,
211,1,29,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
214,1,25,8,10,2,브랜드,신뢰할 수 있다,자아존중,,,,,,,,,,,,
215,1,39,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
221,0,43,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
223,1,23,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
228,1,30,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
231,0,30,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
236,0,30,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,code,attribute,benefit,value
238,1,46,8,6,1,브랜드,여가활동이 즐겁다,목표성취,,,,,,,,,1,저렴한 가격,언제나 연결된다,목표성취
243,0,25,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,2,카메라성능,경제적 손실을 줄인다,자아존중
245,0,38,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,3,화면크기,커뮤니케이션이 용이하다,걱정없는 삶
251,0,38,8,6,4,브랜드,여가활동이 즐겁다,좋은 관계,,,,,,,,,4,빠른 속도,나의 개성을 표현할 수 있다,좋은 관계
254,0,38,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,5,저장용량,SNS 참여가 쉽다,즐거운 인생
255,1,31,8,10,2,브랜드,신뢰할 수 있다,자아존중,,,,,,,,,6,세련된 스타일,여가활동이 즐겁다,
260,1,39,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,7,강력한 보안,업무효율성이 높아진다,
265,0,24,8,4,5,브랜드,나의 개성을 표현할 수 있다,즐거운 인생,,,,,,,,,8,브랜드,개인정보 보호가 된다,
271,0,48,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,9,내구성,사용하기 편리하다,
284,1,43,8,10,4,브랜드,신뢰할 수 있다,좋은 관계,,,,,,,,,10,무상보증기간,신뢰할 수 있다,
293,0,44,8,10,2,브랜드,신뢰할 수 있다,자아존중,,,,,,,,,,,,
295,0,47,8,4,1,브랜드,나의 개성을 표현할 수 있다,목표성취,,,,,,,,,,,,
296,1,39,8,6,4,브랜드,여가활동이 즐겁다,좋은 관계,,,,,,,,,,,,
299,1,36,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
300,0,26,8,4,2,브랜드,나의 개성을 표현할 수 있다,자아존중,,,,,,,,,,,,
301,0,26,8,6,2,브랜드,여가활동이 즐겁다,자아존중,,,,,,,,,,,,
316,1,40,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
319,1,28,8,10,5,브랜드,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
332,0,43,8,10,3,브랜드,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
342,1,33,8,4,4,브랜드,나의 개성을 표현할 수 있다,좋은 관계,,,,,,,,,,,,
345,0,39,9,10,1,내구성,신뢰할 수 있다,목표성취,,,,,,,,,,,,
353,0,29,9,10,4,내구성,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
357,0,48,9,10,3,내구성,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
360,0,23,9,2,4,내구성,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
362,1,35,9,2,2,내구성,경제적 손실을 줄인다,자아존중,,,,,,,,,,,,
366,0,43,9,2,4,내구성,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
367,0,39,9,7,4,내구성,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
371,0,46,9,7,4,내구성,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
376,1,41,9,5,2,내구성,SNS 참여가 쉽다,자아존중,,,,,,,,,,,,
377,0,36,9,10,2,내구성,신뢰할 수 있다,자아존중,,,,,,,,,,,,
379,1,48,9,10,2,내구성,신뢰할 수 있다,자아존중,,,,,,,,,,,,
381,1,47,9,10,4,내구성,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
385,1,24,9,10,5,내구성,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
387,0,33,9,2,5,내구성,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
388,1,24,9,2,1,내구성,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
390,0,43,9,2,1,내구성,경제적 손실을 줄인다,목표성취,,,,,,,,,,,,
393,1,36,9,7,4,내구성,업무효율성이 높아진다,좋은 관계,,,,,,,,,,,,
395,1,41,9,7,2,내구성,업무효율성이 높아진다,자아존중,,,,,,,,,,,,
397,0,48,9,5,5,내구성,SNS 참여가 쉽다,즐거운 인생,,,,,,,,,,,,
398,0,29,9,10,3,내구성,신뢰할 수 있다,걱정없는 삶,,,,,,,,,,,,
411,0,30,9,10,5,내구성,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
418,0,42,9,10,4,내구성,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
421,0,29,9,10,5,내구성,신뢰할 수 있다,즐거운 인생,,,,,,,,,,,,
423,0,32,9,2,2,내구성,경제적 손실을 줄인다,자아존중,,,,,,,,,,,,
435,1,37,9,2,4,내구성,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
437,0,46,9,2,3,내구성,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
462,1,33,9,7,5,내구성,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
469,0,39,9,7,5,내구성,업무효율성이 높아진다,즐거운 인생,,,,,,,,,,,,
473,0,32,9,5,2,내구성,SNS 참여가 쉽다,자아존중,,,,,,,,,,,,
474,0,44,9,10,2,내구성,신뢰할 수 있다,자아존중,,,,,,,,,,,,
486,0,37,9,10,4,내구성,신뢰할 수 있다,좋은 관계,,,,,,,,,,,,
492,1,24,10,2,5,무상보증기간,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
496,0,24,10,2,5,무상보증기간,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
451,0,40,10,2,4,무상보증기간,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
452,1,42,10,2,4,무상보증기간,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
457,0,29,10,2,3,무상보증기간,경제적 손실을 줄인다,걱정없는 삶,,,,,,,,,,,,
483,1,41,10,2,4,무상보증기간,경제적 손실을 줄인다,좋은 관계,,,,,,,,,,,,
494,1,40,10,2,5,무상보증기간,경제적 손실을 줄인다,즐거운 인생,,,,,,,,,,,,
