sample,gende,age,brand,attribute,benefit,value
372,남,35,갤럭시,빠른 속도,사용하기 편리하다,자아존중
373,남,46,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
374,여,46,아이폰,세련된 스타일,신뢰할 수 있다,걱정없는 삶
375,여,31,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
376,남,40,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
377,여,42,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
378,남,39,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
379,여,26,갤럭시,브랜드,여가활동이 즐겁다,자아존중
380,남,41,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
381,남,29,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
382,남,30,갤럭시,빠른 속도,커뮤니케이션이 용이하다,즐거운 인생
383,남,34,아이폰,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
384,여,34,아이폰,저장용량,업무효율성이 높아진다,풍족한 삶
385,여,43,갤럭시,내구성,경제적 손실을 줄인다,풍족한 삶
386,여,40,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
387,여,39,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
388,여,49,갤럭시,카메라성능,SNS 참여가 쉽다,좋은 관계
389,여,43,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
390,여,48,갤럭시,빠른 속도,커뮤니케이션이 용이하다,자아존중
391,여,46,갤럭시,세련된 스타일,개성을 표현할 수 있다,자아존중
392,남,43,갤럭시,저장용량,개성을 표현할 수 있다,즐거운 인생
393,여,36,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
394,남,45,아이폰,카메라성능,SNS 참여가 쉽다,좋은 관계
395,남,39,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
396,남,34,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
397,남,29,갤럭시,세련된 스타일,개성을 표현할 수 있다,자아존중
398,여,47,아이폰,브랜드,신뢰할 수 있다,즐거운 인생
399,남,39,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
400,여,34,갤럭시,카메라성능,여가활동이 즐겁다,걱정없는 삶
401,남,41,아이폰,브랜드,개성을 표현할 수 있다,자아존중
402,여,49,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
403,여,44,갤럭시,브랜드,신뢰할 수 있다,풍족한 삶
404,남,48,갤럭시,내구성,신뢰할 수 있다,풍족한 삶
405,남,43,아이폰,화면크기,커뮤니케이션이 용이하다,즐거운 인생
406,남,37,아이폰,카메라성능,여가활동이 즐겁다,좋은 관계
407,남,32,아이폰,세련된 스타일,개성을 표현할 수 있다,자아존중
408,남,27,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
409,남,40,갤럭시,화면크기,여가활동이 즐겁다,좋은 관계
410,여,40,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
411,남,37,아이폰,세련된 스타일,신뢰할 수 있다,풍족한 삶
412,여,35,갤럭시,세련된 스타일,여가활동이 즐겁다,좋은 관계
413,여,25,아이폰,브랜드,개성을 표현할 수 있다,좋은 관계
414,여,27,아이폰,카메라성능,여가활동이 즐겁다,즐거운 인생
415,남,28,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
416,남,36,갤럭시,화면크기,사용하기 편리하다,풍족한 삶
417,여,39,갤럭시,화면크기,업무효율성이 높아진다,걱정없는 삶
418,남,40,갤럭시,브랜드,신뢰할 수 있다,걱정없는 삶
419,남,33,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
420,남,47,아이폰,내구성,신뢰할 수 있다,걱정없는 삶
421,남,25,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
422,여,44,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
423,여,39,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
424,남,26,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
425,여,46,아이폰,화면크기,업무효율성이 높아진다,걱정없는 삶
426,남,34,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
427,남,30,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
428,남,31,갤럭시,저장용량,사용하기 편리하다,걱정없는 삶
429,남,25,아이폰,빠른 속도,업무효율성이 높아진다,풍족한 삶
430,남,29,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
431,여,41,아이폰,화면크기,여가활동이 즐겁다,좋은 관계
432,여,43,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
433,여,29,갤럭시,화면크기,사용하기 편리하다,걱정없는 삶
434,여,40,갤럭시,빠른 속도,사용하기 편리하다,즐거운 인생
435,여,23,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
436,남,45,갤럭시,빠른 속도,사용하기 편리하다,걱정없는 삶
437,남,43,갤럭시,빠른 속도,업무효율성이 높아진다,걱정없는 삶
438,남,38,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
439,여,47,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
440,여,42,갤럭시,빠른 속도,사용하기 편리하다,풍족한 삶
441,남,42,아이폰,카메라성능,SNS 참여가 쉽다,즐거운 인생
442,여,31,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
443,남,28,아이폰,브랜드,신뢰할 수 있다,즐거운 인생
444,남,24,아이폰,세련된 스타일,개성을 표현할 수 있다,좋은 관계
445,여,30,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
446,남,44,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
447,여,32,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
448,여,30,아이폰,내구성,신뢰할 수 있다,즐거운 인생
449,남,41,갤럭시,내구성,SNS 참여가 쉽다,즐거운 인생
450,남,47,아이폰,브랜드,여가활동이 즐겁다,즐거운 인생
451,남,26,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
452,남,24,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
453,여,38,갤럭시,저렴한 가격,경제적 손실을 줄인다,걱정없는 삶
454,남,30,갤럭시,화면크기,사용하기 편리하다,즐거운 인생
455,여,48,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
456,남,30,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
457,여,30,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
458,여,39,아이폰,세련된 스타일,여가활동이 즐겁다,즐거운 인생
459,남,24,갤럭시,빠른 속도,사용하기 편리하다,풍족한 삶
460,남,30,아이폰,세련된 스타일,신뢰할 수 있다,걱정없는 삶
461,여,37,아이폰,강력한 보안,신뢰할 수 있다,걱정없는 삶
462,남,45,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
463,남,23,아이폰,세련된 스타일,신뢰할 수 있다,걱정없는 삶
464,여,36,갤럭시,빠른 속도,사용하기 편리하다,걱정없는 삶
465,남,41,아이폰,강력한 보안,업무효율성이 높아진다,풍족한 삶
466,남,24,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
467,남,30,아이폰,강력한 보안,업무효율성이 높아진다,자아존중
468,여,27,아이폰,화면크기,사용하기 편리하다,걱정없는 삶
469,여,40,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
470,여,49,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
471,남,27,갤럭시,내구성,신뢰할 수 있다,걱정없는 삶
472,남,45,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
473,여,47,아이폰,브랜드,개성을 표현할 수 있다,풍족한 삶
474,여,30,아이폰,브랜드,여가활동이 즐겁다,좋은 관계
475,남,30,갤럭시,저장용량,업무효율성이 높아진다,풍족한 삶
476,남,31,아이폰,화면크기,사용하기 편리하다,풍족한 삶
477,남,23,아이폰,강력한 보안,개인정보 보호가 된다,걱정없는 삶
478,여,25,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
479,남,30,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
480,남,47,갤럭시,빠른 속도,업무효율성이 높아진다,풍족한 삶
481,여,36,갤럭시,카메라성능,SNS 참여가 쉽다,즐거운 인생
482,여,45,아이폰,카메라성능,여가활동이 즐겁다,걱정없는 삶
483,여,30,아이폰,카메라성능,여가활동이 즐겁다,즐거운 인생
484,여,34,아이폰,세련된 스타일,신뢰할 수 있다,걱정없는 삶
485,여,38,갤럭시,브랜드,신뢰할 수 있다,걱정없는 삶
486,여,35,아이폰,브랜드,신뢰할 수 있다,걱정없는 삶
487,남,31,아이폰,브랜드,신뢰할 수 있다,즐거운 인생
488,남,28,아이폰,브랜드,신뢰할 수 있다,풍족한 삶
489,여,35,갤럭시,빠른 속도,커뮤니케이션이 용이하다,좋은 관계
490,여,44,갤럭시,저렴한 가격,경제적 손실을 줄인다,풍족한 삶
491,여,26,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
492,여,33,아이폰,카메라성능,개성을 표현할 수 있다,자아존중
493,여,38,갤럭시,화면크기,업무효율성이 높아진다,풍족한 삶
494,남,28,아이폰,세련된 스타일,개성을 표현할 수 있다,즐거운 인생
495,남,30,갤럭시,저장용량,사용하기 편리하다,풍족한 삶
496,남,33,아이폰,브랜드,개성을 표현할 수 있다,좋은 관계
497,여,32,갤럭시,내구성,경제적 손실을 줄인다,풍족한 삶
498,여,29,아이폰,카메라성능,개성을 표현할 수 있다,좋은 관계
499,여,30,갤럭시,화면크기,여가활동이 즐겁다,즐거운 인생
500,여,23,아이폰,세련된 스타일,여가활동이 즐겁다,좋은 관계
